timestamp,symbol,rd_value,open,high,low,close,volume,signal_barrier
1769942100000,FOLKS,-0.121798195,1.5255,1.5255,1.5136,1.5159,6662.04,-1
1769942160000,FOLKS,-0.1466118,1.5184,1.521,1.517,1.5171,381.02,-1
1769942220000,FOLKS,-0.17202367,1.5171,1.5175,1.5136,1.515,432.41,-1
1769942280000,FOLKS,-0.13695501,1.515,1.5179,1.515,1.5179,346.44,1
1769942340000,FOLKS,-0.108370505,1.5179,1.5199,1.5152,1.5159,488.65,1
1769942400000,FOLKS,-0.20766824,1.5159,1.516,1.5118,1.5152,453.89,-1
1769942460000,FOLKS,-0.23982085,1.5145,1.5145,1.5087,1.5122,727.11,-1
1769942520000,FOLKS,-0.17987458,1.5122,1.517,1.5122,1.5169,648.36,1
1769942580000,FOLKS,-0.11358742,1.5169,1.5194,1.5164,1.5164,200.49,1
1769942640000,FOLKS,-0.07056155,1.5164,1.5232,1.5164,1.5208,742.31,1
1769942700000,FOLKS,0.18762656,1.5208,1.5267,1.5208,1.5256,428.69,1
1769942760000,FOLKS,0.14649992,1.5256,1.5256,1.5177,1.5195,345.63,-1
1769942820000,FOLKS,0.07546614,1.5195,1.5222,1.5153,1.52,1651.03,-1
1769942880000,FOLKS,0.09520861,1.52,1.522,1.5191,1.5196,346.85,1
1769942940000,FOLKS,0.14417699,1.5196,1.5255,1.5196,1.525,340.94,1
1769943000000,FOLKS,0.22740234,1.525,1.5268,1.5245,1.5245,246.39,1
1769943060000,FOLKS,0.26524022,1.5245,1.531,1.5245,1.5288,815.4,1
1769943120000,FOLKS,0.27797377,1.5288,1.5312,1.5263,1.5264,362.51,1
1769943180000,FOLKS,0.17260899,1.5264,1.5264,1.5211,1.5223,357.55,-1
1769943240000,FOLKS,0.31838197,1.5223,1.5419,1.5223,1.5356,3945.74,1
1769943300000,FOLKS,1.1280177,1.5356,1.57,1.5346,1.5612,6944.28,1
1769943360000,FOLKS,1.28542,1.556,1.5637,1.5505,1.5581,6731.34,1
1769943420000,FOLKS,1.2902966,1.5581,1.5599,1.5572,1.5599,3159.92,1
1769943480000,FOLKS,1.0118053,1.5503,1.5503,1.5442,1.5482,1319.4,-1
