timestamp,symbol,rd_value,open,high,low,close,volume,signal_barrier
1769942100000,INX,-0.19476119,0.013953,0.013953,0.013792,0.013825,3776060,-1
1769942160000,INX,-0.22311167,0.013864,0.013899,0.013836,0.013848,182680,-1
1769942220000,INX,-0.2594098,0.013848,0.013864,0.013797,0.013802,242930,-1
1769942280000,INX,-0.24923548,0.013802,0.013839,0.013792,0.013836,163110,1
1769942340000,INX,-0.20369639,0.013836,0.013836,0.013808,0.013825,170580,1
1769942400000,INX,-0.21120007,0.013825,0.013848,0.013824,0.013848,17260,-1
1769942460000,INX,-0.062195558,0.01382,0.013968,0.01382,0.013949,1020590,1
1769942520000,INX,0.104327865,0.013949,0.013985,0.013949,0.013967,100200,1
1769942580000,INX,0.032450087,0.013967,0.013969,0.013908,0.013925,58390,-1
1769942640000,INX,-0.00393522,0.013925,0.013968,0.01392,0.01392,111170,-1
1769942700000,INX,0.17656696,0.01392,0.013942,0.01392,0.013933,30030,1
1769942760000,INX,0.16203363,0.013952,0.013968,0.013912,0.013912,69750,-1
1769942820000,INX,0.078678824,0.013912,0.013935,0.013864,0.013911,650190,-1
1769942880000,INX,0.061972275,0.013911,0.013911,0.013888,0.013888,49810,-1
1769942940000,INX,0.037608936,0.013888,0.013906,0.013877,0.013889,221450,-1
1769943000000,INX,-0.11600773,0.013889,0.013895,0.013835,0.013844,325560,-1
1769943060000,INX,-0.15721527,0.013844,0.013862,0.013837,0.013848,71140,-1
1769943120000,INX,-0.12777883,0.013848,0.013868,0.013848,0.013864,54130,1
1769943180000,INX,-0.08737599,0.013864,0.013894,0.013861,0.013866,71060,1
1769943240000,INX,-0.058530916,0.013866,0.013912,0.013861,0.013888,153030,1
1769943300000,INX,0.024788294,0.013888,0.013911,0.013885,0.013909,111500,1
1769943360000,INX,0.09310543,0.013911,0.013984,0.013896,0.013913,414750,1
1769943420000,INX,0.023966195,0.013913,0.013936,0.013876,0.013877,387320,-1
1769943480000,INX,-0.014202526,0.013877,0.013921,0.013873,0.013873,230900,-1
1769943540000,INX,-0.075284526,0.013873,0.013876,0.013846,0.013853,394250,-1
1769943600000,INX,-0.18083507,0.013853,0.013904,0.013853,0.013857,284910,-1
1769943660000,INX,-0.2064133,0.013857,0.013868,0.013846,0.013853,157200,-1
1769943720000,INX,-0.21448223,0.013853,0.01388,0.013836,0.013838,59630,-1
1769943780000,INX,-0.27074754,0.013838,0.013869,0.013792,0.013816,215160,-1
1769943840000,INX,-0.23888153,0.013816,0.01387,0.013804,0.013867,165890,1
1769943900000,INX,-0.024806665,0.013867,0.013943,0.013867,0.013916,490350,1
1769943960000,INX,0.032177627,0.013916,0.013936,0.013913,0.013918,235160,1
1769944020000,INX,0.026080947,0.013918,0.01394,0.013893,0.013927,309420,-1
1769944080000,INX,0.0033981816,0.013927,0.013929,0.01389,0.013901,263580,-1
1769944140000,INX,-0.031560324,0.013901,0.013929,0.013873,0.013893,254270,-1
1769944200000,INX,-0.010236706,0.013893,0.013919,0.013886,0.013914,37660,1
1769944260000,INX,0.07102506,0.013917,0.013967,0.013917,0.013941,226050,1
1769944320000,INX,0.118442625,0.013941,0.013978,0.013941,0.01396,145360,1
1769944380000,INX,0.16671978,0.01396,0.013997,0.01396,0.013984,159880,1
1769944440000,INX,0.25748527,0.013984,0.014046,0.013984,0.014035,273720,1
1769944500000,INX,0.89085835,0.014035,0.014112,0.014035,0.014064,499710,1
1769944560000,INX,0.9418023,0.014064,0.014108,0.01406,0.014108,93700,1
1769944620000,INX,1.1225231,0.014108,0.014245,0.014108,0.014174,1019010,1
1769944680000,INX,1.0339965,0.014174,0.014174,0.014072,0.014102,301340,-1
1769944740000,INX,0.9119805,0.014102,0.014127,0.014043,0.014082,1026750,-1
1769944800000,INX,0.8900422,0.014082,0.014101,0.014056,0.01406,88010,-1
1769944860000,INX,0.83912474,0.01406,0.014071,0.014049,0.014054,192690,-1
1769944920000,INX,0.841524,0.014054,0.014075,0.014045,0.014075,206530,1
1769944980000,INX,0.9482245,0.014075,0.014149,0.014071,0.014129,294130,1
1769945040000,INX,0.94482136,0.014129,0.014133,0.014083,0.014088,141090,-1
1769945100000,INX,0.7195425,0.014088,0.014093,0.01402,0.014039,131040,-1
1769945160000,INX,0.7230757,0.014038,0.014091,0.014038,0.014087,261740,1
1769945220000,INX,0.73773956,0.014087,0.014093,0.014043,0.014063,313780,1
1769945280000,INX,0.72943276,0.014063,0.01408,0.014063,0.014077,58750,-1
1769945340000,INX,0.77876294,0.014077,0.014115,0.014075,0.014101,844130,1
1769945400000,INX,0.9391109,0.014101,0.014144,0.014101,0.014113,130290,1
1769945460000,INX,0.9288803,0.014109,0.014124,0.014104,0.014114,89830,-1
1769945520000,INX,0.90917355,0.014114,0.014124,0.014097,0.014097,144200,-1
1769945580000,INX,0.9818844,0.014097,0.014196,0.014096,0.014165,320340,1
1769945640000,INX,1.1493543,0.014165,0.014259,0.014165,0.014234,284830,1
1769945700000,INX,1.437027,0.014234,0.014264,0.014218,0.014242,444050,1
1769945760000,INX,1.4404718,0.014226,0.014257,0.014225,0.014257,137160,1
1769945820000,INX,1.6767851,0.014257,0.014446,0.014257,0.014385,1219950,1
1769945940000,INX,2.3674152,0.014605,0.014628,0.014567,0.014628,701210,1
1769946000000,INX,2.9474103,0.014628,0.014722,0.0146,0.0146,567300,1
1769946060000,INX,2.7022312,0.0146,0.0146,0.014496,0.014518,804960,-1
1769946120000,INX,2.557701,0.014518,0.014544,0.01448,0.014484,89670,-1
1769946180000,INX,2.417715,0.014484,0.014493,0.014432,0.014432,110580,-1
1769946240000,INX,2.2619407,0.014432,0.014442,0.014355,0.014399,467000,-1
1769947200000,INX,2.304524,0.01462,0.014629,0.014481,0.01451,1038980,1
1769950800000,INX,3.510817,0.01462,0.014629,0.014481,0.01451,1038980,1
1769950860000,INX,3.3788834,0.01451,0.01455,0.014481,0.014528,221050,-1
1769950920000,INX,3.4220693,0.014528,0.01458,0.014519,0.014536,476560,1
1769950980000,INX,3.375841,0.014536,0.014549,0.014508,0.014527,109190,-1
1769951040000,INX,3.3227262,0.014527,0.014536,0.014492,0.01451,35570,-1
1769951100000,INX,3.1090863,0.014508,0.014512,0.014494,0.014512,11520,-1
1769951160000,INX,3.1006045,0.014516,0.014516,0.0145,0.014505,13630,-1
1769951220000,INX,3.210579,0.014552,0.014563,0.014552,0.014563,6110,1
1769951280000,INX,3.1498537,0.014528,0.014553,0.014528,0.014553,39760,-1
1769951700000,INX,3.1945922,0.014678,0.014722,0.014616,0.014719,508300,1
1769952300000,INX,3.4933324,0.014678,0.014722,0.014616,0.014719,508300,1
1769952360000,INX,3.7670903,0.014678,0.014678,0.014616,0.014636,103410,1
