timestamp,symbol,rd_value,open,high,low,close,volume,signal_barrier
1769947920000,LIGHT,0.085939035,0.3444,0.3473,0.3433,0.3473,33340,1
1769947980000,LIGHT,0.13582064,0.3473,0.3474,0.3454,0.3466,13457,1
1769948040000,LIGHT,0.12384282,0.3466,0.3482,0.3456,0.3474,3872,-1
1769948100000,LIGHT,0.33011392,0.3474,0.3488,0.3469,0.3479,12122,1
1769948160000,LIGHT,0.28322238,0.3482,0.3485,0.3468,0.347,3906,-1
1769948220000,LIGHT,0.4731049,0.347,0.3529,0.3469,0.3528,41999,1
1769948280000,LIGHT,0.62414783,0.3528,0.3528,0.3503,0.3519,20836,1
1769948340000,LIGHT,0.4723647,0.3519,0.3526,0.3493,0.3498,51932,-1
1769948400000,LIGHT,0.35792598,0.3498,0.3498,0.3471,0.349,17089,-1
1769948460000,LIGHT,0.21699758,0.3507,0.3507,0.3447,0.3474,30471,-1
1769948520000,LIGHT,0.22457096,0.3474,0.3497,0.3471,0.3497,12889,1
1769948580000,LIGHT,0.30051005,0.3497,0.3497,0.3485,0.3492,5606,1
1769948640000,LIGHT,0.38148537,0.3492,0.3515,0.3489,0.3511,9977,1
1769948700000,LIGHT,0.59293026,0.3511,0.3517,0.3506,0.3515,6028,1
1769948760000,LIGHT,0.8014957,0.3515,0.356,0.3514,0.3551,19628,1
1769948820000,LIGHT,0.7797658,0.3551,0.3551,0.3516,0.3525,9570,-1
1769948880000,LIGHT,0.56828004,0.3525,0.3525,0.3503,0.3516,2746,-1
1769948940000,LIGHT,0.64999604,0.3516,0.3557,0.3487,0.3547,111130,1
1769949000000,LIGHT,1.1990308,0.3547,0.3551,0.3536,0.3545,6826,1
1769949060000,LIGHT,1.2802767,0.3547,0.3567,0.3544,0.3565,12669,1
1769949120000,LIGHT,1.2858683,0.3565,0.3568,0.3547,0.3556,15014,1
1769949180000,LIGHT,1.4035094,0.3556,0.3599,0.3546,0.3592,50939,1
1769949240000,LIGHT,1.5728662,0.3592,0.3605,0.3578,0.3597,21271,1
1769949300000,LIGHT,1.7364503,0.3597,0.3602,0.3579,0.3582,46116,1
1769949360000,LIGHT,1.7101972,0.3578,0.3604,0.3569,0.3604,12140,-1
1769949420000,LIGHT,1.7570189,0.3604,0.3605,0.3581,0.3595,14308,1
1769949480000,LIGHT,1.8411733,0.3595,0.3624,0.3587,0.3624,10193,1
1769949540000,LIGHT,1.7991881,0.3624,0.3625,0.3579,0.3598,33909,-1
1769949600000,LIGHT,1.9317881,0.3598,0.3645,0.3589,0.363,58458,1
1769949660000,LIGHT,2.3018653,0.363,0.3683,0.3626,0.3681,41351,1
1769949720000,LIGHT,2.379211,0.3681,0.3681,0.3643,0.3662,39989,1
1769949780000,LIGHT,2.5363328,0.3677,0.3705,0.3663,0.3701,17992,1
1769949840000,LIGHT,2.5149505,0.3699,0.3703,0.3677,0.3677,22181,-1
1769949900000,LIGHT,3.730428,0.3675,0.3732,0.3675,0.3732,39586,1
1769949960000,LIGHT,4.038006,0.372,0.3762,0.3716,0.3756,49494,1
1769950020000,LIGHT,4.251487,0.3765,0.3765,0.3765,0.3765,0,1
1769950080000,LIGHT,2.8580701,0.3633,0.3633,0.3633,0.3633,0,-1
1769950140000,LIGHT,2.0794358,0.3558,0.3558,0.3558,0.3558,0,-1
1769950200000,LIGHT,0.6809439,0.3548,0.3548,0.3548,0.3548,0,-1
1769950260000,LIGHT,1.4070317,0.3595,0.3655,0.3583,0.3644,91903,1
1769950320000,LIGHT,1.3042293,0.364,0.3655,0.355,0.3597,115867,-1
1769950380000,LIGHT,1.2903991,0.3601,0.3626,0.3593,0.3621,30964,-1
1769950440000,LIGHT,1.2517816,0.3623,0.3631,0.3588,0.3588,28619,-1
1769950500000,LIGHT,1.3447645,0.3588,0.3588,0.3588,0.3588,0,1
1769950560000,LIGHT,1.395815,0.3603,0.3603,0.3574,0.3594,10787,1
1769950620000,LIGHT,1.3950939,0.3594,0.3594,0.3594,0.3594,0,-1
1769950680000,LIGHT,2.6281905,0.3647,0.3788,0.3647,0.3782,547270,1
1769950740000,LIGHT,3.2046647,0.3794,0.3801,0.3731,0.3778,243114,1
1769950800000,LIGHT,6.22271,0.3768,0.391,0.3765,0.387,146667,1
1769950860000,LIGHT,6.694805,0.3871,0.391,0.3843,0.3897,132458,1
1769950920000,LIGHT,7.232306,0.3897,0.399,0.3891,0.3981,109231,1
1769950980000,LIGHT,7.397788,0.3978,0.3995,0.3928,0.3953,98930,1
1769951040000,LIGHT,7.221077,0.395,0.3987,0.3905,0.3972,68662,-1
1769951100000,LIGHT,8.327592,0.3986,0.404,0.392,0.3965,158949,1
1769951160000,LIGHT,8.148952,0.396,0.4013,0.3911,0.3985,337566,-1
1769951220000,LIGHT,7.970451,0.3986,0.3992,0.391,0.3937,116336,-1
1769951280000,LIGHT,8.072103,0.3947,0.4011,0.3939,0.3994,57631,1
1769951340000,LIGHT,8.165069,0.3994,0.3997,0.3975,0.3988,29455,1
1769951400000,LIGHT,8.018289,0.3985,0.401,0.3974,0.4006,44390,-1
1769951460000,LIGHT,8.121347,0.4032,0.4037,0.3964,0.4009,79206,1
1769951520000,LIGHT,8.439643,0.4006,0.41,0.4006,0.4084,155766,1
1769951580000,LIGHT,8.615649,0.4068,0.4094,0.4047,0.4086,74118,1
1769951640000,LIGHT,8.34511,0.4083,0.4089,0.4001,0.4042,106488,-1
1769951700000,LIGHT,6.2070107,0.4033,0.4039,0.3751,0.3829,476362,-1
1769951760000,LIGHT,5.099326,0.3828,0.3848,0.3729,0.3816,270629,-1
1769951820000,LIGHT,5.1434298,0.3811,0.3835,0.377,0.3831,243500,1
1769951880000,LIGHT,5.365565,0.3824,0.388,0.3782,0.3859,88170,1
1769951940000,LIGHT,5.7899504,0.3901,0.3949,0.3829,0.3847,132597,1
1769952000000,LIGHT,4.934482,0.3858,0.3881,0.3811,0.3874,47513,-1
1769952060000,LIGHT,5.4755964,0.3874,0.3959,0.3874,0.3946,63810,1
