timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1769975640000;AUCTION;0.006236241;4.454;4.459;4.452;4.455;1691.2;-1
1769975700000;AUCTION;-0.0022174262;4.455;4.457;4.447;4.456;1976.4;-1
1769975760000;AUCTION;-0.015904812;4.452;4.455;4.447;4.453;1379.4;-1
1769975820000;AUCTION;0.0037422394;4.453;4.456;4.452;4.456;228.6;1
1769975880000;AUCTION;0.037622016;4.456;4.467;4.456;4.458;2845.5;1
1769975940000;AUCTION;0.05527571;4.458;4.467;4.458;4.467;405.9;1
1769976000000;AUCTION;0.0801707;4.467;4.467;4.457;4.458;710.1;1
1769976060000;AUCTION;-0.00084309565;4.453;4.455;4.441;4.449;1028.1;-1
1769976120000;AUCTION;-0.0407448;4.449;4.451;4.435;4.439;4578.1;-1
1769976180000;AUCTION;-0.040142763;4.439;4.451;4.434;4.446;5484.7;1
1769976240000;AUCTION;-0.0041100485;4.446;4.45;4.442;4.447;768.4;1
1769976300000;AUCTION;-0.099948876;4.447;4.449;4.444;4.444;177.9;-1
1769976360000;AUCTION;-0.14597788;4.442;4.442;4.435;4.435;526.3;-1
1769976420000;AUCTION;-0.17008103;4.435;4.435;4.433;4.435;148.4;-1
1769976480000;AUCTION;-0.17375399;4.435;4.435;4.431;4.431;700.8;-1
1769976540000;AUCTION;-0.20713079;4.431;4.436;4.418;4.426;2439.5;-1
1769976600000;AUCTION;-0.18101914;4.426;4.446;4.426;4.446;876.5;1
1769976660000;AUCTION;-0.122922495;4.446;4.449;4.438;4.438;1600;1
1769976720000;AUCTION;-0.17069156;4.438;4.44;4.432;4.436;666.6;-1
1769976780000;AUCTION;-0.19260167;4.436;4.436;4.43;4.431;211.8;-1
1769976840000;AUCTION;-0.19785081;4.431;4.435;4.43;4.432;570;-1
1769976900000;AUCTION;-0.25248834;4.432;4.436;4.432;4.436;428.8;-1
1769976960000;AUCTION;-0.22661123;4.433;4.44;4.432;4.439;749;1
1769977020000;AUCTION;-0.20988408;4.439;4.439;4.435;4.438;201.6;1
1769977080000;AUCTION;-0.23796147;4.438;4.438;4.427;4.433;2263.8;-1
1769977140000;AUCTION;-0.26713145;4.433;4.433;4.426;4.428;412.2;-1
1769977200000;AUCTION;-0.32489893;4.428;4.428;4.424;4.425;480.1;-1
1769977260000;AUCTION;-0.32428488;4.425;4.428;4.422;4.428;278.6;1
1769977320000;AUCTION;-0.26540315;4.428;4.437;4.428;4.437;718.1;1
1769977380000;AUCTION;-0.25490057;4.437;4.437;4.428;4.432;547.6;1
1769977440000;AUCTION;-0.26499116;4.432;4.433;4.43;4.433;79.1;-1
1769977500000;AUCTION;-0.22997238;4.433;4.433;4.428;4.43;546.2;1
1769977560000;AUCTION;-0.28218895;4.429;4.429;4.419;4.419;1418.4;-1
1769977620000;AUCTION;-0.3756038;4.419;4.42;4.404;4.405;1112.8;-1
1769977680000;AUCTION;-0.4768094;4.405;4.41;4.39;4.39;2362.8;-1
1769977740000;AUCTION;-0.5309317;4.39;4.395;4.388;4.391;1511.7;-1
1769977800000;AUCTION;-0.7625431;4.391;4.404;4.391;4.403;1376.9;-1
1769977860000;AUCTION;-0.6423252;4.401;4.421;4.401;4.419;3925.1;1
1769977920000;AUCTION;-0.54556495;4.419;4.427;4.414;4.427;601.6;1
1769977980000;AUCTION;-0.50418013;4.427;4.429;4.425;4.425;646.9;1
1769978040000;AUCTION;-0.46993196;4.425;4.437;4.425;4.435;616.9;1
