timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1769980080000;CLANKER;-0.029255066;37.571;37.592;37.351;37.389;263.16;-1
1769980140000;CLANKER;-0.090220295;37.389;37.434;37.291;37.36;192.81;-1
1769980200000;CLANKER;-0.16174944;37.36;37.623;36.637;36.81;3501.63;-1
1769980260000;CLANKER;-0.44985822;37.39;37.39;36.637;36.819;3342.07;-1
1769980320000;CLANKER;-0.5748756;36.819;36.903;36.782;36.88;233.63;-1
1769980380000;CLANKER;-0.46937627;36.88;36.947;36.862;36.9;112.5;1
1769980500000;CLANKER;-0.8313098;36.513;36.642;36.513;36.6;82.37;-1
1769980740000;CLANKER;-1.0786947;36.513;36.642;36.513;36.6;82.37;-1
1769980800000;CLANKER;-0.7825974;36.6;36.856;36.555;36.843;1316.34;1
1769980860000;CLANKER;-0.6855006;36.647;36.726;36.647;36.7;48.08;1
1769980920000;CLANKER;-0.6396122;36.7;36.788;36.598;36.69;165.93;1
1769980980000;CLANKER;-0.55421567;36.69;36.845;36.69;36.807;138.38;1
1769981040000;CLANKER;-0.5083727;36.807;36.856;36.646;36.843;376.29;1
1769981100000;CLANKER;-0.38045076;36.843;36.866;36.751;36.766;259.29;1
1769981160000;CLANKER;-0.39789948;36.766;36.849;36.709;36.782;38.17;-1
1769981220000;CLANKER;-0.32904458;36.782;36.898;36.782;36.89;66.25;1
1769981280000;CLANKER;-0.30663085;36.89;36.916;36.78;36.834;52.62;1
1769981340000;CLANKER;-0.31440437;36.834;36.869;36.8;36.864;45.54;-1
1769981400000;CLANKER;0.047271293;36.864;37.08;36.857;37.032;191.09;1
1769981460000;CLANKER;0.22426423;37.032;37.291;37.03;37.228;116.73;1
1769981520000;CLANKER;0.367398;37.228;37.455;37.228;37.31;155.46;1
1769981580000;CLANKER;0.32377157;37.31;37.379;37.205;37.21;69.85;-1
1769981640000;CLANKER;0.37388912;37.21;37.524;37.204;37.43;121.26;1
1769981700000;CLANKER;0.76995593;37.43;37.469;37.383;37.44;45.56;1
1769981760000;CLANKER;0.7538086;37.459;37.531;37.365;37.39;77.58;-1
1769981820000;CLANKER;0.729105;37.39;37.491;37.343;37.484;56.83;-1
1769981880000;CLANKER;0.865343;37.484;37.71;37.45;37.69;89.58;1
1769981940000;CLANKER;0.67616796;37.69;37.724;37.062;37.15;1077.31;-1
1769982000000;CLANKER;-0.0010209728;37.15;37.23;36.858;36.932;562.76;-1
1769982060000;CLANKER;-0.14189522;36.932;37.01;36.82;36.82;132.9;-1
1769982120000;CLANKER;-0.20183682;36.82;36.906;36.774;36.811;86.81;-1
1769982180000;CLANKER;-0.19408521;36.811;36.876;36.779;36.847;59.59;1
1769982240000;CLANKER;-0.25975195;36.847;36.847;36.639;36.681;235.62;-1
1769982300000;CLANKER;-1.2224128;36.681;36.699;36.067;36.251;926.66;-1
1769982360000;CLANKER;-1.3783623;36.251;36.395;36.148;36.193;277.75;-1
1769982420000;CLANKER;-1.4022743;36.193;36.3;36.077;36.234;351.3;-1
1769982480000;CLANKER;-1.2659656;36.234;36.42;36.204;36.42;159.9;1
1769982540000;CLANKER;-1.0705699;36.42;36.593;36.404;36.593;140.47;1
1769982600000;CLANKER;-0.7672894;36.593;36.694;36.535;36.624;141.02;1
1769982660000;CLANKER;-0.6922965;36.624;36.765;36.616;36.714;87.96;1
1769982720000;CLANKER;-0.6662283;36.714;36.768;36.652;36.666;53.05;1
1769982780000;CLANKER;-0.65828943;36.666;36.8;36.63;36.714;124.66;1
1769982840000;CLANKER;-0.74302536;36.714;36.728;36.453;36.548;132.89;-1
1769982900000;CLANKER;-0.8941508;36.548;36.609;36.411;36.473;204.2;-1
1769982960000;CLANKER;-1.0534683;36.473;36.546;36.13;36.207;150.22;-1
1769983020000;CLANKER;-1.206332;36.207;36.273;36.05;36.155;305.64;-1
1769983080000;CLANKER;-1.4556127;36.155;36.294;35.515;35.647;1869.96;-1
1769983140000;CLANKER;-1.7325985;35.647;35.82;35.407;35.533;1786.2;-1
1769983200000;CLANKER;-2.622327;35.533;35.826;35.491;35.814;754.46;-1
1769983260000;CLANKER;-2.365436;35.859;36.076;35.756;36.003;624.36;1
1769983320000;CLANKER;-2.1691592;36.003;36.259;35.9;36.259;247.53;1
1769983380000;CLANKER;-2.0318198;36.259;36.351;36.129;36.186;260.45;1
1769983440000;CLANKER;-1.9972793;36.186;36.38;36.17;36.288;151.83;1
1769983500000;CLANKER;-1.3712304;36.288;36.41;36.24;36.33;96.88;1
1769983560000;CLANKER;-1.368076;36.33;36.342;36.238;36.339;77.04;1
1769983620000;CLANKER;-1.3267411;36.339;36.406;36.282;36.358;88.11;1
1769983680000;CLANKER;-1.296886;36.358;36.439;36.3;36.381;72.18;1
1769983740000;CLANKER;-1.486248;36.381;36.406;35.92;35.982;484.37;-1
1769983800000;CLANKER;-1.8984338;35.982;36.045;35.84;36;189.48;-1
1769983860000;CLANKER;-1.8074688;36.074;36.219;35.986;36.01;262.66;1
1769983920000;CLANKER;-1.743176;36.01;36.293;35.95;36.254;152.01;1
1769983980000;CLANKER;-1.395122;36.254;36.78;36.254;36.584;489.44;1
1769984040000;CLANKER;-1.2406363;36.584;36.757;36.503;36.636;186.45;1
1769984100000;CLANKER;0.105793916;36.636;36.992;36.59;36.882;1154.33;1
1769984160000;CLANKER;0.06116897;36.875;36.875;36.549;36.62;504.55;-1
1769984220000;CLANKER;0.37711462;36.62;37.492;36.589;37.492;1478.87;1
1769984280000;CLANKER;0.63805985;37.492;37.673;36.92;37.18;655.68;1
1769984340000;CLANKER;0.6205612;37.18;37.581;37.089;37.382;442.31;-1
1769984400000;CLANKER;1.2907149;37.382;37.69;37.3;37.517;1331.53;1
1769984460000;CLANKER;1.7408719;37.517;38.5;37.5;38.229;5930.59;1
1769984520000;CLANKER;1.8503991;38.173;38.366;37.688;38.031;2584.26;1
1769984580000;CLANKER;1.6333903;37.98;37.98;37.7;37.8;646.96;-1
1769984640000;CLANKER;1.374644;37.803;37.804;37.31;37.563;839.77;-1
1769984700000;CLANKER;2.017936;37.548;38.422;37.546;38.27;1323.95;1
1769984760000;CLANKER;2.2044592;38.253;38.334;37.975;38.04;513.3;1
1769984820000;CLANKER;2.1462529;38.01;38.271;37.98;38.18;356.01;-1
1769984880000;CLANKER;2.136202;38.233;38.249;37.928;38.06;274.05;-1
1769984940000;CLANKER;1.9376528;38.084;38.107;37.732;37.814;393.72;-1
1769985000000;CLANKER;2.246725;37.824;37.96;37.803;37.96;128.04;1
1769985060000;CLANKER;2.5414133;38.05;38.431;37.998;38.31;588.5;1
1769985120000;CLANKER;2.69012;38.325;38.499;38.227;38.406;480.9;1
1769985180000;CLANKER;2.6922045;38.46;38.46;38.29;38.33;212.96;1
1769985240000;CLANKER;2.5200036;38.412;38.413;38.024;38.069;439.22;-1
1769985300000;CLANKER;2.7532794;38.139;38.381;38.12;38.354;445.69;1
1769985360000;CLANKER;2.7684996;38.298;38.36;38.225;38.236;51.63;1
1769985420000;CLANKER;2.5519767;38.092;38.245;37.753;38.217;330.75;-1
1769985480000;CLANKER;2.6689136;38.16;38.6;38.004;38.068;2247.26;1
1769985540000;CLANKER;2.4181821;38.079;38.1;37.83;37.866;318.51;-1
1769985600000;CLANKER;1.8235544;37.902;37.906;37.492;37.85;774.75;-1
