timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1769975640000;ROAM;-0.0028077506;0.01649;0.0165;0.01648;0.01648;6289;-1
1769975700000;ROAM;-0.005622738;0.01648;0.01649;0.01647;0.01647;3438;-1
1769975760000;ROAM;0.007014854;0.01647;0.01651;0.01644;0.01651;75652;1
1769975820000;ROAM;0.08421251;0.01651;0.01654;0.01651;0.01654;2180;1
1769975880000;ROAM;0.13278927;0.01654;0.01658;0.01654;0.01657;3785;1
1769975940000;ROAM;0.12978713;0.01657;0.01657;0.01656;0.01656;44;-1
1769976000000;ROAM;0.039550416;0.01656;0.01656;0.01648;0.01648;57130;-1
1769976060000;ROAM;-0.00095175847;0.01647;0.01652;0.01647;0.01652;7427;-1
1769976120000;ROAM;0.012630906;0.01652;0.01652;0.01648;0.01648;6567;1
1769976180000;ROAM;0.0043688375;0.01648;0.01652;0.01648;0.0165;6067;-1
1769976240000;ROAM;0.03254076;0.0165;0.01653;0.01649;0.01651;1558;1
1769976300000;ROAM;0.007960496;0.01651;0.01653;0.01647;0.01652;704;-1
1769976360000;ROAM;-0.044035837;0.01652;0.01652;0.01642;0.01647;9544;-1
1769976420000;ROAM;-0.1085724;0.01647;0.01647;0.01642;0.01644;4865;-1
1769976480000;ROAM;-0.15912081;0.01644;0.01644;0.01638;0.01643;15142;-1
1769976540000;ROAM;-0.08055911;0.01643;0.01648;0.01643;0.01648;21444;1
1769976600000;ROAM;-0.0011534547;0.01648;0.01652;0.01647;0.01652;2589;1
1769976660000;ROAM;-0.0014325175;0.01652;0.01652;0.01647;0.01648;4993;-1
1769976720000;ROAM;-0.071013615;0.01648;0.01649;0.01644;0.01645;3184;-1
1769976780000;ROAM;-0.116073884;0.01645;0.01648;0.01641;0.01643;1997;-1
1769976840000;ROAM;-0.11646618;0.01643;0.01648;0.01641;0.01644;1123;-1
1769976900000;ROAM;-0.25689003;0.01644;0.01647;0.01642;0.01642;121;-1
1769976960000;ROAM;-0.20429248;0.01644;0.01649;0.01644;0.01649;2043;1
1769977020000;ROAM;-0.21858117;0.01649;0.0165;0.01642;0.01642;782;-1
1769977080000;ROAM;-0.28103945;0.01642;0.01644;0.01642;0.01643;2262;-1
1769977140000;ROAM;-0.28728282;0.01643;0.01644;0.01641;0.01641;2107;-1
1769977200000;ROAM;-0.35682806;0.01641;0.01641;0.0164;0.0164;64;-1
1769977260000;ROAM;-0.45976603;0.0164;0.0164;0.01625;0.01637;319272;-1
1769977320000;ROAM;-0.47812495;0.01637;0.01637;0.0163;0.01633;76918;-1
1769977380000;ROAM;-0.54521894;0.01633;0.01633;0.01628;0.01629;4098;-1
1769977440000;ROAM;-0.5397732;0.01629;0.01632;0.01629;0.01632;26907;1
1769977500000;ROAM;-0.57635194;0.01632;0.01635;0.01632;0.01633;2186;-1
1769977560000;ROAM;-0.6009175;0.01633;0.01634;0.01629;0.0163;9439;-1
1769977620000;ROAM;-0.63600534;0.0163;0.0163;0.01629;0.01629;3168;-1
1769977680000;ROAM;-0.70876354;0.01629;0.01629;0.01622;0.01623;19174;-1
1769977740000;ROAM;-0.7525284;0.01623;0.01625;0.01622;0.01623;13834;-1
1769977800000;ROAM;-0.9063784;0.01623;0.0163;0.01623;0.01629;5697;-1
1769977860000;ROAM;-0.79743874;0.01626;0.01634;0.01626;0.01634;3310;1
1769977920000;ROAM;-0.72433776;0.01634;0.01634;0.0163;0.01634;117;1
1769977980000;ROAM;-0.697134;0.01634;0.01634;0.01634;0.01634;2654;1
1769978040000;ROAM;-0.61012834;0.01634;0.01642;0.01634;0.01641;18384;1
