timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770085260000;XMR;0.06918708;388.09;389.65;387.93;389.65;54.49;1
1770085320000;XMR;0.08800943;389.65;389.97;389.06;389.28;26.07;1
1770085380000;XMR;0.04579289;389.28;389.46;388.63;389.46;31.08;-1
1770085440000;XMR;0.06195228;389.46;389.98;389.32;389.4;28.75;1
1770085500000;XMR;-0.029557185;389.4;389.44;388.94;389.24;79.34;-1
1770085560000;XMR;-0.079817705;389.24;389.39;387.84;388.29;42.66;-1
1770085620000;XMR;-0.14114119;388.29;388.29;387.45;387.66;27.99;-1
1770085680000;XMR;-0.17710388;387.66;387.74;387.08;387.08;23.65;-1
1770085740000;XMR;-0.18953115;387.08;387.42;386.81;387.12;22.77;-1
1770085800000;XMR;-0.40575865;387.12;387.13;385.39;385.39;81.88;-1
1770085860000;XMR;-0.5142934;385.39;385.49;383.5;384.96;388.56;-1
1770085920000;XMR;-0.4555568;384.96;386.19;384.47;385.34;55.07;1
1770085980000;XMR;-0.46008128;385.34;385.34;384.51;384.79;27.57;-1
1770086040000;XMR;-0.45687416;384.79;385.14;384.58;384.88;21.47;1
1770086100000;XMR;-0.40525484;384.88;385.17;384.81;385.12;10.8;1
1770086160000;XMR;-0.43307897;385.48;385.55;384;384.17;24.55;-1
1770086220000;XMR;-0.49022678;384.17;384.18;383.64;384.14;36.66;-1
1770086280000;XMR;-0.43685335;384.14;385.17;383.58;384.95;100.24;1
1770086340000;XMR;-0.39901546;384.95;384.96;384.33;384.77;20.25;1
1770086400000;XMR;-0.2854239;384.77;385.57;384.45;385.24;22.39;1
1770086460000;XMR;-0.22486915;385.24;385.97;385.23;385.93;43.79;1
1770086520000;XMR;-0.20172639;385.93;386.07;385.3;385.9;36.7;1
1770086580000;XMR;-0.19299498;385.9;386.08;385.64;385.83;15.22;1
1770086640000;XMR;-0.19392109;385.83;386.46;385.44;385.57;13.11;-1
1770086700000;XMR;-0.21745935;385.57;385.58;385.26;385.26;3.82;-1
1770086760000;XMR;-0.22687662;385.63;385.67;384.88;385.4;19.88;-1
1770086820000;XMR;-0.20998032;385.4;385.95;385.13;385.68;33.3;1
1770086880000;XMR;-0.18566763;385.68;386.24;385.56;385.61;38.05;1
1770086940000;XMR;-0.22478604;385.61;385.61;384.73;385.37;26.66;-1
1770087000000;XMR;-0.23270297;385.37;385.46;384.96;384.96;6.96;-1
1770087060000;XMR;-0.2708704;385.08;385.19;384.76;384.79;37.65;-1
1770087120000;XMR;-0.30708635;384.79;384.94;383.67;384.7;79.03;-1
1770087180000;XMR;-0.2986407;384.7;384.77;384.05;384.74;12.8;1
1770087240000;XMR;-0.25678423;384.74;385.25;384.73;385.15;26.54;1
1770087300000;XMR;-0.21639688;385.15;386.34;385.08;385.91;25.97;1
1770087360000;XMR;-0.18666133;385.91;386.34;385.71;385.74;42.19;1
1770087420000;XMR;-0.19041081;385.74;386.29;385.63;385.86;34.44;-1
1770087480000;XMR;-0.2644185;385.86;385.9;384.19;384.38;38.1;-1
1770087540000;XMR;-0.36682898;384.38;384.38;383.3;383.79;25.15;-1
1770087600000;XMR;-0.7310588;383.79;384.58;383.65;384.15;50.77;-1
1770087660000;XMR;-0.7002038;384.15;384.63;383.92;384.6;25.07;1
1770087720000;XMR;-0.78757715;384.6;384.6;382.02;382.2;163.22;-1
1770087780000;XMR;-0.84545714;382.2;383.91;382.01;382.6;269.12;-1
1770087840000;XMR;-0.86209434;382.6;383.05;382.04;382.04;122.08;-1
1770087900000;XMR;-1.111367;382.04;382.38;381.97;382.2;15.55;-1
1770087960000;XMR;-1.1016083;381.45;382.58;381.2;381.83;185.19;1
1770088020000;XMR;-1.0804497;381.83;382.27;381.64;381.9;47.28;1
1770088080000;XMR;-1.2171104;381.9;382.7;377.98;378.96;1262.24;-1
1770088140000;XMR;-1.3744456;378.96;379.32;377.53;378.65;275.54;-1
1770088200000;XMR;-1.331903;378.65;378.96;378.28;378.42;16.01;1
1770088260000;XMR;-1.2443078;379.8;380.57;379.64;380.29;69.65;1
1770088320000;XMR;-1.2415714;380.29;380.5;379.4;379.85;65.31;1
1770088380000;XMR;-1.2345648;379.85;380.52;379.64;379.96;43.04;1
1770088440000;XMR;-1.2536014;379.96;380.14;379.2;379.51;32.72;-1
1770088500000;XMR;-1.7619878;379.51;379.52;378.14;378.14;96.32;-1
1770088560000;XMR;-1.8441273;378.14;379.33;376.88;377.08;167.84;-1
1770088620000;XMR;-1.9303353;377.08;377.22;376.16;376.87;145.46;-1
1770088680000;XMR;-2.068236;376.87;377.79;372.78;373.56;1217.42;-1
1770088740000;XMR;-2.1793547;373.56;374.89;373.28;374.54;228.55;-1
1770088800000;XMR;-2.6465793;373.99;374.48;373.97;374.24;85.35;-1
1770088860000;XMR;-2.6488945;371.03;371.74;370.42;371.74;112.1;-1
1770088920000;XMR;-2.6010773;372.55;372.55;371.95;371.95;27.71;1
1770088980000;XMR;-2.6933994;371.31;371.76;370.56;370.56;58.78;-1
1770089040000;XMR;-2.6806839;370.36;370.72;370.31;370.51;24.76;1
1770089100000;XMR;-2.673565;371.2;371.43;370.67;370.74;49.1;1
1770089160000;XMR;-2.798421;371.1;371.2;370.47;370.69;57.8;-1
1770089220000;XMR;-2.7825556;369.2;369.45;368.87;368.87;50.09;1
1770089280000;XMR;-2.634647;370.17;370.64;370.1;370.64;25.25;1
1770089340000;XMR;-2.5729926;371.68;371.68;370.71;370.71;25.41;1
1770089400000;XMR;-2.2932007;371.52;372.91;370.97;372.87;173.67;1
1770089460000;XMR;-2.1732783;372.55;372.91;372.55;372.87;11.47;1
1770089520000;XMR;-2.1500404;373.66;373.82;373.49;373.74;13.81;1
1770089580000;XMR;-2.1499937;372.61;373.31;372.45;373.31;10.07;1
1770089640000;XMR;-2.122079;373.55;373.64;373.03;373.03;25.2;1
1770089700000;XMR;-1.8227416;372.83;373.76;372.83;373.74;9.68;1
1770089760000;XMR;-1.7010522;375.45;376.02;375.41;375.93;29.35;1
1770089820000;XMR;-1.707061;375.22;375.66;375.13;375.66;79.27;-1
1770089880000;XMR;-1.7118958;375;375.71;374.87;375.43;13.35;-1
1770089940000;XMR;-1.687737;374.72;375.17;374.67;375.16;9.47;1
1770090000000;XMR;-1.583317;375.6;375.83;375.57;375.71;11.07;1
1770090060000;XMR;-1.5480326;375.08;375.47;375.07;375.47;14.09;1
1770090120000;XMR;-1.5679908;375.57;376;375.57;375.75;14.2;-1
1770090180000;XMR;-1.5829959;375.3;375.79;375.3;375.58;11.42;-1
1770090240000;XMR;-1.6315578;375.03;375.29;374.58;375.2;33.03;-1
1770090300000;XMR;-1.5304071;374.06;374.06;373.4;373.64;22.75;1
1770090360000;XMR;-1.4530824;373.79;374.64;373.79;374.64;8.1;1
1770090420000;XMR;-1.4358522;375.17;375.17;374.81;374.81;17.42;1
1770090480000;XMR;-1.5124906;374.36;374.57;373.98;374.11;50.08;-1
1770090540000;XMR;-1.5043919;373.2;374.32;373.2;374.03;31.35;1
1770090600000;XMR;-1.3594604;374.36;374.57;374.06;374.46;13.54;1
1770090660000;XMR;-1.3087353;374.84;375.35;374.84;375.28;10.26;1
1770090720000;XMR;-1.2819636;374.8;375.05;374.8;374.86;6.23;1
1770090780000;XMR;-1.2432336;375.48;375.77;375.48;375.57;8.98;1
1770090840000;XMR;-1.2488155;375.47;375.7;375.24;375.7;8.72;-1
1770090900000;XMR;-1.0272163;375.34;375.41;375.19;375.41;5.16;1
1770090960000;XMR;-0.8580143;375.82;376.61;375.62;376.61;26.81;1
1770091020000;XMR;-0.7252619;378.66;379.29;378.66;379.13;52.22;1
1770091080000;XMR;-0.74965215;378.41;378.67;378.23;378.23;12.14;-1
1770091140000;XMR;-0.72919333;378.31;378.41;377.84;377.84;20.66;1
1770091200000;XMR;-0.67526805;378.91;379.2;378.78;379.18;8.81;1
1770091260000;XMR;-0.7496938;378.16;378.29;377.71;377.8;13.5;-1
1770091320000;XMR;-0.82874054;377.52;377.52;377.17;377.23;7.25;-1
