timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770105540000;DUSK;0.009136022;0.11635;0.11698;0.11604;0.11695;121041;-1
1770105600000;DUSK;-0.4204656;0.11695;0.11699;0.11543;0.1161;139646;-1
1770105660000;DUSK;-0.7223603;0.1161;0.11621;0.11372;0.11423;258756;-1
1770105720000;DUSK;-0.9549089;0.11423;0.11429;0.11328;0.11378;198918;-1
1770105780000;DUSK;-0.7915504;0.11446;0.11456;0.11364;0.11395;80395;1
1770105840000;DUSK;-0.83842057;0.11361;0.11396;0.11357;0.11395;31562;-1
1770105900000;DUSK;-0.8570079;0.11396;0.11435;0.1139;0.11392;74595;-1
1770105960000;DUSK;-0.9435767;0.11372;0.11386;0.11342;0.11342;37980;-1
1770106020000;DUSK;-0.90553826;0.11375;0.11375;0.11335;0.11353;34844;1
1770106080000;DUSK;-0.8474606;0.11371;0.11376;0.11355;0.11369;22516;1
1770106140000;DUSK;-0.7737718;0.11395;0.11399;0.11365;0.11376;17682;1
1770106200000;DUSK;-1.135019;0.11318;0.11318;0.11277;0.11278;15502;-1
1770106260000;DUSK;-1.0317737;0.11304;0.11339;0.11301;0.11339;21582;1
1770106320000;DUSK;-0.8857265;0.11355;0.11373;0.11347;0.11368;41697;1
1770106380000;DUSK;-0.76565516;0.11389;0.11417;0.11387;0.11389;14807;1
1770106440000;DUSK;-0.8017522;0.11355;0.11408;0.11355;0.11408;13100;-1
1770106500000;DUSK;-0.25051552;0.11427;0.11471;0.11413;0.1147;15204;1
1770106560000;DUSK;-0.20197423;0.11459;0.11471;0.11454;0.11464;11409;1
1770106620000;DUSK;-0.51578593;0.11365;0.11367;0.11353;0.11362;14639;-1
1770106680000;DUSK;-0.3753346;0.11425;0.11425;0.11382;0.11384;13914;1
1770106740000;DUSK;-0.6910342;0.11301;0.11318;0.11269;0.11316;85976;-1
1770106800000;DUSK;-0.96647537;0.11316;0.11316;0.11281;0.113;38681;-1
1770106860000;DUSK;-0.9701888;0.113;0.113;0.11293;0.11296;5747;-1
1770109200000;DUSK;-1.0859216;0.11078;0.11204;0.11067;0.11194;172334;-1
1770110100000;DUSK;-1.4351108;0.11078;0.11183;0.11067;0.11173;164650;-1
1770110700000;DUSK;-1.7797611;0.11078;0.11183;0.11067;0.11173;164650;-1
1770110760000;DUSK;-2.4284582;0.11078;0.11106;0.11067;0.11088;47736;-1
1770110820000;DUSK;-2.3356612;0.11088;0.11119;0.11087;0.11115;20383;1
1770110880000;DUSK;-2.1862304;0.11115;0.11178;0.11114;0.1115;33611;1
1770110940000;DUSK;-2.1002474;0.1115;0.11183;0.11126;0.11173;62920;1
1770111000000;DUSK;-1.5896621;0.11173;0.11204;0.1117;0.11194;7684;1
1770111060000;DUSK;-1.3775393;0.11223;0.11294;0.11209;0.1126;117630;1
1770111120000;DUSK;-1.2395769;0.11265;0.11308;0.11265;0.11308;8599;1
1770111180000;DUSK;-1.1953746;0.11288;0.11318;0.11272;0.11315;12956;1
1770111240000;DUSK;-1.0348321;0.11334;0.11368;0.11319;0.11368;38141;1
1770111300000;DUSK;-0.5796371;0.1136;0.11368;0.11336;0.11344;16318;1
1770111360000;DUSK;-0.4930927;0.11369;0.11404;0.11358;0.11386;17666;1
1770111420000;DUSK;-0.45250246;0.11385;0.11407;0.11379;0.114;13890;1
1770111480000;DUSK;-0.49462706;0.11384;0.11386;0.11366;0.11386;6608;-1
1770111540000;DUSK;-0.40381843;0.11391;0.1144;0.1138;0.11428;42042;1
1770111600000;DUSK;-0.16252963;0.11437;0.1144;0.11418;0.11421;26728;1
1770111660000;DUSK;-0.19839396;0.11413;0.11428;0.11413;0.11424;6556;-1
1770111720000;DUSK;-0.22768761;0.11414;0.11415;0.11405;0.11413;2254;-1
1770111780000;DUSK;-0.16312897;0.11425;0.11444;0.1142;0.11444;14246;1
1770111840000;DUSK;-0.0784952;0.11456;0.11471;0.11453;0.11466;7289;1
1770111900000;DUSK;0.538414;0.11456;0.11496;0.11456;0.11496;8662;1
1770111960000;DUSK;0.51308143;0.11476;0.11479;0.11461;0.11466;5719;-1
1770112020000;DUSK;0.42636093;0.11451;0.11455;0.11437;0.11439;3165;-1
1770112080000;DUSK;0.3575625;0.11413;0.11438;0.11413;0.11438;4278;-1
1770112140000;DUSK;0.47836775;0.11472;0.11472;0.11457;0.11457;8088;1
1770112200000;DUSK;0.5265802;0.11442;0.1147;0.11442;0.11461;12050;1
1770112260000;DUSK;0.5808898;0.11476;0.11522;0.11461;0.11495;40332;1
1770112320000;DUSK;0.6031515;0.11511;0.11515;0.11508;0.11508;1934;1
1770112380000;DUSK;0.696093;0.11516;0.11539;0.11516;0.11531;13889;1
1770112440000;DUSK;0.67015517;0.11532;0.11532;0.1152;0.11528;4764;-1
