timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770105540000;WAVES;0.035020627;0.5948;0.597;0.5944;0.5956;10791.6;1
1770105600000;WAVES;0.08470269;0.5956;0.598;0.5938;0.596;52768.5;1
1770105660000;WAVES;0.08131597;0.5966;0.5969;0.5953;0.5959;10619.8;-1
1770105720000;WAVES;0.08021583;0.5959;0.5969;0.5959;0.5966;5037.1;-1
1770105780000;WAVES;0.06679129;0.5966;0.5968;0.5956;0.5958;14260.5;-1
1770105840000;WAVES;-0.07718324;0.5958;0.5958;0.5911;0.5916;20760.3;-1
1770105900000;WAVES;-0.28748304;0.5916;0.5929;0.5913;0.5929;1711.2;-1
1770105960000;WAVES;-0.29620615;0.5918;0.5925;0.59;0.5908;10895.3;-1
1770106020000;WAVES;-0.31506178;0.5908;0.5919;0.5898;0.5898;20397.3;-1
1770106080000;WAVES;-0.23523161;0.5898;0.5942;0.5898;0.5927;18948.2;1
1770106140000;WAVES;-0.15318353;0.5927;0.5937;0.5919;0.5931;20741.9;1
1770106200000;WAVES;-0.092042305;0.5931;0.5932;0.5925;0.5929;6509.7;1
1770106260000;WAVES;-0.21552375;0.5922;0.5931;0.5886;0.5888;44144.4;-1
1770106320000;WAVES;-0.20797412;0.5888;0.5933;0.5885;0.5918;40424.2;1
1770106380000;WAVES;-0.07726032;0.5918;0.5944;0.5913;0.5931;11099.2;1
1770106440000;WAVES;-0.07336118;0.5931;0.5934;0.5921;0.5921;1908.9;1
1770106500000;WAVES;-0.17590836;0.5921;0.5925;0.5921;0.5922;260.7;-1
1770106560000;WAVES;-0.050939705;0.5929;0.5965;0.5926;0.5965;9771.6;1
1770106620000;WAVES;0.035346653;0.5965;0.5965;0.5951;0.5965;12740.2;1
1770106680000;WAVES;0.00946374;0.5965;0.5975;0.5947;0.5947;9214.3;-1
1770106740000;WAVES;-0.14443383;0.5947;0.5947;0.592;0.5921;28906.7;-1
1770106800000;WAVES;-0.24253741;0.5921;0.5925;0.5916;0.592;2113;-1
1770106860000;WAVES;-0.28716773;0.5914;0.5919;0.59;0.59;5343.5;-1
1770106920000;WAVES;-0.25987878;0.59;0.5936;0.59;0.5911;15200;1
1770106980000;WAVES;-0.22783495;0.5911;0.5923;0.5911;0.592;3877.3;1
1770107040000;WAVES;-0.15352307;0.592;0.5936;0.592;0.5936;3783.4;1
1770107100000;WAVES;-0.070214085;0.5936;0.5938;0.5921;0.5925;5199.2;1
1770107160000;WAVES;-0.032129638;0.5925;0.5955;0.5922;0.5943;17515.9;1
1770107220000;WAVES;0.021307843;0.5943;0.5953;0.594;0.5945;4204.7;1
1770107280000;WAVES;0.01118028;0.5945;0.5953;0.5934;0.5944;7873.9;-1
1770107340000;WAVES;-0.0030918638;0.5944;0.5947;0.5936;0.5941;2332.4;-1
1770107400000;WAVES;0.107390516;0.5941;0.5942;0.5935;0.5942;1219.1;1
1770107460000;WAVES;0.10184431;0.5949;0.5958;0.5938;0.5942;7984.2;-1
1770107520000;WAVES;0.0070985733;0.5942;0.5942;0.592;0.5922;5098.4;-1
1770107580000;WAVES;-0.0455884;0.5922;0.5925;0.592;0.5924;2197.8;-1
1770107640000;WAVES;-0.046802144;0.5924;0.5924;0.592;0.5921;182.2;-1
1770107700000;WAVES;-0.20608562;0.5921;0.5923;0.5908;0.5908;3053.3;-1
1770107760000;WAVES;-0.21685728;0.5912;0.5925;0.5902;0.591;10720.5;-1
1770107820000;WAVES;-0.27310905;0.591;0.5913;0.5892;0.5895;13686.3;-1
1770107880000;WAVES;-0.30527318;0.5895;0.5902;0.5891;0.5898;4023.2;-1
