timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770112620000;SYN;0.1357493;0.07411;0.07491;0.07394;0.07415;213751;-1
1770112680000;SYN;0.010424746;0.07415;0.0745;0.07371;0.07379;226387;-1
1770112740000;SYN;-0.17164758;0.07379;0.07382;0.07327;0.07336;125675;-1
1770112800000;SYN;0.018203355;0.07336;0.07373;0.07334;0.07353;65721;1
1770113700000;SYN;0.8898532;0.07873;0.07949;0.07748;0.0793;713075;1
1770114300000;SYN;2.284493;0.07873;0.07949;0.07748;0.0793;713075;1
1770114420000;SYN;4.609167;0.07873;0.07942;0.07873;0.0793;114093;1
1770114480000;SYN;4.2310796;0.0793;0.07949;0.07841;0.07846;204522;-1
1770114540000;SYN;3.8927765;0.07846;0.07942;0.07748;0.0793;394460;-1
1770114600000;SYN;3.874612;0.0793;0.0819;0.07903;0.08129;513767;-1
1770114660000;SYN;3.8276546;0.08129;0.08148;0.08026;0.08029;373243;-1
1770114720000;SYN;3.5717063;0.08026;0.08132;0.08022;0.08112;212779;-1
1770114780000;SYN;3.3180914;0.08061;0.08101;0.07983;0.08;187769;-1
1770114840000;SYN;3.1161711;0.08;0.08059;0.07984;0.08024;167883;-1
1770114900000;SYN;2.9089563;0.08024;0.0805;0.07999;0.08002;75134;-1
1770116400000;SYN;2.4569514;0.07402;0.07442;0.07316;0.07317;432819;-1
1770118200000;SYN;1.0922589;0.07402;0.07442;0.07344;0.07352;305691;-1
1770118800000;SYN;-1.1347835;0.07402;0.07442;0.07344;0.07352;305691;-1
1770118860000;SYN;-3.9152012;0.07402;0.07432;0.07386;0.07429;73921;-1
1770118920000;SYN;-3.732073;0.07429;0.07442;0.07425;0.0743;27300;1
1770118980000;SYN;-3.6864007;0.0743;0.07442;0.07407;0.07416;45932;1
1770119040000;SYN;-3.7901685;0.07416;0.07427;0.07344;0.07352;158538;-1
1770119100000;SYN;-3.1242757;0.07352;0.07363;0.07316;0.07317;127128;1
1770119160000;SYN;-3.1148434;0.07316;0.07328;0.07277;0.07321;210814;1
1770119220000;SYN;-2.942181;0.07342;0.07353;0.07328;0.07346;61093;1
1770119280000;SYN;-2.767005;0.07339;0.07384;0.07339;0.07384;33618;1
1770119340000;SYN;-2.56175;0.0739;0.07414;0.07388;0.07396;80543;1
1770119400000;SYN;-2.217543;0.07396;0.07429;0.07381;0.07384;52083;1
1770119460000;SYN;-2.34399;0.07391;0.07391;0.0734;0.07345;31207;-1
1770119520000;SYN;-2.3668747;0.07339;0.07369;0.07339;0.07348;73567;-1
1770119580000;SYN;-2.3612897;0.07352;0.07352;0.07334;0.07335;16419;1
1770119640000;SYN;-2.3055475;0.07334;0.07338;0.07328;0.07338;10584;1
1770119700000;SYN;-2.3605363;0.07355;0.07369;0.07335;0.07337;23964;-1
1770119760000;SYN;-2.4089298;0.07334;0.07337;0.07318;0.07334;47005;-1
1770119820000;SYN;-2.5391448;0.07327;0.07327;0.07302;0.07309;17580;-1
1770119880000;SYN;-2.6086538;0.07263;0.07289;0.0726;0.07261;55622;-1
1770119940000;SYN;-2.573735;0.07275;0.0728;0.07263;0.07268;44175;1
1770120000000;SYN;-2.5705783;0.07271;0.07299;0.07262;0.07271;88499;1
1770120060000;SYN;-2.6169472;0.07268;0.0727;0.07248;0.07257;71027;-1
1770120120000;SYN;-2.6908057;0.0725;0.0725;0.0721;0.0723;74547;-1
1770120180000;SYN;-2.7194438;0.07233;0.07233;0.07218;0.07229;22125;-1
1770120240000;SYN;-2.676157;0.07213;0.07255;0.07213;0.07247;53003;1
1770120300000;SYN;-2.6887784;0.07219;0.07219;0.07192;0.07211;28234;-1
1770120360000;SYN;-2.6464262;0.07215;0.07219;0.07203;0.07212;18279;1
1770120420000;SYN;-2.5501683;0.07214;0.07249;0.07213;0.07241;35394;1
1770120480000;SYN;-2.5100014;0.07235;0.07244;0.07233;0.07235;19996;1
1770120540000;SYN;-2.527141;0.07221;0.07228;0.07215;0.07223;35451;-1
1770120600000;SYN;-2.256069;0.07221;0.07227;0.07215;0.07222;24473;1
1770120660000;SYN;-2.2551312;0.07219;0.0722;0.07209;0.07209;8877;1
1770120720000;SYN;-2.2438345;0.07214;0.07222;0.07205;0.07205;17346;1
1770120780000;SYN;-2.1857746;0.07211;0.07236;0.0721;0.07235;52446;1
