timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770030480000;F;0.012705189;0.006545;0.006595;0.006522;0.006583;10972000;-1
1770030540000;F;-0.10461242;0.006583;0.006589;0.006476;0.006477;5441015;-1
1770030600000;F;-0.5429368;0.006477;0.006486;0.006425;0.006453;13770557;-1
1770030660000;F;-0.47920528;0.006455;0.006473;0.006452;0.006453;1686017;1
1770030720000;F;-0.67331135;0.006405;0.006426;0.006397;0.006398;3869583;-1
1770030780000;F;-0.6652411;0.006413;0.006414;0.006363;0.006384;3641044;1
1770030840000;F;-0.712523;0.006365;0.006386;0.006363;0.006373;5468925;-1
1770030900000;F;-0.6758837;0.006417;0.006423;0.006393;0.006419;1371780;1
1770030960000;F;-0.89906883;0.006372;0.006378;0.006344;0.006364;4798349;-1
1770031020000;F;-0.7978646;0.006385;0.006395;0.006356;0.006365;1560526;1
1770031080000;F;-0.8097518;0.006367;0.006378;0.006359;0.006363;1263612;-1
1770031140000;F;-0.8688637;0.006341;0.006367;0.006331;0.00636;3597636;-1
1770031200000;F;-0.7575517;0.006392;0.006399;0.006356;0.006358;2527866;1
1770031260000;F;-0.7972259;0.006362;0.006377;0.006359;0.006363;1497145;-1
1770031320000;F;-0.8075732;0.006367;0.006377;0.006347;0.006347;1888257;-1
1770031380000;F;-0.8336365;0.006355;0.006366;0.006332;0.006351;8499995;-1
1770031440000;F;-0.69721514;0.006366;0.006388;0.006362;0.006373;4695088;1
1770031500000;F;-1.0243156;0.006353;0.006353;0.006307;0.006307;6495706;-1
1770031560000;F;-1.2053157;0.006287;0.006311;0.006287;0.006287;4464053;-1
1770031620000;F;-1.1934929;0.006291;0.006304;0.00628;0.006284;8949622;1
1770031680000;F;-1.1241019;0.006292;0.006307;0.006289;0.006301;13266671;1
1770031740000;F;-0.96720743;0.006327;0.006331;0.00631;0.006317;2125948;1
1770031800000;F;-1.2767875;0.006288;0.006314;0.006287;0.006314;8085421;-1
1770031860000;F;-1.1026086;0.006336;0.006339;0.006311;0.006328;3305848;1
1770031920000;F;-0.92154557;0.006347;0.006379;0.006343;0.006366;4996040;1
1770031980000;F;-0.6467888;0.006412;0.006414;0.006395;0.006407;3609658;1
1770032040000;F;-0.7285466;0.006385;0.006416;0.006375;0.006397;4442403;-1
1770032100000;F;-0.29885018;0.006398;0.006403;0.006385;0.006386;1223921;1
1770032160000;F;-0.2472589;0.006403;0.00641;0.006391;0.006406;819816;1
1770032220000;F;-0.34035984;0.006375;0.006405;0.006375;0.006391;1410568;-1
1770032280000;F;-0.13977769;0.006417;0.006436;0.006409;0.006427;2368986;1
1770032340000;F;-0.41887948;0.006373;0.006382;0.006369;0.006371;1974876;-1
1770032400000;F;-0.52667224;0.006363;0.006389;0.006339;0.006389;2813877;-1
1770032460000;F;-0.10162646;0.006407;0.006492;0.0064;0.006481;6934474;1
1770032520000;F;0.33677068;0.006534;0.006542;0.006494;0.006528;10086154;1
1770032580000;F;0.29428932;0.006517;0.006548;0.006504;0.006514;8086220;-1
1770032640000;F;0.38591307;0.006515;0.006569;0.006512;0.006566;4427026;1
1770032700000;F;2.446232;0.006591;0.006652;0.006584;0.006595;8618032;1
1770032760000;F;2.6483445;0.006662;0.006676;0.00661;0.006639;7161235;1
1770032820000;F;2.5954275;0.006633;0.006673;0.006624;0.006644;5651512;-1
1770032880000;F;2.65158;0.006675;0.006682;0.006633;0.006647;4129553;1
1770032940000;F;2.6128561;0.006662;0.006676;0.006643;0.006652;2117650;-1
1770033000000;F;2.3091807;0.006642;0.006647;0.006582;0.006597;7982113;-1
1770033060000;F;2.2776673;0.006621;0.00663;0.006606;0.006606;2771795;-1
1770033120000;F;2.3556561;0.006643;0.00665;0.006619;0.006623;7976518;1
1770033180000;F;2.184982;0.00662;0.006629;0.006584;0.006598;2896650;-1
1770033240000;F;1.9693427;0.006582;0.006589;0.006551;0.00657;4087800;-1
1770033300000;F;1.9788011;0.006597;0.00662;0.006585;0.006606;3231952;1
1770033360000;F;1.7892847;0.006569;0.00658;0.006567;0.00657;1951161;-1
1770033420000;F;1.4281412;0.00656;0.006564;0.006457;0.006458;24659864;-1
1770033480000;F;1.1755192;0.006458;0.006485;0.006452;0.006469;9938819;-1
1770033540000;F;1.4499588;0.006494;0.006557;0.006489;0.00652;19802716;1
1770033600000;F;0.21856657;0.006525;0.006525;0.006401;0.006463;79124560;-1
1770033660000;F;0.24983653;0.006477;0.006505;0.006468;0.006488;11231628;1
1770033720000;F;0.021387748;0.006462;0.006467;0.006414;0.006435;4286415;-1
1770033780000;F;0.3507543;0.006444;0.006567;0.006434;0.006566;8162275;1
1770033840000;F;1.1504126;0.006555;0.006738;0.006551;0.006738;38370032;1
1770033900000;F;4.722003;0.006865;0.007026;0.006865;0.007003;23589908;1
1770033960000;F;4.3688207;0.006889;0.006941;0.006826;0.006886;14026778;-1
1770034020000;F;5.164197;0.00704;0.007077;0.006959;0.007062;13747945;1
1770034080000;F;4.6956835;0.006941;0.006989;0.006935;0.006978;9919802;-1
1770034140000;F;4.365729;0.006925;0.006933;0.006865;0.006917;9447389;-1
1770034200000;F;5.0533943;0.007018;0.007051;0.006953;0.007029;8106029;1
1770034260000;F;5.022341;0.007038;0.007042;0.006988;0.006995;3838452;-1
1770034320000;F;4.3177214;0.006883;0.006924;0.006879;0.006906;10048942;-1
1770034380000;F;4.3144937;0.006931;0.006935;0.006853;0.006895;7955073;-1
1770034440000;F;4.024238;0.006868;0.006887;0.006795;0.00688;12621079;-1
1770034500000;F;4.0274673;0.006831;0.00688;0.00683;0.006873;3544573;1
1770034560000;F;4.14266;0.006848;0.006924;0.006848;0.006896;7306825;1
1770034620000;F;4.0472803;0.006853;0.006888;0.006846;0.006881;2279952;-1
1770034680000;F;4.3215904;0.006919;0.006943;0.006898;0.006924;5374490;1
1770034740000;F;4.4568534;0.006929;0.006983;0.006921;0.00697;1839091;1
1770034800000;F;4.911693;0.006949;0.006997;0.006941;0.006984;3326875;1
1770034860000;F;4.3618765;0.006898;0.006901;0.006847;0.006853;4851234;-1
1770034920000;F;4.4837413;0.006907;0.006918;0.006878;0.006901;2374695;1
1770034980000;F;4.6318855;0.006951;0.006956;0.006904;0.006918;2862050;1
1770035040000;F;4.5768247;0.006941;0.006953;0.006902;0.006913;2410367;-1
1770035100000;F;4.005051;0.006901;0.006919;0.006886;0.006894;3404306;-1
1770035160000;F;3.4973528;0.00685;0.006853;0.006746;0.006802;10559323;-1
1770035220000;F;3.4879525;0.006799;0.006846;0.006796;0.006815;7642280;-1
1770035280000;F;3.5177119;0.006835;0.006852;0.006798;0.006804;3268203;1
1770035340000;F;3.5431075;0.006817;0.006857;0.006807;0.006838;4267845;1
1770035400000;F;2.868339;0.006839;0.006847;0.006795;0.006809;2846722;-1
1770035460000;F;2.9028015;0.00683;0.006846;0.006814;0.006836;2866485;1
1770035520000;F;2.8704913;0.006843;0.006843;0.006808;0.00682;1493852;-1
1770035580000;F;2.6434214;0.006823;0.006823;0.006756;0.006759;4977795;-1
1770035640000;F;2.4137316;0.006745;0.006767;0.006728;0.006764;4765081;-1
1770035700000;F;2.3993766;0.006758;0.006831;0.006756;0.006802;5659164;-1
1770035760000;F;2.4640987;0.006809;0.006816;0.006781;0.006796;2287906;1
1770035820000;F;2.5364852;0.006824;0.006836;0.006794;0.006809;2615886;1
1770035880000;F;2.2717748;0.006771;0.006782;0.006762;0.006766;1276732;-1
1770035940000;F;2.111256;0.006779;0.006779;0.006707;0.006707;5655213;-1
