timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770043920000;RLS;0.12582445;0.006847;0.006898;0.006832;0.006891;240090;1
1770043980000;RLS;0.24542128;0.006891;0.006945;0.006887;0.006925;468000;1
1770044040000;RLS;0.3106254;0.006925;0.006969;0.006913;0.006967;1275770;1
1770044100000;RLS;2.722791;0.006967;0.007465;0.00696;0.007349;11450500;1
1770044160000;RLS;3.32052;0.007349;0.007521;0.007215;0.007403;5084700;1
1770044220000;RLS;3.2838457;0.007403;0.007508;0.007287;0.007508;4310250;-1
1770044280000;RLS;3.6376302;0.007508;0.007754;0.007444;0.007526;6736690;1
1770044340000;RLS;3.8915467;0.007526;0.007914;0.007486;0.007755;10353830;1
1770044400000;RLS;4.7118063;0.007755;0.007925;0.007588;0.007913;10175630;1
1770044460000;RLS;5.094407;0.007913;0.008;0.007852;0.00798;1537590;1
1770044520000;RLS;4.4885607;0.007964;0.008073;0.0078;0.0078;4723160;-1
1770044580000;RLS;3.5541666;0.007792;0.007831;0.007566;0.007586;6859680;-1
1770044640000;RLS;3.135604;0.007646;0.007691;0.007594;0.007618;1893200;-1
1770044700000;RLS;2.732688;0.007639;0.007842;0.007613;0.007809;4283940;-1
1770044760000;RLS;2.8968754;0.007865;0.007865;0.007768;0.007791;902730;1
1770044820000;RLS;2.4894874;0.00776;0.007796;0.007678;0.007796;2871730;-1
1770044880000;RLS;1.9039775;0.007725;0.007772;0.0077;0.007772;1491840;-1
1770044940000;RLS;1.7724361;0.007567;0.007643;0.007475;0.007609;3817440;-1
1770045000000;RLS;2.303453;0.0077;0.007813;0.007669;0.007795;812960;1
1770045060000;RLS;2.5887187;0.007758;0.007947;0.00773;0.007893;3345580;1
1770045120000;RLS;2.282606;0.0078;0.007875;0.007795;0.007817;969130;-1
1770045180000;RLS;2.136548;0.007748;0.007763;0.007687;0.007745;490690;-1
1770045240000;RLS;1.9507381;0.00775;0.007758;0.007719;0.007755;1109950;-1
1770045300000;RLS;2.0956573;0.007663;0.007761;0.007631;0.007722;4832150;1
1770045360000;RLS;2.2198708;0.007714;0.007717;0.007648;0.007674;429620;1
1770045420000;RLS;2.1978416;0.007757;0.007786;0.007718;0.007723;137570;-1
1770045480000;RLS;1.964323;0.007691;0.007704;0.007663;0.007676;340260;-1
1770045540000;RLS;1.8544532;0.007675;0.007694;0.007656;0.007674;362950;-1
1770045600000;RLS;1.9254674;0.007675;0.007675;0.0076;0.007625;1171110;1
