timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770205200000;ENSO;0.08447826;1.2437;1.2446;1.2429;1.2429;7677.6;-1
1770205260000;ENSO;0.05529593;1.2429;1.2432;1.2406;1.2431;9711;-1
1770205320000;ENSO;0.123750076;1.2431;1.2484;1.2426;1.2477;85530.5;1
1770205380000;ENSO;0.14689785;1.2477;1.2477;1.246;1.2464;5183.5;1
1770205440000;ENSO;0.18831599;1.2464;1.253;1.2464;1.251;41444.8;1
1770205500000;ENSO;0.24072097;1.251;1.2545;1.2487;1.2488;13138.6;1
1770205560000;ENSO;0.14568326;1.2455;1.247;1.2442;1.2468;11536.9;-1
1770205620000;ENSO;0.20737743;1.2468;1.2503;1.2467;1.2492;9126.6;1
1770205680000;ENSO;0.23767756;1.2492;1.2505;1.249;1.2499;4932.6;1
1770205740000;ENSO;0.25002325;1.2499;1.2515;1.2495;1.2509;4250.1;1
1770205800000;ENSO;0.18667899;1.2509;1.2509;1.2489;1.2499;3577.8;-1
1770205860000;ENSO;0.14441343;1.2487;1.2499;1.2474;1.2479;4052.1;-1
1770205920000;ENSO;0.09440329;1.2479;1.2486;1.2449;1.2457;27272.2;-1
1770205980000;ENSO;0.085117646;1.2457;1.2486;1.2442;1.2472;13489.7;-1
1770206040000;ENSO;0.09374665;1.2472;1.2474;1.2458;1.2464;6122.9;1
1770206100000;ENSO;-0.047067683;1.2464;1.2474;1.2432;1.2448;40263.4;-1
1770206160000;ENSO;-0.06581111;1.2448;1.2456;1.2438;1.2446;14385.3;-1
1770206220000;ENSO;-0.02042726;1.2446;1.2487;1.2431;1.2484;12619.1;1
1770206280000;ENSO;0.035345342;1.2484;1.2492;1.2475;1.2475;9691.5;1
1770206340000;ENSO;-0.026018308;1.2475;1.2475;1.2445;1.2447;7817.5;-1
1770206400000;ENSO;-0.12623468;1.2447;1.2465;1.2426;1.2458;9841.1;-1
1770206460000;ENSO;-0.113226;1.2432;1.2503;1.2376;1.2473;140596.2;1
1770206520000;ENSO;-0.01615527;1.2473;1.2495;1.2461;1.2488;16196.1;1
1770206580000;ENSO;-0.018451976;1.2488;1.2488;1.2467;1.2473;11329.8;-1
1770206640000;ENSO;-0.06344913;1.2473;1.2475;1.245;1.2457;6762.3;-1
1770206700000;ENSO;-0.022646237;1.2457;1.2488;1.2451;1.2488;7021.3;1
1770206760000;ENSO;0.064246036;1.2488;1.2537;1.2485;1.2496;46355.9;1
1770206820000;ENSO;-0.025254084;1.2496;1.2496;1.2444;1.245;12486.8;-1
1770206880000;ENSO;-0.10099271;1.245;1.2461;1.2433;1.2437;9400;-1
1770206940000;ENSO;-0.12765096;1.2437;1.2444;1.2424;1.2436;8676.1;-1
1770207000000;ENSO;-0.14557086;1.2436;1.2448;1.2432;1.2445;7732.6;-1
1770207060000;ENSO;-0.16637135;1.2445;1.2445;1.2408;1.2431;18346.2;-1
1770207120000;ENSO;-0.1433853;1.2431;1.2451;1.2426;1.2449;8165.4;1
1770207180000;ENSO;-0.13627177;1.2449;1.2449;1.2432;1.2434;3451.7;1
1770207240000;ENSO;-0.10195851;1.2434;1.2471;1.2434;1.247;9718.8;1
1770207300000;ENSO;0.080429345;1.247;1.248;1.2463;1.248;5300.5;1
1770207360000;ENSO;0.13594495;1.2477;1.2515;1.2476;1.2508;21004.1;1
1770207420000;ENSO;0.17633641;1.2508;1.2515;1.2506;1.2506;8468.1;1
1770207480000;ENSO;0.17089729;1.2506;1.2519;1.2491;1.2516;7883.7;-1
1770207540000;ENSO;0.25840396;1.2516;1.2573;1.251;1.2558;38064.7;1
1770207600000;ENSO;0.50434965;1.2558;1.2564;1.2552;1.2559;5076.9;1
1770207660000;ENSO;0.53551346;1.2573;1.2607;1.2544;1.2584;29765.7;1
1770207720000;ENSO;0.5117273;1.2584;1.2592;1.2541;1.2568;26991.7;-1
1770207780000;ENSO;0.4813746;1.2568;1.2569;1.2546;1.2569;7340.2;-1
1770207840000;ENSO;0.46633708;1.2569;1.2569;1.2545;1.2556;6983.7;-1
1770207900000;ENSO;0.389322;1.2556;1.2559;1.2535;1.2535;8703.1;-1
1770207960000;ENSO;0.38956317;1.2535;1.2567;1.2535;1.2554;8443.3;1
