timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770137940000;1000TAG;-0.07790357;0.3465;0.3465;0.3448;0.3448;28;-1
1770138000000;1000TAG;-0.2813243;0.3448;0.3448;0.3448;0.3448;0;-1
1770138060000;1000TAG;-0.26496294;0.3448;0.3448;0.3448;0.3448;0;1
1770138120000;1000TAG;-0.25186342;0.3448;0.3448;0.3448;0.3448;0;1
1770138180000;1000TAG;-0.24113871;0.3448;0.3448;0.3448;0.3448;0;1
1770138240000;1000TAG;-0.2321967;0.3448;0.3448;0.3448;0.3448;0;1
1770138300000;1000TAG;-0.20041882;0.3448;0.3448;0.3448;0.3448;0;1
1770138360000;1000TAG;-0.19392802;0.3448;0.3448;0.3448;0.3448;0;1
1770138420000;1000TAG;-0.18830082;0.3448;0.3448;0.3448;0.3448;0;1
1770138480000;1000TAG;-0.18337563;0.3448;0.3448;0.3448;0.3448;0;1
1770138540000;1000TAG;-0.17902876;0.3448;0.3448;0.3448;0.3448;0;1
1770138600000;1000TAG;-0.17761296;0.3448;0.3448;0.3446;0.3446;29;1
1770138660000;1000TAG;-0.20410621;0.3446;0.3446;0.3442;0.3442;94;-1
1770138720000;1000TAG;-0.21937984;0.3442;0.3442;0.3442;0.3442;77;-1
1770138780000;1000TAG;-0.1729196;0.3442;0.345;0.3442;0.345;108;1
1770138840000;1000TAG;-0.1696865;0.345;0.345;0.3442;0.3442;4;1
1770138900000;1000TAG;-0.16260941;0.3442;0.345;0.3442;0.345;62;1
1770138960000;1000TAG;-0.13419482;0.345;0.345;0.3445;0.3449;55;1
1770139020000;1000TAG;-0.12757936;0.3449;0.3449;0.3449;0.3449;0;1
1770139080000;1000TAG;-0.17285688;0.3449;0.3449;0.344;0.344;11;-1
1770139140000;1000TAG;-0.19074267;0.344;0.3448;0.3434;0.3448;3726;-1
1770139200000;1000TAG;-0.15128258;0.3448;0.3448;0.3443;0.3443;871;1
1770139260000;1000TAG;-0.1440752;0.3443;0.3449;0.3443;0.3449;19;1
1770139320000;1000TAG;-0.1112293;0.3449;0.3449;0.3449;0.3449;0;1
1770139380000;1000TAG;-0.07426986;0.3449;0.3456;0.3449;0.3456;545;1
1770139440000;1000TAG;-0.05404424;0.3456;0.3458;0.3452;0.3452;332;1
1770139500000;1000TAG;-0.025359167;0.3452;0.3452;0.3452;0.3452;278;1
