timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770137640000;AXS;0.002368097;1.5643;1.5665;1.5628;1.5628;5512.6;-1
1770137700000;AXS;-0.07671367;1.5628;1.5654;1.5585;1.5587;7654.8;-1
1770137760000;AXS;-0.14098716;1.5587;1.5589;1.5549;1.5561;11162.4;-1
1770137820000;AXS;-0.115060456;1.5561;1.559;1.5555;1.559;22344.9;1
1770137880000;AXS;-0.092317425;1.559;1.5592;1.5561;1.5572;12780.4;1
1770137940000;AXS;-0.08310148;1.5572;1.5596;1.5569;1.558;10899.2;1
1770138000000;AXS;-0.16310957;1.558;1.5581;1.5557;1.5578;8714;-1
1770138060000;AXS;-0.1832989;1.5551;1.5575;1.5537;1.5547;12195;-1
1770138120000;AXS;-0.15074341;1.5547;1.5586;1.5547;1.5574;13802.4;1
1770138180000;AXS;-0.11199914;1.5574;1.559;1.5563;1.5589;12732.9;1
1770138240000;AXS;-0.085353225;1.5589;1.561;1.5556;1.5607;21836.9;1
1770138300000;AXS;-0.032419853;1.5607;1.5619;1.5571;1.5581;22434.7;1
1770138360000;AXS;-0.042916134;1.5581;1.5615;1.5576;1.5589;27474.3;-1
1770138420000;AXS;-0.06820985;1.5589;1.5593;1.5561;1.5573;14743.2;-1
1770138480000;AXS;-0.073636405;1.5573;1.5589;1.5555;1.5587;21747.8;-1
1770138540000;AXS;-0.03131978;1.5587;1.5609;1.5586;1.5595;13559.2;1
1770138600000;AXS;-0.032354828;1.5595;1.5605;1.5585;1.559;22305.6;-1
1770138660000;AXS;-0.08152794;1.559;1.5595;1.5552;1.5552;15881.2;-1
1770138720000;AXS;-0.17181547;1.5552;1.5558;1.5503;1.5513;29716.9;-1
1770138780000;AXS;-0.19759405;1.5513;1.5541;1.5506;1.551;17877.8;-1
1770138840000;AXS;-0.17772715;1.551;1.5556;1.551;1.5517;19603.8;1
1770138900000;AXS;-0.30662516;1.5517;1.5543;1.5509;1.5531;14379.9;-1
1770138960000;AXS;-0.3141356;1.5531;1.5531;1.5501;1.5515;52107.3;-1
1770139020000;AXS;-0.31129557;1.5515;1.5539;1.55;1.552;19455.5;1
1770139080000;AXS;-0.30590552;1.552;1.5532;1.5506;1.5517;13795.4;1
1770139140000;AXS;-0.33239764;1.5517;1.5543;1.5479;1.5482;25842.6;-1
1770139200000;AXS;-0.47359025;1.5482;1.5487;1.5452;1.5461;21519.6;-1
1770139260000;AXS;-0.4960613;1.547;1.5481;1.5434;1.5454;21328.4;-1
1770139320000;AXS;-0.47549638;1.5454;1.5492;1.5444;1.5471;26967.3;1
1770139380000;AXS;-0.4955848;1.5471;1.5471;1.5436;1.5436;18876.9;-1
1770139440000;AXS;-0.5453095;1.5436;1.544;1.5415;1.5424;24155.6;-1
1770139500000;AXS;-0.54257226;1.5424;1.5458;1.5424;1.5445;9149.5;1
1770139560000;AXS;-0.5733102;1.5452;1.5454;1.5387;1.5399;50384;-1
1770139620000;AXS;-0.5785415;1.5399;1.5447;1.5399;1.5424;13506.6;-1
1770139680000;AXS;-0.5490942;1.5424;1.5443;1.5416;1.5423;5644.5;1
1770139740000;AXS;-0.5368704;1.5423;1.5442;1.5423;1.5427;9272.8;1
1770139800000;AXS;-0.7154391;1.5427;1.5434;1.5348;1.5404;41591.7;-1
1770139860000;AXS;-0.70951587;1.5404;1.541;1.5388;1.5408;11739.5;1
1770139920000;AXS;-0.68240964;1.5408;1.5422;1.54;1.5414;7097.5;1
1770139980000;AXS;-0.70792806;1.5414;1.5417;1.536;1.5398;16379.3;-1
1770140040000;AXS;-0.7103067;1.5398;1.5427;1.5374;1.5374;9112.7;-1
1770140100000;AXS;-0.7243845;1.5374;1.5402;1.5374;1.5394;8097.1;-1
1770140160000;AXS;-0.7151447;1.5394;1.5405;1.5354;1.5395;28121.6;1
1770140220000;AXS;-0.74362755;1.5395;1.5403;1.5337;1.5353;33491.3;-1
1770140280000;AXS;-0.7553083;1.5353;1.5376;1.5353;1.5374;23285.9;-1
1770140340000;AXS;-0.75696695;1.5374;1.5377;1.5343;1.5347;19332.1;-1
1770140400000;AXS;-0.91744226;1.5347;1.5347;1.5299;1.5301;41089.3;-1
1770140460000;AXS;-0.9827848;1.5301;1.5305;1.5278;1.5284;63164.9;-1
1770140520000;AXS;-0.972657;1.5284;1.5311;1.5284;1.529;16651;1
1770140580000;AXS;-0.93535274;1.529;1.5321;1.529;1.5316;20670.6;1
1770140640000;AXS;-0.8883492;1.5316;1.5349;1.5307;1.5311;51086.4;1
1770140700000;AXS;-0.9515237;1.5311;1.5322;1.5306;1.5308;9289.2;-1
1770140760000;AXS;-0.8478332;1.5308;1.54;1.5308;1.5395;45668.4;1
1770140820000;AXS;-0.6597353;1.5395;1.5477;1.5394;1.5456;51697.8;1
1770140880000;AXS;-0.6448324;1.5456;1.5462;1.5406;1.542;38165.2;1
1770140940000;AXS;-0.722515;1.542;1.542;1.5383;1.5386;12892;-1
1770141000000;AXS;-0.57732177;1.5386;1.5414;1.5375;1.5402;21550.1;1
1770141060000;AXS;-0.6182531;1.5402;1.5415;1.5338;1.5347;32423.3;-1
1770141120000;AXS;-0.72863156;1.5347;1.5347;1.5306;1.5308;29397.9;-1
1770141180000;AXS;-0.83205;1.5308;1.5308;1.5228;1.5279;85319.7;-1
1770141240000;AXS;-0.8173089;1.5279;1.5311;1.5273;1.5273;16109.4;1
1770141300000;AXS;-1.1343877;1.5273;1.5273;1.5217;1.5237;26419.5;-1
1770141360000;AXS;-1.1343017;1.5237;1.5272;1.5228;1.525;18828.9;1
1770141420000;AXS;-1.1119167;1.525;1.5267;1.5242;1.5253;12235.4;1
1770141480000;AXS;-1.0610465;1.5253;1.5299;1.5241;1.5293;25216.4;1
1770141540000;AXS;-1.0062845;1.5293;1.5311;1.5277;1.5287;22322.5;1
1770141600000;AXS;-1.0243287;1.5287;1.531;1.5265;1.5291;27446.5;-1
1770141660000;AXS;-1.0362239;1.5301;1.5323;1.5261;1.5261;15093.7;-1
1770141720000;AXS;-1.1757308;1.5261;1.5261;1.5183;1.5196;76042.1;-1
1770141780000;AXS;-1.1803831;1.5196;1.5247;1.5193;1.5245;21525;-1
