timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770150300000;BTR;0.02379566;0.13184;0.13305;0.1317;0.13271;142447;1
1770150360000;BTR;0.07244475;0.13196;0.13238;0.13185;0.1322;12480;1
1770150420000;BTR;0.16712622;0.1322;0.13305;0.1322;0.1329;20578;1
1770150480000;BTR;0.19464315;0.1329;0.13292;0.1327;0.13278;5347;1
1770150540000;BTR;0.13544086;0.13278;0.13278;0.13246;0.13271;4965;-1
1770150600000;BTR;0.30381465;0.13271;0.13325;0.13261;0.13325;16787;1
1770150660000;BTR;0.46057647;0.13325;0.13417;0.1331;0.13417;26024;1
1770150720000;BTR;0.49835858;0.13417;0.13452;0.13358;0.13358;47799;1
1770150780000;BTR;0.32090813;0.13358;0.13358;0.1331;0.13331;7253;-1
1770150840000;BTR;0.26342562;0.13331;0.13331;0.13313;0.13315;2310;-1
1770150900000;BTR;0.26030126;0.13315;0.13332;0.13295;0.13332;10998;-1
1770150960000;BTR;0.35661092;0.1333;0.13395;0.13323;0.13395;14088;1
1770151020000;BTR;0.40181533;0.13395;0.13402;0.13357;0.1338;13791;1
1770151080000;BTR;0.33931977;0.1338;0.1338;0.1334;0.13362;10576;-1
1770151140000;BTR;0.30959317;0.13362;0.13365;0.13344;0.13362;25811;-1
1770151200000;BTR;0.3976325;0.13362;0.13384;0.13359;0.13374;3460;1
1770151260000;BTR;0.36088863;0.13374;0.13374;0.13328;0.13361;59869;-1
1770151320000;BTR;0.34954542;0.13361;0.1337;0.1334;0.13359;4912;-1
1770151380000;BTR;0.35362568;0.13359;0.13371;0.13353;0.13362;6514;1
1770151440000;BTR;0.3432486;0.13362;0.13366;0.13355;0.13355;13536;-1
1770151500000;BTR;0.31067297;0.13355;0.13365;0.13347;0.13365;1458;-1
1770151560000;BTR;0.3674209;0.13365;0.13409;0.13365;0.13385;78820;1
1770151620000;BTR;0.23631771;0.13385;0.13385;0.1328;0.13287;27782;-1
1770151680000;BTR;0.12918091;0.13287;0.13305;0.13281;0.13305;3061;-1
1770151740000;BTR;0.1423;0.13305;0.13305;0.13289;0.13294;8265;1
1770151800000;BTR;0.11954237;0.13294;0.13351;0.13294;0.13339;5003;-1
1770151860000;BTR;0.20360014;0.13339;0.13368;0.13339;0.13357;41908;1
1770151920000;BTR;0.19560876;0.13357;0.13363;0.13337;0.13338;18082;-1
1770151980000;BTR;0.13019887;0.13338;0.13347;0.13302;0.13314;11438;-1
1770152040000;BTR;0.097836025;0.13314;0.13319;0.13306;0.13314;13812;-1
1770152100000;BTR;0.17582631;0.13314;0.13355;0.13314;0.13355;3980;1
1770152160000;BTR;0.22358291;0.1335;0.1336;0.13344;0.13351;5502;1
1770152220000;BTR;0.21941663;0.13351;0.13365;0.13342;0.13344;18790;-1
1770152280000;BTR;0.23837605;0.13344;0.1338;0.13344;0.13365;12953;1
1770152340000;BTR;0.25485015;0.13365;0.1338;0.13358;0.13358;1737;1
1770152400000;BTR;0.29826668;0.13358;0.13367;0.13344;0.13367;15101;1
1770152460000;BTR;0.34242165;0.13374;0.134;0.13347;0.134;71263;1
1770152520000;BTR;0.33207127;0.134;0.1342;0.13345;0.13346;6250;-1
1770152580000;BTR;0.24690817;0.13346;0.13355;0.13337;0.13352;13252;-1
1770152640000;BTR;0.2654888;0.13352;0.13372;0.13342;0.13353;12146;1
1770152700000;BTR;0.19062833;0.13353;0.13365;0.13345;0.13345;11487;-1
1770152760000;BTR;0.124532126;0.13315;0.1333;0.13303;0.13303;24808;-1
1770152820000;BTR;0.12710154;0.13303;0.13325;0.133;0.13325;10782;1
1770152880000;BTR;0.20972282;0.13325;0.1337;0.1331;0.13368;43331;1
1770152940000;BTR;0.38022238;0.13368;0.13456;0.13345;0.13456;59362;1
1770153000000;BTR;0.6033822;0.13456;0.13456;0.13402;0.13415;45380;1
1770153060000;BTR;0.48831388;0.13415;0.13415;0.13369;0.13369;6882;-1
1770153120000;BTR;0.40764552;0.13369;0.13382;0.13338;0.13365;35558;-1
1770153180000;BTR;0.376251;0.13365;0.13365;0.13333;0.13347;6129;-1
1770153240000;BTR;0.37339464;0.13347;0.13365;0.13347;0.13348;10538;-1
1770153300000;BTR;0.12779817;0.13348;0.13353;0.13335;0.13347;19920;-1
1770153360000;BTR;0.13831425;0.13345;0.13363;0.13335;0.13354;29965;1
1770153420000;BTR;0.07710605;0.13354;0.13354;0.133;0.133;23943;-1
1770153480000;BTR;-0.019813657;0.133;0.133;0.13278;0.13287;4874;-1
