timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770137640000;OG;-0.0012580088;3.684;3.685;3.669;3.682;1834.2;1
1770137700000;OG;0.22057588;3.682;3.745;3.681;3.74;3115.1;1
1770137760000;OG;0.2936258;3.704;3.712;3.701;3.709;516.7;1
1770137820000;OG;0.3747673;3.709;3.745;3.706;3.723;2453.7;1
1770137880000;OG;0.58324015;3.723;3.782;3.723;3.775;2068.3;1
1770137940000;OG;0.75224704;3.764;3.823;3.759;3.767;5184.2;1
1770138000000;OG;1.1157765;3.765;3.79;3.758;3.782;1503.3;1
1770138060000;OG;1.2154042;3.774;3.815;3.771;3.806;3048.9;1
1770138120000;OG;1.1585208;3.797;3.816;3.773;3.782;4017.6;-1
1770138180000;OG;0.8697781;3.771;3.778;3.752;3.761;964.9;-1
1770138240000;OG;0.9138047;3.757;3.79;3.757;3.787;1114.5;1
1770138300000;OG;0.8514907;3.788;3.794;3.764;3.764;1189.5;-1
1770138360000;OG;0.7456858;3.769;3.778;3.757;3.77;789.6;-1
1770138420000;OG;0.6781263;3.758;3.773;3.753;3.767;969.7;-1
1770138480000;OG;0.71968156;3.763;3.776;3.763;3.771;544.4;1
1770138540000;OG;0.7362712;3.769;3.784;3.748;3.784;1445;1
1770138600000;OG;1.5123469;3.811;3.861;3.807;3.835;4984.6;1
1770138660000;OG;1.3916433;3.834;3.839;3.797;3.809;3037.3;-1
1770138720000;OG;1.2275217;3.817;3.817;3.794;3.794;2514.2;-1
1770138780000;OG;0.90148634;3.783;3.788;3.758;3.763;2332.4;-1
1770138840000;OG;0.78800875;3.761;3.77;3.751;3.764;1809.6;-1
1770138900000;OG;0.33660898;3.772;3.78;3.761;3.768;472.3;-1
1770138960000;OG;0.24333851;3.77;3.771;3.737;3.765;1225.1;-1
1770139020000;OG;0.18450412;3.765;3.765;3.744;3.744;1033.8;-1
1770139080000;OG;0.23198326;3.752;3.769;3.747;3.769;367.9;1
1770139140000;OG;0.114081085;3.766;3.766;3.715;3.74;11838.2;-1
1770139200000;OG;0.03448946;3.741;3.769;3.738;3.761;1128;-1
1770139260000;OG;0.020543639;3.76;3.76;3.736;3.746;432.1;-1
1770139320000;OG;0.05694828;3.749;3.765;3.748;3.754;633.3;1
1770139380000;OG;0.15170291;3.752;3.776;3.751;3.776;1496.7;1
1770139440000;OG;0.2387497;3.78;3.784;3.764;3.764;781.3;1
1770139500000;OG;0.20936504;3.762;3.772;3.758;3.758;470.1;-1
1770139560000;OG;0.21589561;3.764;3.772;3.754;3.763;617.6;1
1770139620000;OG;0.28205663;3.751;3.791;3.749;3.79;878.3;1
1770139680000;OG;0.5546106;3.794;3.808;3.786;3.808;890.9;1
1770139740000;OG;0.7623819;3.807;3.843;3.8;3.837;6396.2;1
1770139800000;OG;1.8185811;3.84;3.856;3.832;3.856;6291.4;1
1770139860000;OG;2.0180106;3.854;3.892;3.843;3.887;4293.5;1
1770139920000;OG;2.0428336;3.885;3.886;3.861;3.865;1407;1
1770139980000;OG;2.115478;3.877;3.899;3.868;3.894;2364.2;1
1770140040000;OG;1.9739994;3.899;3.903;3.832;3.856;4521;-1
1770140100000;OG;1.4307954;3.843;3.863;3.805;3.824;6616.8;-1
