timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770139680000;SPX;0.0046987403;0.2956;0.2959;0.2952;0.2958;15257;1
1770139740000;SPX;0.030268397;0.2958;0.2965;0.2957;0.2958;17935;1
1770139800000;SPX;-0.18544473;0.2958;0.2958;0.2931;0.2941;175643;-1
1770139860000;SPX;-0.2128239;0.2938;0.2945;0.2938;0.2945;30410;-1
1770139920000;SPX;-0.17041299;0.2945;0.2947;0.2941;0.2941;8741;1
1770148800000;SPX;0.36487257;0.3127;0.3213;0.3127;0.3208;642471;1
1770149700000;SPX;1.2344294;0.3127;0.319;0.3127;0.3184;509537;1
1770150300000;SPX;2.6257203;0.3127;0.319;0.3127;0.3184;509537;1
1770150360000;SPX;4.6625423;0.3127;0.3142;0.3127;0.3137;72686;1
1770150420000;SPX;4.6518703;0.3137;0.3181;0.3135;0.3171;227872;-1
1770150480000;SPX;4.499645;0.3171;0.3171;0.3154;0.3155;76766;-1
1770150540000;SPX;4.395257;0.3155;0.319;0.3152;0.3184;132213;-1
1770150600000;SPX;4.4168696;0.3184;0.3213;0.318;0.3208;132934;1
1770150660000;SPX;4.656789;0.3216;0.3255;0.3207;0.3251;410272;1
1770150720000;SPX;4.775938;0.3266;0.3281;0.3242;0.3243;256024;1
1770150780000;SPX;4.3049498;0.3231;0.3238;0.322;0.3232;164268;-1
1770150840000;SPX;4.211976;0.3236;0.3238;0.3225;0.3231;30799;-1
1770150900000;SPX;4.0299783;0.3229;0.3232;0.3219;0.3231;72446;-1
1770150960000;SPX;3.8858602;0.3227;0.3231;0.3216;0.3217;41055;-1
1770151020000;SPX;3.7103136;0.3218;0.3224;0.3206;0.3207;59975;-1
1770151080000;SPX;3.7081237;0.3207;0.3232;0.3205;0.3232;68380;-1
1770151140000;SPX;3.852282;0.3232;0.3245;0.3229;0.3242;51413;1
1770151200000;SPX;3.8138268;0.3244;0.3255;0.3238;0.3246;60971;-1
1770163200000;SPX;3.680611;0.3065;0.3065;0.305;0.3056;20020;-1
1770170400000;SPX;3.2809632;0.3065;0.3065;0.305;0.3056;20020;-1
1770173100000;SPX;0.79178166;0.3065;0.3065;0.305;0.3056;20020;-1
1770173340000;SPX;-1.3432615;0.3065;0.3065;0.3058;0.3059;6900;-1
1770173400000;SPX;-1.3445954;0.3059;0.306;0.3054;0.3056;3027;-1
1770173460000;SPX;-1.3243555;0.3056;0.3058;0.3054;0.3056;1996;1
1770173520000;SPX;-1.3234006;0.3056;0.3056;0.305;0.3051;6876;1
1770173580000;SPX;-1.2895285;0.3051;0.3056;0.3051;0.3056;1221;1
1770173640000;SPX;-1.2265179;0.3055;0.3059;0.3053;0.3059;13658;1
1770173700000;SPX;-1.0668892;0.3059;0.3062;0.3059;0.3062;788;1
1770173760000;SPX;-1.0101883;0.3064;0.3064;0.3063;0.3063;985;1
1770173820000;SPX;-0.9761426;0.3063;0.3067;0.3062;0.3067;2188;1
1770173880000;SPX;-0.92071915;0.3067;0.307;0.3066;0.3069;5625;1
1770177600000;SPX;-0.84174865;0.3137;0.3157;0.3137;0.3156;30047;1
1770184800000;SPX;-0.604837;0.3137;0.3157;0.3137;0.3156;30047;1
1770186600000;SPX;-0.17781964;0.3137;0.3151;0.3137;0.3148;14415;1
1770187200000;SPX;0.57202256;0.3137;0.3151;0.3137;0.3148;14415;1
1770187320000;SPX;1.418289;0.3137;0.3143;0.3137;0.3143;3047;1
1770187380000;SPX;1.4829739;0.3143;0.3151;0.3143;0.3149;9497;1
1770187440000;SPX;1.4912435;0.3149;0.3149;0.3147;0.3148;1871;1
1770187500000;SPX;1.5083195;0.3148;0.3149;0.3147;0.3149;4810;1
1770187560000;SPX;1.5491444;0.3149;0.3157;0.3149;0.3156;10822;1
1770187620000;SPX;1.5689384;0.316;0.316;0.3151;0.3151;6889;1
1770187680000;SPX;1.4931351;0.3151;0.3153;0.3148;0.3148;2576;-1
1770187740000;SPX;1.4167051;0.3148;0.3151;0.3139;0.3139;39593;-1
1770187800000;SPX;1.2413288;0.3141;0.3145;0.3138;0.314;17860;-1
1770187860000;SPX;1.2320291;0.314;0.3142;0.314;0.3141;4105;-1
1770187920000;SPX;1.2694479;0.3141;0.3148;0.3141;0.3148;7527;1
1770187980000;SPX;1.3032417;0.3148;0.3151;0.3146;0.3147;16070;1
1770188040000;SPX;1.2610639;0.3148;0.315;0.3141;0.3141;10244;-1
1770188100000;SPX;1.2787571;0.3141;0.3151;0.3141;0.3149;57854;1
1770188160000;SPX;1.284226;0.3149;0.3149;0.3143;0.3145;6389;1
1770188220000;SPX;1.2810066;0.3146;0.3148;0.3146;0.3147;1259;-1
1770188280000;SPX;1.2605703;0.3146;0.3146;0.3144;0.3146;1676;-1
1770188340000;SPX;1.2377702;0.3143;0.3145;0.3143;0.3145;339;-1
1770188400000;SPX;1.0510772;0.3145;0.3145;0.3141;0.3145;6292;-1
1770188460000;SPX;0.9999768;0.3142;0.3142;0.3138;0.3138;2652;-1
1770188520000;SPX;0.97609645;0.3137;0.314;0.3137;0.3139;5801;-1
1770188580000;SPX;0.9585448;0.314;0.314;0.3134;0.3134;4608;-1
1770188640000;SPX;0.8803089;0.3128;0.3133;0.3128;0.3133;332;-1
1770188700000;SPX;0.7831044;0.3133;0.3134;0.313;0.3133;2417;-1
1770188880000;SPX;0.68555266;0.3124;0.3125;0.3124;0.3124;2091;-1
1770188940000;SPX;0.6741192;0.3124;0.3124;0.3122;0.3123;794;-1
1770189000000;SPX;0.68547875;0.3123;0.3144;0.3123;0.3141;48298;1
