timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770301260000;B2;0.0022697044;0.8159;0.816;0.8159;0.816;9;-1
1770301320000;B2;0;0.816;0.816;0.8158;0.8158;57;-1
1770301380000;B2;-0.003404661;0.8158;0.8158;0.8158;0.8158;0;-1
1770301440000;B2;0.051732775;0.8158;0.8189;0.8158;0.8187;641;1
1770301500000;B2;0.12694626;0.8187;0.8191;0.8185;0.8189;423;1
1770301560000;B2;0.1165434;0.8189;0.8189;0.8189;0.8189;0;-1
1770301620000;B2;0.1053475;0.8189;0.8189;0.8189;0.8189;0;-1
1770301680000;B2;0.106711015;0.8189;0.8194;0.8189;0.8194;94;1
1770301740000;B2;0.10893133;0.8194;0.8194;0.8194;0.8194;0;1
1770301800000;B2;0.12726061;0.8194;0.8194;0.8194;0.8194;0;1
1770301860000;B2;0.09200202;0.8194;0.82;0.8177;0.8177;1573;-1
1770301920000;B2;0.027336583;0.8177;0.8177;0.8158;0.8177;118;-1
1770301980000;B2;0.017598063;0.8177;0.8177;0.8155;0.8169;113;-1
1770302040000;B2;0.017838325;0.8169;0.8169;0.8169;0.8169;0;1
1770302100000;B2;-0.05151193;0.8169;0.8177;0.8169;0.8177;31;-1
1770302160000;B2;-0.119566925;0.8162;0.8162;0.814;0.814;47;-1
1770302220000;B2;-0.110409796;0.814;0.8164;0.8139;0.8164;193;1
1770302280000;B2;-0.033336878;0.8164;0.8175;0.816;0.8175;765;1
1770302340000;B2;-0.010756668;0.8175;0.8175;0.8172;0.8172;142;1
1770302400000;B2;-0.022317937;0.8172;0.8172;0.8172;0.8172;0;-1
1770302460000;B2;-0.030346965;0.8168;0.8168;0.8168;0.8168;0;-1
1770302520000;B2;-0.13128635;0.8168;0.8168;0.812;0.8122;866;-1
1770302580000;B2;-0.25438148;0.8122;0.8128;0.8105;0.8105;2275;-1
1770302640000;B2;-0.29905054;0.8105;0.8105;0.81;0.81;6;-1
1770302700000;B2;-0.72233754;0.81;0.81;0.809;0.81;41;-1
1770302760000;B2;-0.79181904;0.8077;0.8077;0.8061;0.8064;415;-1
1770302820000;B2;-0.73025054;0.807;0.8091;0.807;0.8091;135;1
1770302880000;B2;-0.81266963;0.8065;0.8065;0.8053;0.8053;179;-1
1770302940000;B2;-0.8577981;0.8044;0.8047;0.8044;0.8047;35;-1
1770303000000;B2;-0.9808028;0.8043;0.8051;0.8038;0.8044;156;-1
1770303060000;B2;-0.7658655;0.809;0.809;0.8089;0.8089;21;1
1770303120000;B2;-0.7593702;0.8089;0.81;0.8084;0.8084;213;1
1770303180000;B2;-0.8592841;0.807;0.807;0.806;0.806;41;-1
1770303240000;B2;-0.85833675;0.8055;0.8071;0.8055;0.8071;750;1
1770303300000;B2;-0.6801992;0.8071;0.8071;0.8071;0.8071;54;1
1770303360000;B2;-0.71867925;0.8071;0.8071;0.805;0.805;56;-1
1770303420000;B2;-0.7896904;0.805;0.8066;0.8027;0.8027;105;-1
1770303480000;B2;-0.86144906;0.8015;0.8033;0.8015;0.8033;119;-1
1770303540000;B2;-0.7873465;0.8033;0.8043;0.8033;0.8043;33;1
1770303600000;B2;-1.061352;0.8021;0.8043;0.8014;0.8043;71;-1
1770303660000;B2;-1.0066664;0.804;0.8046;0.8029;0.8046;125;1
1770303720000;B2;-1.0837598;0.8029;0.8029;0.8013;0.8013;483;-1
1770303780000;B2;-1.1081247;0.8013;0.8029;0.8005;0.8006;1569;-1
1770303840000;B2;-1.1009724;0.8006;0.8019;0.8006;0.8019;361;1
