timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770301260000;BTR;-0.06524848;0.07871;0.0788;0.07837;0.0786;82627;1
1770301320000;BTR;-0.04038593;0.0786;0.07877;0.07843;0.07872;23508;1
1770301380000;BTR;0.00411686;0.07872;0.07885;0.07863;0.07871;17365;1
1770301440000;BTR;0.028694836;0.07871;0.07888;0.07871;0.07888;15014;1
1770301500000;BTR;0.048337296;0.07888;0.07899;0.07882;0.07882;10838;1
1770301560000;BTR;0.13062778;0.07885;0.0795;0.07866;0.07942;128317;1
1770301620000;BTR;0.12533312;0.07942;0.07942;0.07877;0.07894;42536;-1
1770301680000;BTR;0.064365484;0.07894;0.07925;0.07886;0.07906;21509;-1
1770301740000;BTR;0.075939886;0.07906;0.07925;0.0789;0.07908;83534;1
1770301800000;BTR;0.1561225;0.07908;0.0791;0.07891;0.0791;6938;1
1770301860000;BTR;0.10957672;0.07931;0.07931;0.07886;0.07886;24898;-1
1770301920000;BTR;0.2284063;0.07886;0.08003;0.07886;0.07974;93834;1
1770301980000;BTR;0.27447107;0.07974;0.07978;0.07926;0.07926;35054;1
1770302040000;BTR;0.09123936;0.07926;0.07934;0.07882;0.07909;86887;-1
1770302100000;BTR;0.1726599;0.07909;0.07936;0.07896;0.07899;26966;1
1770302160000;BTR;0.14622849;0.07949;0.07949;0.07894;0.07914;69199;-1
1770302220000;BTR;0.17030074;0.07914;0.07964;0.0791;0.07945;25862;1
1770302280000;BTR;0.19237895;0.07945;0.07953;0.0793;0.07931;18961;1
1770302340000;BTR;0.26044935;0.07931;0.07998;0.0793;0.07968;108536;1
1770302400000;BTR;0.3590756;0.07968;0.0797;0.07948;0.07948;5639;1
1770302460000;BTR;0.22690332;0.07932;0.07932;0.07912;0.07915;14379;-1
1770302520000;BTR;0.1878936;0.07915;0.07927;0.07908;0.07908;11162;-1
1770302580000;BTR;0.19314012;0.07908;0.07924;0.07908;0.07923;11365;1
1770302640000;BTR;0.24874677;0.07923;0.07943;0.07919;0.07928;20043;1
1770302700000;BTR;0.1583266;0.07928;0.07955;0.07915;0.07915;15999;-1
1770302760000;BTR;0.11867121;0.0792;0.07928;0.07904;0.07928;15444;-1
1770302820000;BTR;0.13913389;0.07928;0.07951;0.0791;0.0791;17714;1
1770302880000;BTR;0.10699309;0.0791;0.07935;0.07904;0.07923;25514;-1
1770302940000;BTR;0.11891578;0.07923;0.07934;0.07908;0.07918;7742;1
1770303000000;BTR;0.10075525;0.07918;0.07932;0.07916;0.07932;16983;-1
