timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770301260000;COAI;0.020807324;0.3118;0.312;0.3114;0.3115;3721;-1
1770301320000;COAI;-0.019821802;0.3115;0.3119;0.3108;0.3108;4429;-1
1770301380000;COAI;0.0074326787;0.3108;0.3126;0.3108;0.3118;15277;1
1770301440000;COAI;0.02496959;0.3118;0.3118;0.3116;0.3116;1389;1
1770301500000;COAI;0.05389213;0.3116;0.3118;0.3113;0.3115;860;1
1770301560000;COAI;0.057560634;0.3124;0.3124;0.3117;0.3117;3958;1
1770301620000;COAI;-0.0057899435;0.3117;0.3117;0.3113;0.3113;2844;-1
1770301680000;COAI;-0.0068637067;0.3113;0.3118;0.311;0.3118;8021;-1
1770301740000;COAI;0.061505195;0.3118;0.3126;0.3118;0.3122;1943;1
1770301800000;COAI;0.18889813;0.3122;0.3128;0.3122;0.3128;1219;1
1770301860000;COAI;0.23545112;0.3127;0.3138;0.3123;0.3133;8404;1
1770301920000;COAI;0.39435056;0.3133;0.3164;0.3127;0.3159;30658;1
1770301980000;COAI;0.6423388;0.3159;0.3183;0.3156;0.3183;20218;1
1770302040000;COAI;0.6246485;0.3165;0.318;0.3163;0.318;10605;-1
1770302100000;COAI;1.1936097;0.3181;0.3195;0.318;0.3195;24073;1
1770302160000;COAI;1.0034549;0.3177;0.318;0.3169;0.3171;4625;-1
1770302220000;COAI;0.89838153;0.3174;0.3174;0.3159;0.3162;2666;-1
1770302280000;COAI;0.94548357;0.3174;0.3175;0.317;0.3174;824;1
1770302340000;COAI;1.0081182;0.3178;0.3185;0.3178;0.3182;1319;1
1770302400000;COAI;0.82269233;0.3185;0.3185;0.3175;0.3176;1784;-1
1770302460000;COAI;0.68646485;0.3174;0.3174;0.3166;0.3166;597;-1
1770302520000;COAI;0.6330032;0.3166;0.3169;0.3162;0.3169;706;-1
1770302580000;COAI;0.68104494;0.3173;0.3174;0.317;0.317;450;1
1770302640000;COAI;0.70224303;0.3175;0.3176;0.3173;0.3175;4655;1
1770302700000;COAI;0.43517664;0.3166;0.3166;0.3154;0.3154;1220;-1
1770302760000;COAI;0.41804236;0.3161;0.3161;0.3157;0.3157;1693;-1
1770302820000;COAI;0.3676808;0.3146;0.3164;0.3146;0.3164;1685;-1
1770302880000;COAI;0.2794157;0.3148;0.3148;0.3147;0.3147;96;-1
1770302940000;COAI;0.15995501;0.3135;0.3141;0.3134;0.3138;8055;-1
1770303000000;COAI;-0.068494834;0.3133;0.3142;0.3129;0.3138;18609;-1
1770303060000;COAI;-0.07292487;0.3135;0.3136;0.3132;0.3136;465;-1
1770303120000;COAI;-0.06308444;0.3134;0.3137;0.3134;0.3136;698;1
1770303180000;COAI;-0.13365227;0.3129;0.3131;0.3126;0.3129;1194;-1
1770303240000;COAI;-0.07655172;0.3132;0.3137;0.3132;0.3132;2164;1
1770303300000;COAI;-0.24710384;0.3126;0.3126;0.3123;0.3124;1695;-1
1770303360000;COAI;-0.30387285;0.3117;0.3124;0.3117;0.3119;2207;-1
1770303420000;COAI;-0.304888;0.3119;0.3121;0.3117;0.3117;718;-1
1770303480000;COAI;-0.33766624;0.3111;0.312;0.3111;0.3118;765;-1
1770303540000;COAI;-0.3037576;0.3117;0.312;0.3115;0.3117;6522;1
1770303600000;COAI;-0.49442565;0.3121;0.3125;0.3117;0.3125;5127;-1
1770303660000;COAI;-0.48325232;0.3121;0.3125;0.312;0.3124;2515;1
1770303720000;COAI;-0.48397836;0.3124;0.3125;0.3118;0.3121;3335;-1
1770303780000;COAI;-0.60874647;0.3113;0.3118;0.3106;0.3106;13491;-1
1770303840000;COAI;-0.75408715;0.3096;0.3103;0.3094;0.3097;9749;-1
1770303900000;COAI;-0.7992688;0.3102;0.3108;0.3102;0.3105;2594;-1
1770303960000;COAI;-1.1058153;0.3086;0.3088;0.3059;0.3075;41427;-1
