timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770301260000;LIGHT;0.013861166;0.2677;0.2677;0.2669;0.2669;1606;-1
1770301320000;LIGHT;-0.023109151;0.2669;0.267;0.2669;0.267;278;-1
1770301380000;LIGHT;0.0034662646;0.267;0.2675;0.267;0.2671;502;1
1770301440000;LIGHT;0.008318568;0.2671;0.2673;0.2671;0.2673;469;1
1770301500000;LIGHT;0.056718405;0.2673;0.2674;0.2672;0.2674;1912;1
1770301560000;LIGHT;0.054154776;0.2677;0.2677;0.2673;0.2673;688;-1
1770301620000;LIGHT;0.043572295;0.2673;0.2676;0.2673;0.2676;229;-1
1770301680000;LIGHT;0.08998794;0.2676;0.2681;0.2676;0.2681;719;1
1770301740000;LIGHT;0.08589477;0.2681;0.2681;0.2675;0.2678;972;-1
1770301800000;LIGHT;0.10124079;0.2678;0.2681;0.2674;0.2677;817;1
1770301860000;LIGHT;0.05984789;0.2675;0.2681;0.267;0.267;2320;-1
1770301920000;LIGHT;0.09194088;0.267;0.269;0.2667;0.2679;5790;1
1770301980000;LIGHT;0.121914566;0.2679;0.2685;0.2676;0.2676;3307;1
1770302040000;LIGHT;0.11788609;0.2676;0.2684;0.2672;0.2684;1804;-1
1770302100000;LIGHT;0.2891126;0.2684;0.2695;0.2684;0.2688;2068;1
1770302160000;LIGHT;0.26052418;0.2684;0.2687;0.2683;0.2687;890;-1
1770302220000;LIGHT;0.33848548;0.2687;0.27;0.2681;0.2699;5997;1
1770302280000;LIGHT;0.403072;0.2699;0.2703;0.2691;0.2697;3360;1
1770302340000;LIGHT;0.4191526;0.2697;0.2708;0.2693;0.2701;10285;1
1770302400000;LIGHT;0.41217843;0.2701;0.2701;0.269;0.269;3805;-1
1770302460000;LIGHT;0.25075102;0.269;0.2692;0.2676;0.2678;5879;-1
1770302520000;LIGHT;0.155943;0.2678;0.2681;0.267;0.2679;10191;-1
1770302580000;LIGHT;0.17757295;0.2679;0.2683;0.2676;0.2676;1064;1
1770302640000;LIGHT;0.13527992;0.2676;0.2679;0.2672;0.2674;1026;-1
1770302700000;LIGHT;-0.20876577;0.2674;0.2674;0.2669;0.2669;852;-1
1770302760000;LIGHT;-0.25818723;0.2671;0.2671;0.2662;0.2668;2557;-1
1770302820000;LIGHT;-0.20606749;0.2668;0.2679;0.2668;0.2671;4337;1
1770302880000;LIGHT;-0.1992525;0.2671;0.2674;0.267;0.2672;1982;1
1770302940000;LIGHT;-0.20280164;0.2672;0.2675;0.2669;0.2669;2309;-1
1770303000000;LIGHT;-0.26083088;0.2669;0.2671;0.2665;0.2665;415;-1
1770303060000;LIGHT;-0.30992824;0.2665;0.2669;0.266;0.266;358;-1
1770303120000;LIGHT;-0.41478595;0.266;0.266;0.265;0.2651;908;-1
1770303180000;LIGHT;-0.42621902;0.2651;0.2658;0.2651;0.2655;550;-1
1770303240000;LIGHT;-0.36026388;0.2655;0.2663;0.2655;0.2659;1867;1
1770303300000;LIGHT;-0.48050913;0.2659;0.2661;0.2652;0.2652;412;-1
1770303360000;LIGHT;-0.5377817;0.2656;0.2656;0.2648;0.2649;1485;-1
1770303420000;LIGHT;-0.6275409;0.2649;0.2649;0.264;0.2642;10294;-1
1770303480000;LIGHT;-0.6309455;0.2642;0.2648;0.2642;0.2644;458;-1
1770303540000;LIGHT;-0.64467;0.2644;0.2646;0.2639;0.264;2070;-1
1770303600000;LIGHT;-0.76971877;0.264;0.2658;0.264;0.2653;13196;-1
1770303660000;LIGHT;-0.80929947;0.2651;0.2654;0.2636;0.2636;6276;-1
1770303720000;LIGHT;-0.9057934;0.2636;0.2643;0.263;0.2637;6839;-1
1770303780000;LIGHT;-1.0309582;0.2637;0.2637;0.2616;0.2616;16868;-1
1770303840000;LIGHT;-1.1436065;0.2616;0.2624;0.261;0.2619;32641;-1
1770303900000;LIGHT;-1.739802;0.2619;0.2619;0.2603;0.2605;3001;-1
1770303960000;LIGHT;-2.0022395;0.2584;0.2589;0.2559;0.2573;39702;-1
1770304020000;LIGHT;-2.2058187;0.2573;0.2574;0.2544;0.2547;55316;-1
1770304080000;LIGHT;-2.075361;0.2547;0.2589;0.2547;0.2585;24325;1
1770304140000;LIGHT;-1.8897299;0.2585;0.2587;0.257;0.2573;9768;1
1770304200000;LIGHT;-2.2280455;0.2573;0.2588;0.2569;0.2588;7368;-1
1770304260000;LIGHT;-2.4284694;0.2566;0.2566;0.2537;0.2555;44073;-1
1770304320000;LIGHT;-2.4752889;0.2555;0.2556;0.2542;0.255;35563;-1
1770304380000;LIGHT;-2.3503466;0.255;0.2569;0.2544;0.2569;19835;1
1770304440000;LIGHT;-2.3205779;0.2569;0.257;0.2545;0.255;15873;1
1770304500000;LIGHT;-2.971429;0.255;0.2567;0.2548;0.2567;13068;-1
1770304560000;LIGHT;-2.7402856;0.2567;0.2588;0.2565;0.2573;25788;1
1770304620000;LIGHT;-2.6060348;0.2573;0.2591;0.2572;0.2591;12780;1
1770304680000;LIGHT;-2.567131;0.2591;0.2591;0.2576;0.2576;11237;1
1770304740000;LIGHT;-2.5704226;0.2576;0.2593;0.2573;0.2587;11060;-1
1770304800000;LIGHT;-2.0542102;0.2587;0.2594;0.2584;0.2584;6862;1
1770304860000;LIGHT;-2.276548;0.2584;0.2584;0.2553;0.256;24604;-1
1770304920000;LIGHT;-2.4613912;0.256;0.2567;0.2542;0.2554;15599;-1
1770304980000;LIGHT;-2.5678988;0.2554;0.2555;0.2528;0.255;282205;-1
1770305040000;LIGHT;-2.3550577;0.255;0.2577;0.2546;0.257;99047;1
1770305100000;LIGHT;-2.1751525;0.257;0.2593;0.257;0.259;20289;1
1770305160000;LIGHT;-2.367068;0.2571;0.2571;0.2552;0.2552;74316;-1
1770305220000;LIGHT;-2.535855;0.2552;0.2554;0.2541;0.2546;19711;-1
1770305280000;LIGHT;-2.5362573;0.2546;0.2557;0.2539;0.2546;32406;-1
1770305340000;LIGHT;-2.7000012;0.2546;0.2552;0.2519;0.2519;36420;-1
1770305400000;LIGHT;-3.213463;0.2519;0.2545;0.2519;0.2543;14053;-1
1770305460000;LIGHT;-3.136049;0.2542;0.2546;0.253;0.253;6077;1
1770305520000;LIGHT;-3.4980357;0.253;0.253;0.2482;0.2497;117023;-1
1770305580000;LIGHT;-3.95713;0.2497;0.2502;0.2445;0.2457;235963;-1
1770305640000;LIGHT;-4.1815124;0.2457;0.2476;0.2438;0.2458;203354;-1
1770305700000;LIGHT;-4.374886;0.2458;0.2506;0.2458;0.2484;67719;-1
1770305760000;LIGHT;-4.290463;0.2484;0.2487;0.2467;0.2485;27883;1
1770305820000;LIGHT;-4.2736797;0.2485;0.2491;0.2463;0.2482;16686;1
1770305880000;LIGHT;-4.3028626;0.2482;0.2494;0.2461;0.2469;20061;-1
1770305940000;LIGHT;-4.423074;0.2469;0.2481;0.2453;0.2462;40317;-1
1770306000000;LIGHT;-4.6699677;0.2462;0.2466;0.2447;0.2453;32048;-1
1770306060000;LIGHT;-4.427352;0.2474;0.2481;0.2465;0.247;10140;1
1770306120000;LIGHT;-4.5173645;0.2464;0.2476;0.2458;0.246;13865;-1
1770306180000;LIGHT;-4.497896;0.2463;0.2473;0.246;0.2461;6554;1
1770306240000;LIGHT;-4.3453403;0.2468;0.2484;0.2458;0.2484;23561;1
1770306300000;LIGHT;-4.6810403;0.247;0.2477;0.2449;0.2451;11112;-1
1770306360000;LIGHT;-4.7401;0.2462;0.2462;0.2445;0.2455;23719;-1
1770306420000;LIGHT;-4.679091;0.2455;0.2465;0.2454;0.2461;4876;1
1770306480000;LIGHT;-4.5237317;0.2463;0.2475;0.2461;0.2474;7193;1
1770306540000;LIGHT;-4.518233;0.2468;0.2478;0.2461;0.2462;3877;1
1770306600000;LIGHT;-4.320416;0.2467;0.2478;0.2457;0.2473;6494;1
1770306660000;LIGHT;-4.372329;0.2471;0.2473;0.2453;0.2458;6096;-1
1770306720000;LIGHT;-4.378038;0.246;0.2469;0.2459;0.246;47308;-1
1770306780000;LIGHT;-4.405133;0.2461;0.2462;0.2452;0.246;6513;-1
1770306840000;LIGHT;-4.4251223;0.2455;0.246;0.2453;0.2456;1254;-1
1770306900000;LIGHT;-4.4121094;0.2449;0.2472;0.2444;0.2469;15882;1
1770306960000;LIGHT;-4.351351;0.2464;0.2468;0.2457;0.2457;2109;1
1770307020000;LIGHT;-4.5501666;0.2448;0.2451;0.244;0.2446;15116;-1
1770307080000;LIGHT;-4.314608;0.2459;0.2465;0.2457;0.2465;2644;1
1770307140000;LIGHT;-4.148706;0.2465;0.2483;0.2465;0.2475;5754;1
1770307200000;LIGHT;-4.7048054;0.2468;0.2471;0.2451;0.2457;17058;-1
