timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770301260000;MON;-0.008577643;0.018905;0.018906;0.018867;0.018867;109116;-1
1770301320000;MON;-0.031219434;0.018867;0.018883;0.018843;0.018874;166971;-1
1770301380000;MON;0.046441965;0.018874;0.018969;0.018874;0.01894;152452;1
1770301440000;MON;0.084943734;0.01894;0.018965;0.018925;0.018949;442362;1
1770301500000;MON;0.18793969;0.018949;0.019031;0.018947;0.019031;250525;1
1770301560000;MON;0.25028673;0.019031;0.01906;0.01903;0.019035;230301;1
1770301620000;MON;0.32648715;0.019035;0.019194;0.019012;0.019154;5481310;1
1770301680000;MON;0.44438797;0.019154;0.019242;0.019147;0.019197;2809764;1
1770301740000;MON;0.36629766;0.019197;0.019197;0.019116;0.019144;322601;-1
1770301800000;MON;0.40637285;0.019144;0.019144;0.019074;0.019127;222598;1
1770301860000;MON;0.3035545;0.019055;0.01912;0.019005;0.019005;814649;-1
1770301920000;MON;0.30086863;0.019005;0.01913;0.018971;0.019085;691130;-1
1770301980000;MON;0.30917308;0.019085;0.019159;0.018985;0.018991;611876;1
1770302040000;MON;0.25960404;0.018991;0.01908;0.018987;0.019064;280248;-1
1770302100000;MON;0.26310685;0.019064;0.019136;0.019054;0.019054;826541;1
1770302160000;MON;0.22094159;0.019054;0.019096;0.01904;0.01904;319193;-1
1770302220000;MON;0.28706527;0.01904;0.019175;0.019026;0.019141;399838;1
1770302280000;MON;0.36574176;0.019141;0.019164;0.019118;0.019145;244428;1
1770302340000;MON;0.37356955;0.019145;0.019181;0.019131;0.019151;477768;1
1770302400000;MON;0.35559964;0.019151;0.019151;0.019098;0.019135;621574;-1
1770302460000;MON;0.18147838;0.019135;0.019145;0.018894;0.019003;2706934;-1
1770302520000;MON;0.12886998;0.019003;0.019057;0.018977;0.019027;659406;-1
1770302580000;MON;0.25262776;0.019027;0.019157;0.019012;0.019129;2402381;1
1770302640000;MON;0.3052602;0.019129;0.019147;0.019083;0.019085;424222;1
1770302700000;MON;0.10449056;0.019085;0.019142;0.019026;0.019129;630879;-1
1770302760000;MON;0.23259489;0.019129;0.019216;0.019102;0.019216;2024921;1
1770302820000;MON;0.29357177;0.019216;0.019271;0.019152;0.019171;1321741;1
