timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770301260000;MYX;-0.07507354;6.114;6.114;6.063;6.08;4369;-1
1770301320000;MYX;-0.14537637;6.08;6.083;6.057;6.057;811;-1
1770301380000;MYX;-0.1331255;6.057;6.074;6.057;6.068;492;1
1770301440000;MYX;-0.06149146;6.068;6.082;6.061;6.082;306;1
1770301500000;MYX;-0.064553976;6.082;6.083;6.073;6.077;248;-1
1770301560000;MYX;-0.12442033;6.08;6.08;6.055;6.055;145;-1
1770301620000;MYX;-0.2999525;6.055;6.055;6;6.021;6343;-1
1770301680000;MYX;-0.3749663;6.021;6.022;6.006;6.006;266;-1
1770301740000;MYX;-0.32160032;6.016;6.019;6.016;6.019;162;1
1770301800000;MYX;-0.4514475;6.028;6.029;6.023;6.029;60;-1
1770301860000;MYX;-0.42947054;6.025;6.034;6.02;6.034;217;1
1770301920000;MYX;-0.26216587;6.052;6.059;6.052;6.059;41;1
1770301980000;MYX;-0.08845989;6.086;6.091;6.076;6.091;211;1
1770302040000;MYX;-0.099545404;6.079;6.094;6.079;6.092;286;-1
1770302100000;MYX;0.38507065;6.105;6.123;6.101;6.113;628;1
1770302160000;MYX;0.33946243;6.105;6.109;6.101;6.107;132;-1
1770302220000;MYX;0.31455368;6.11;6.112;6.095;6.097;231;-1
1770302280000;MYX;0.28441885;6.103;6.103;6.094;6.101;775;-1
1770302340000;MYX;0.34611976;6.104;6.126;6.104;6.116;225;1
1770302400000;MYX;0.06820302;6.092;6.093;6.079;6.086;222;-1
1770302460000;MYX;-0.027538974;6.083;6.087;6.058;6.059;262;-1
1770302520000;MYX;-0.04037888;6.071;6.071;6.066;6.07;119;-1
1770302580000;MYX;-0.017651442;6.073;6.076;6.068;6.076;92;1
1770302640000;MYX;-0.044131577;6.071;6.072;6.063;6.069;117;-1
1770302700000;MYX;-0.15947157;6.063;6.066;6.049;6.051;254;-1
1770302760000;MYX;-0.21784537;6.05;6.051;6.042;6.044;114;-1
1770302820000;MYX;-0.29202214;6.038;6.041;6.027;6.027;303;-1
1770302880000;MYX;-0.40524268;6.01;6.017;6.01;6.014;75;-1
1770302940000;MYX;-0.47239146;6.007;6.007;5.992;5.992;397;-1
1770303000000;MYX;-0.69572175;5.998;6.003;5.997;5.997;4;-1
1770303060000;MYX;-0.71165645;5.994;5.994;5.994;5.994;0;-1
1770303120000;MYX;-0.6400695;6;6.01;6;6.006;168;1
1770303180000;MYX;-0.8468928;5.966;5.972;5.96;5.972;404;-1
1770303240000;MYX;-0.7854579;5.972;5.981;5.97;5.978;209;1
1770303300000;MYX;-1.0401512;5.962;5.962;5.941;5.955;1988;-1
1770303360000;MYX;-1.0691211;5.947;5.955;5.944;5.944;339;-1
1770303420000;MYX;-1.0650005;5.943;5.953;5.939;5.947;911;1
1770303480000;MYX;-1.0434858;5.931;5.962;5.931;5.962;579;1
1770303540000;MYX;-0.97055185;5.959;5.96;5.951;5.955;62;1
1770303600000;MYX;-1.1200482;5.961;5.972;5.956;5.971;402;-1
1770303660000;MYX;-0.75298357;6.021;6.031;6.015;6.031;166;1
1770303720000;MYX;-0.73293096;6.038;6.047;6.005;6.02;381;1
1770303780000;MYX;-0.83775705;6.013;6.022;6.001;6.003;435;-1
1770303840000;MYX;-0.89688796;6.004;6.005;5.99;5.998;814;-1
1770303900000;MYX;-0.9167963;5.991;5.993;5.964;5.967;511;-1
1770303960000;MYX;-1.0580925;5.96;5.96;5.948;5.948;171;-1
1770304020000;MYX;-1.1005752;5.958;5.961;5.926;5.936;361;-1
1770304080000;MYX;-1.076264;5.943;5.961;5.935;5.951;517;1
1770304140000;MYX;-0.96532005;5.965;5.97;5.952;5.97;228;1
1770304200000;MYX;-0.54601634;5.992;6.029;5.99;6.018;848;1
1770304260000;MYX;-0.49525574;6.023;6.024;6.007;6.007;774;1
1770304320000;MYX;-0.52384233;6.018;6.02;6;6.003;362;-1
1770304380000;MYX;-0.70876026;5.984;5.986;5.97;5.977;391;-1
1770304440000;MYX;-0.73812026;5.979;5.985;5.955;5.975;1912;-1
1770304500000;MYX;-1.1496063;5.947;5.954;5.936;5.954;1525;-1
1770304560000;MYX;-1.0205414;5.959;5.978;5.956;5.978;1026;1
1770304620000;MYX;-1.0100963;5.97;5.973;5.958;5.973;173;1
1770304680000;MYX;-0.9152714;5.979;5.989;5.978;5.987;117;1
1770304740000;MYX;-0.9657231;5.969;5.981;5.966;5.981;229;-1
1770304800000;MYX;-0.49347726;5.995;6.015;5.994;6.013;328;1
1770304860000;MYX;-0.52205056;6.015;6.015;5.983;5.984;234;-1
1770304920000;MYX;-0.73640317;5.977;5.977;5.946;5.954;584;-1
1770304980000;MYX;-0.72344476;5.973;5.974;5.954;5.958;1408;1
1770305040000;MYX;-0.7380332;5.956;5.974;5.947;5.969;407;-1
1770305100000;MYX;-0.74041647;5.974;5.985;5.974;5.981;297;-1
1770305160000;MYX;-0.9309024;5.963;5.963;5.928;5.932;1571;-1
1770305220000;MYX;-0.95648026;5.937;5.948;5.932;5.948;265;-1
1770305280000;MYX;-0.9089624;5.947;5.953;5.944;5.948;214;1
1770305340000;MYX;-1.0914136;5.915;5.928;5.901;5.924;5059;-1
1770305400000;MYX;-1.3026276;5.913;5.938;5.908;5.938;272;-1
1770305460000;MYX;-1.0977312;5.965;5.965;5.946;5.951;448;1
1770305520000;MYX;-1.3713026;5.909;5.914;5.907;5.914;288;-1
1770305580000;MYX;-1.6932122;5.859;5.867;5.845;5.856;1284;-1
1770305640000;MYX;-1.597421;5.872;5.884;5.861;5.865;1261;1
1770305700000;MYX;-1.1784418;5.918;5.957;5.915;5.927;2046;1
1770305760000;MYX;-1.1952974;5.922;5.935;5.917;5.928;197;-1
1770305820000;MYX;-1.1343566;5.931;5.941;5.925;5.941;388;1
1770305880000;MYX;-1.086418;5.942;5.95;5.937;5.937;255;1
1770305940000;MYX;-1.0040764;5.943;5.977;5.943;5.954;670;1
1770306000000;MYX;-0.9500552;5.949;5.95;5.941;5.944;369;1
1770306060000;MYX;-0.89870304;5.948;5.963;5.943;5.961;132;1
1770306120000;MYX;-0.6802825;5.984;6;5.981;5.991;415;1
1770306180000;MYX;-0.68251324;5.977;6;5.977;6;2113;-1
1770306240000;MYX;-0.6008487;6.001;6.007;5.997;6.002;409;1
1770306300000;MYX;-0.42939088;5.989;5.992;5.962;5.962;208;1
1770306360000;MYX;-0.5436834;5.961;5.961;5.953;5.954;478;-1
1770306420000;MYX;-0.4263018;5.957;5.995;5.957;5.995;342;1
1770306480000;MYX;-0.3331386;5.992;5.994;5.987;5.991;119;1
1770306540000;MYX;-0.33259556;5.994;5.997;5.986;5.987;59;1
1770306600000;MYX;-0.1777656;5.989;6.008;5.988;6.008;645;1
1770306660000;MYX;-0.089178145;6.017;6.022;6.002;6.01;466;1
1770306720000;MYX;-0.109942615;6.001;6.018;6.001;6.018;676;-1
1770306780000;MYX;-0.08619577;6.022;6.022;6;6.01;839;1
1770306840000;MYX;-0.1879142;6.001;6.001;5.99;5.996;352;-1
1770306900000;MYX;0.05871561;6.002;6.044;5.994;6.041;851;1
1770306960000;MYX;0.34297523;6.067;6.073;6.058;6.07;682;1
1770307020000;MYX;0.17683989;6.055;6.055;6.026;6.026;579;-1
1770307080000;MYX;-0.08226747;6.014;6.014;5.983;5.983;735;-1
1770307140000;MYX;-0.12644449;5.992;5.994;5.985;5.994;49;-1
1770307200000;MYX;-0.1663093;5.997;6.006;5.965;5.991;1646;-1
1770307260000;MYX;-0.026622714;5.995;6.036;5.986;6.033;3341;1
1770307320000;MYX;0.03530305;6.029;6.034;6.01;6.018;1187;1
1770307380000;MYX;0.02023499;6.026;6.028;6.011;6.017;188;-1
1770307440000;MYX;-0.05733459;6.019;6.019;5.981;6.013;4099;-1
1770307500000;MYX;0.5589243;6.065;6.067;6.046;6.049;146;1
1770307560000;MYX;0.61530316;6.065;6.071;6.059;6.071;459;1
1770307620000;MYX;0.74604976;6.087;6.093;6.081;6.093;294;1
1770307680000;MYX;0.7716921;6.09;6.098;6.088;6.098;965;1
1770307740000;MYX;0.6779652;6.083;6.084;6.073;6.076;684;-1
1770307800000;MYX;0.9084375;6.069;6.116;6.068;6.115;1604;1
1770307860000;MYX;0.9096983;6.11;6.111;6.075;6.076;655;1
1770307920000;MYX;0.8804372;6.079;6.1;6.077;6.1;56;-1
1770307980000;MYX;0.9278625;6.1;6.1;6.09;6.1;156;1
1770308040000;MYX;0.9596245;6.1;6.115;6.095;6.104;1075;1
1770308100000;MYX;1.2641827;6.101;6.108;6.095;6.098;1341;1
1770308160000;MYX;1.3616228;6.111;6.126;6.107;6.125;1307;1
1770308220000;MYX;1.2810948;6.108;6.111;6.097;6.104;623;-1
1770308280000;MYX;1.2288038;6.098;6.1;6.091;6.1;579;-1
1770308340000;MYX;1.1464622;6.087;6.089;6.079;6.083;112;-1
1770308400000;MYX;1.0281088;6.073;6.095;6.071;6.091;123;-1
1770308460000;MYX;1.0566144;6.088;6.095;6.08;6.088;189;1
1770308520000;MYX;1.0910178;6.084;6.106;6.084;6.102;238;1
1770308580000;MYX;1.0732518;6.089;6.095;6.088;6.095;114;-1
1770308640000;MYX;1.0465032;6.088;6.093;6.083;6.088;118;-1
1770308700000;MYX;1.6576747;6.144;6.151;6.135;6.144;2496;1
1770308760000;MYX;1.6513774;6.14;6.154;6.138;6.142;846;-1
1770308820000;MYX;1.591761;6.132;6.143;6.129;6.135;901;-1
1770308880000;MYX;1.6959741;6.145;6.161;6.145;6.16;512;1
1770308940000;MYX;1.6605221;6.158;6.158;6.137;6.139;914;-1
1770309000000;MYX;1.4520911;6.124;6.13;6.119;6.13;461;-1
1770309060000;MYX;1.526465;6.139;6.142;6.135;6.139;420;1
1770309120000;MYX;1.6002873;6.146;6.16;6.143;6.158;347;1
1770309180000;MYX;1.6766176;6.153;6.182;6.152;6.174;821;1
1770309240000;MYX;1.7386638;6.181;6.189;6.167;6.169;917;1
1770309300000;MYX;1.7210625;6.159;6.159;6.147;6.155;192;-1
1770309360000;MYX;1.7547997;6.161;6.173;6.156;6.156;229;1
1770309420000;MYX;1.6861669;6.145;6.16;6.145;6.155;141;-1
1770309480000;MYX;1.654687;6.15;6.15;6.142;6.146;66;-1
1770309540000;MYX;1.6311051;6.153;6.155;6.133;6.135;159;-1
