timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770306060000;ZEREBRO;0.1496336;0.007836;0.007909;0.007835;0.007909;233644;1
1770306120000;ZEREBRO;0.3294191;0.007909;0.007974;0.007909;0.007947;238931;1
1770306180000;ZEREBRO;1.2464154;0.007947;0.008448;0.007947;0.008374;6937091;1
1770306240000;ZEREBRO;1.6109179;0.008374;0.008422;0.008226;0.008269;649082;1
1770306300000;ZEREBRO;1.3806139;0.008254;0.008314;0.008121;0.008178;716979;-1
1770306360000;ZEREBRO;0.94479364;0.008178;0.008197;0.008111;0.008111;235473;-1
1770306420000;ZEREBRO;0.9852806;0.008111;0.008235;0.008111;0.00822;59127;1
1770306480000;ZEREBRO;1.1607318;0.008219;0.008234;0.008194;0.008221;521258;1
1770306540000;ZEREBRO;1.1452051;0.008219;0.008241;0.008219;0.00823;45601;-1
1770306600000;ZEREBRO;1.2965235;0.008221;0.008314;0.008221;0.008314;214901;1
1770306660000;ZEREBRO;1.3700458;0.008317;0.008334;0.008266;0.008266;76641;1
1770306720000;ZEREBRO;1.3377373;0.00829;0.00833;0.008285;0.008305;177247;-1
1770306780000;ZEREBRO;1.2681911;0.008317;0.00832;0.008265;0.008299;414607;-1
1770306840000;ZEREBRO;1.096885;0.008267;0.008295;0.008264;0.008277;87933;-1
1770306900000;ZEREBRO;1.0806465;0.008282;0.008394;0.00825;0.008295;1894562;-1
1770306960000;ZEREBRO;1.2288494;0.008271;0.008394;0.00825;0.008318;1553966;1
1770307020000;ZEREBRO;1.1879138;0.008318;0.00833;0.008287;0.008295;203501;-1
1770307080000;ZEREBRO;1.1323085;0.008295;0.008314;0.008292;0.008311;68408;-1
