timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770220800000;HUMA;-1.0222474;0.019859;0.019868;0.018804;0.01961;25532580;1
1770228000000;HUMA;-0.25556186;0.01923;0.019358;0.01897;0.019013;4752740;1
1770230700000;HUMA;-0.11358305;0.019239;0.019239;0.01897;0.019013;1100340;1
1770231300000;HUMA;-0.0601322;0.019044;0.019053;0.018977;0.019013;109261;1
1770231600000;HUMA;-0.0025034472;0.019013;0.019013;0.01895;0.018998;137108;1
1770231660000;HUMA;0.0077311443;0.018998;0.01902;0.018978;0.01902;52653;1
1770231720000;HUMA;0.06825876;0.01902;0.019101;0.01902;0.019072;43109;1
1770231780000;HUMA;0.05783886;0.019072;0.019072;0.019036;0.019053;13672;-1
1770231840000;HUMA;0.05159022;0.019053;0.019088;0.019045;0.019062;84519;-1
1770231900000;HUMA;0.063922256;0.019062;0.019111;0.019025;0.0191;72233;1
1770231960000;HUMA;0.017492276;0.0191;0.019129;0.01899;0.01899;63847;-1
1770232020000;HUMA;-0.12490486;0.01899;0.01899;0.018921;0.018979;46310;-1
1770232080000;HUMA;-0.06838784;0.018979;0.019022;0.018956;0.019022;19386;1
1770232140000;HUMA;0.00093392446;0.019022;0.01905;0.019022;0.019028;4612;1
1770232200000;HUMA;-0.08455789;0.019028;0.019043;0.01899;0.01899;7983;-1
1770232260000;HUMA;-0.14369373;0.01899;0.018992;0.018939;0.018992;33904;-1
1770232320000;HUMA;-0.1530878;0.018992;0.019013;0.018936;0.018936;11526;-1
1770232380000;HUMA;-0.18094213;0.018936;0.018969;0.018926;0.018969;36975;-1
1770232440000;HUMA;-0.1584954;0.018969;0.01897;0.018922;0.01897;100728;1
1770232500000;HUMA;-0.10608101;0.01897;0.019101;0.018804;0.018875;1717019;1
1770232560000;HUMA;-0.015567206;0.019;0.019055;0.018996;0.019055;103211;1
1770232620000;HUMA;0.05345101;0.019055;0.019085;0.019046;0.019074;42086;1
1770232680000;HUMA;0.0125745265;0.019074;0.019074;0.019005;0.01903;21738;-1
1770232740000;HUMA;0.004909952;0.01903;0.019101;0.01901;0.019032;331934;-1
1770232800000;HUMA;-0.14080487;0.019032;0.01904;0.018997;0.019002;36037;-1
1770232860000;HUMA;-0.2097439;0.019002;0.019011;0.018937;0.018973;59772;-1
1770232920000;HUMA;-0.27211583;0.018973;0.018973;0.018911;0.018926;215125;-1
1770232980000;HUMA;-0.37605852;0.018926;0.018954;0.018819;0.01885;489174;-1
1770233040000;HUMA;-0.43468502;0.01885;0.018877;0.018804;0.018873;162565;-1
1770233100000;HUMA;-0.4446931;0.018873;0.018911;0.01886;0.01886;60025;-1
1770233160000;HUMA;-0.45021534;0.01886;0.018888;0.01885;0.018876;36105;-1
1770233220000;HUMA;-0.41589037;0.018876;0.018895;0.018874;0.018884;15638;1
1770233280000;HUMA;-0.42820942;0.018884;0.018884;0.018842;0.018878;54904;-1
1770233340000;HUMA;-0.4045338;0.018878;0.018895;0.018875;0.018875;27319;1
1770233400000;HUMA;-0.20424591;0.018875;0.018921;0.018875;0.018892;21645;1
1770233460000;HUMA;-0.2066005;0.018892;0.018899;0.018869;0.018887;19264;-1
1770233520000;HUMA;-0.17686363;0.018887;0.018915;0.018882;0.018915;11311;1
1770233580000;HUMA;-0.12158895;0.018915;0.01897;0.018898;0.018924;313519;1
1770233640000;HUMA;-0.08550297;0.018924;0.018969;0.018921;0.018964;12469;1
1770233700000;HUMA;0.15848929;0.018964;0.019151;0.018962;0.018999;587861;1
1770233760000;HUMA;0.233191;0.018998;0.019076;0.018998;0.019065;58514;1
1770233820000;HUMA;0.2907899;0.019065;0.01911;0.019045;0.019045;56620;1
1770233880000;HUMA;0.31944343;0.019045;0.019128;0.019045;0.019117;91930;1
1770233940000;HUMA;0.28092292;0.019117;0.019151;0.018998;0.018999;245942;-1
1770234000000;HUMA;0.32289237;0.018999;0.019219;0.018995;0.019187;357631;1
1770234060000;HUMA;0.43706876;0.019068;0.019129;0.01906;0.019123;58132;1
1770234120000;HUMA;0.5067505;0.019123;0.019163;0.019123;0.019128;134918;1
1770234180000;HUMA;0.56019646;0.019128;0.019219;0.019128;0.019188;56068;1
1770234240000;HUMA;0.60258955;0.019188;0.019206;0.019187;0.019187;74587;1
1770234300000;HUMA;1.4785843;0.019187;0.019658;0.019187;0.019536;1222991;1
1770234360000;HUMA;1.7046057;0.019286;0.019445;0.01927;0.019441;162266;1
1770234420000;HUMA;1.9326077;0.019441;0.019658;0.0194;0.019452;721808;1
1770234480000;HUMA;1.8596622;0.019452;0.019504;0.019409;0.019473;148883;-1
1770234540000;HUMA;1.9344175;0.019473;0.019563;0.019459;0.019536;118888;1
1770234600000;HUMA;2.077849;0.019536;0.019558;0.01946;0.019464;174329;1
1770234660000;HUMA;2.0955536;0.019464;0.019624;0.019464;0.019542;184894;1
1770234720000;HUMA;2.194677;0.01954;0.019629;0.019519;0.019618;50228;1
1770234780000;HUMA;2.1764615;0.019639;0.01964;0.01954;0.019552;61440;-1
1770234840000;HUMA;2.0503802;0.01953;0.019542;0.019502;0.019542;11946;-1
1770234900000;HUMA;2.3997245;0.019539;0.019708;0.019499;0.019692;191668;1
1770234960000;HUMA;2.702262;0.01971;0.019876;0.019696;0.019876;363133;1
1770235020000;HUMA;2.781076;0.01985;0.019869;0.019807;0.019818;109773;1
1770235080000;HUMA;2.7960484;0.019821;0.019896;0.019821;0.019895;43748;1
1770235140000;HUMA;2.8596296;0.019892;0.019944;0.019862;0.019932;105151;1
1770235200000;HUMA;3.2398076;0.019917;0.019924;0.019902;0.019924;15487;1
1770235260000;HUMA;3.2487714;0.019912;0.020046;0.019882;0.019884;323277;1
1770235320000;HUMA;2.97449;0.019909;0.019909;0.019672;0.019733;607366;-1
1770235380000;HUMA;2.9995742;0.019733;0.019954;0.019732;0.019894;560528;1
1770235440000;HUMA;3.1137588;0.019898;0.019917;0.019878;0.019908;294370;1
1770235500000;HUMA;3.0847857;0.019906;0.01995;0.019906;0.01995;27332;-1
1770235560000;HUMA;3.050121;0.01989;0.019951;0.019889;0.019951;42209;-1
1770235620000;HUMA;3.0224853;0.019951;0.019957;0.01987;0.019874;265659;-1
1770235680000;HUMA;2.8325093;0.019888;0.019888;0.019747;0.019799;154978;-1
1770235740000;HUMA;2.8220465;0.019784;0.019883;0.01977;0.019883;161644;-1
1770235800000;HUMA;2.6250613;0.019883;0.019883;0.019857;0.019857;27979;-1
1770235860000;HUMA;2.568979;0.019803;0.019838;0.019775;0.019826;298305;-1
1770235920000;HUMA;2.467981;0.019825;0.019825;0.019701;0.019701;74895;-1
1770235980000;HUMA;2.3700485;0.019708;0.019761;0.019694;0.019708;75643;-1
1770236040000;HUMA;2.420964;0.019717;0.019813;0.01969;0.019792;326110;1
1770236100000;HUMA;2.0652263;0.019792;0.019864;0.019779;0.019823;69046;-1
1770236160000;HUMA;2.0319254;0.019823;0.019843;0.019768;0.019777;16031;-1
1770236220000;HUMA;1.9239824;0.019782;0.019793;0.01972;0.01972;66473;-1
1770236280000;HUMA;1.7646228;0.01972;0.01972;0.019632;0.01964;160521;-1
