timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770235200000;JELLYJELLY;0.8426966;0.05347;0.05356;0.05302;0.05311;693617;-1
1770238800000;JELLYJELLY;0.7349507;0.05311;0.05408;0.05299;0.05397;912514;-1
1770239400000;JELLYJELLY;0.38909155;0.05333;0.05408;0.05331;0.05397;668278;-1
1770239580000;JELLYJELLY;0.24498357;0.05368;0.05388;0.05367;0.05381;55623;-1
1770239640000;JELLYJELLY;0.29658157;0.05381;0.05408;0.05378;0.05397;98245;1
1770239700000;JELLYJELLY;0.41605684;0.05397;0.05422;0.05373;0.05412;1134937;1
1770239760000;JELLYJELLY;0.38969594;0.05389;0.05391;0.05384;0.05385;50494;-1
1770239820000;JELLYJELLY;0.369066;0.05385;0.05396;0.05376;0.05378;150500;-1
1770239880000;JELLYJELLY;0.32692838;0.05378;0.05378;0.05373;0.05375;20892;-1
1770239940000;JELLYJELLY;0.35849512;0.05375;0.05386;0.05375;0.05384;88161;1
1770240000000;JELLYJELLY;0.40538928;0.05384;0.05408;0.0538;0.05408;348512;1
1770240060000;JELLYJELLY;0.4251393;0.05387;0.05392;0.05387;0.05392;30739;1
1770240120000;JELLYJELLY;0.46809274;0.05392;0.05402;0.05392;0.05402;76745;1
1770240180000;JELLYJELLY;0.4891504;0.05402;0.05404;0.05396;0.05404;41011;1
1770240240000;JELLYJELLY;0.49193767;0.05404;0.05408;0.05393;0.05408;112001;1
1770240300000;JELLYJELLY;0.5427793;0.05408;0.05422;0.05389;0.05412;330014;1
1770240360000;JELLYJELLY;0.5823162;0.05407;0.05422;0.05407;0.05421;59085;1
1770240420000;JELLYJELLY;0.53347296;0.05421;0.05421;0.05389;0.05402;115110;-1
1770240480000;JELLYJELLY;0.5107103;0.05402;0.05414;0.05402;0.05405;31321;-1
1770240540000;JELLYJELLY;0.5122381;0.05405;0.05412;0.05398;0.05412;87279;1
1770240600000;JELLYJELLY;0.8056017;0.05412;0.05418;0.05409;0.05418;17738;1
1770240660000;JELLYJELLY;0.7857831;0.05418;0.05418;0.05401;0.05412;12687;-1
1770240720000;JELLYJELLY;0.8601441;0.05412;0.05437;0.05412;0.05437;104831;1
1770240780000;JELLYJELLY;0.9085069;0.05437;0.0544;0.0542;0.05436;139560;1
1770240840000;JELLYJELLY;1.0205777;0.05436;0.05474;0.05435;0.05463;255665;1
1770240900000;JELLYJELLY;1.3809164;0.05463;0.05592;0.05438;0.05546;3424257;1
1770240960000;JELLYJELLY;1.3472108;0.05467;0.05467;0.05455;0.05459;29907;-1
1770241020000;JELLYJELLY;1.2547656;0.05459;0.05461;0.05438;0.05443;56604;-1
1770241080000;JELLYJELLY;1.2239919;0.05443;0.05454;0.05443;0.05449;14367;-1
1770241140000;JELLYJELLY;1.6096983;0.05449;0.05592;0.05442;0.05546;3202402;1
1770241200000;JELLYJELLY;1.7918386;0.05546;0.05571;0.05482;0.05491;1216777;1
1770241260000;JELLYJELLY;1.6783781;0.05525;0.05537;0.05512;0.05537;131975;-1
1770241320000;JELLYJELLY;1.5780154;0.05537;0.05537;0.05491;0.055;202384;-1
1770241380000;JELLYJELLY;1.430582;0.055;0.05503;0.05485;0.055;157575;-1
1770241440000;JELLYJELLY;1.4073225;0.055;0.0551;0.05482;0.05491;151650;-1
1770241500000;JELLYJELLY;1.10887;0.05491;0.05589;0.05456;0.0558;1729719;-1
1770241560000;JELLYJELLY;1.0584586;0.05483;0.05488;0.05468;0.05474;82694;-1
1770241620000;JELLYJELLY;1.037925;0.05474;0.05488;0.05472;0.05472;155595;-1
1770241680000;JELLYJELLY;1.0066203;0.05472;0.05481;0.05469;0.0547;64212;-1
1770241740000;JELLYJELLY;0.9349519;0.0547;0.05471;0.05456;0.05456;98385;-1
1770241800000;JELLYJELLY;1.1786542;0.05456;0.0554;0.05456;0.05506;256223;1
1770241860000;JELLYJELLY;1.2888316;0.05506;0.05517;0.05496;0.05511;193963;1
1770241920000;JELLYJELLY;1.303566;0.05511;0.05518;0.05504;0.05513;128308;1
1770241980000;JELLYJELLY;1.3232051;0.05513;0.05523;0.05506;0.05523;32503;1
1770242040000;JELLYJELLY;1.3609107;0.05523;0.05537;0.05511;0.05524;192093;1
1770242100000;JELLYJELLY;1.6730974;0.05524;0.05589;0.05524;0.0558;469663;1
1770242160000;JELLYJELLY;1.724365;0.05541;0.05547;0.05537;0.05544;105617;1
1770242220000;JELLYJELLY;1.7647998;0.05544;0.05558;0.05543;0.05557;72309;1
1770242280000;JELLYJELLY;1.851126;0.05557;0.05582;0.05555;0.05569;58591;1
1770242340000;JELLYJELLY;1.9076353;0.05569;0.05589;0.05569;0.0558;120220;1
1770242400000;JELLYJELLY;1.8422048;0.0558;0.0558;0.05482;0.05484;469227;-1
1770242460000;JELLYJELLY;1.6685194;0.05539;0.05544;0.05529;0.0553;119411;-1
1770242520000;JELLYJELLY;1.6415129;0.0553;0.05546;0.05528;0.05528;16469;-1
1770242580000;JELLYJELLY;1.4939648;0.05528;0.05528;0.05495;0.05498;158347;-1
1770242640000;JELLYJELLY;1.3461272;0.05498;0.055;0.05482;0.05484;74901;-1
1770242700000;JELLYJELLY;1.0701447;0.05484;0.055;0.05478;0.05482;201562;-1
1770242760000;JELLYJELLY;0.92923725;0.05482;0.05482;0.05446;0.05451;221188;-1
1770242820000;JELLYJELLY;1.0205197;0.05451;0.05515;0.05451;0.05499;176584;1
1770242880000;JELLYJELLY;1.1284939;0.05499;0.05499;0.05489;0.05495;38003;1
1770242940000;JELLYJELLY;1.1863381;0.05495;0.05517;0.05495;0.05512;154496;1
1770243000000;JELLYJELLY;1.4828858;0.05512;0.05526;0.05504;0.05524;54739;1
1770243060000;JELLYJELLY;1.5153031;0.05524;0.0553;0.05514;0.05521;24681;1
1770243120000;JELLYJELLY;1.4823388;0.05521;0.05533;0.05506;0.05513;137746;-1
1770243180000;JELLYJELLY;1.5515995;0.05513;0.05546;0.05513;0.05546;78670;1
1770243240000;JELLYJELLY;1.6914128;0.05546;0.05565;0.0553;0.05565;179103;1
