timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770220800000;LIGHT;-0.26776;0.2966;0.3036;0.2882;0.3035;1411823;1
1770228000000;LIGHT;-0.06694;0.2965;0.3003;0.2939;0.2979;351087;1
1770230700000;LIGHT;-0.029751113;0.2989;0.2993;0.2968;0.2979;95346;1
1770231300000;LIGHT;-0.015750589;0.2978;0.2979;0.2968;0.2979;14693;1
1770231600000;LIGHT;0.06574413;0.2979;0.2988;0.2979;0.2988;4114;1
1770231660000;LIGHT;0.070398785;0.2988;0.2989;0.298;0.298;7436;1
1770231720000;LIGHT;0.027452799;0.298;0.2984;0.2969;0.2984;41848;-1
1770231780000;LIGHT;0.1208253;0.2984;0.2998;0.2983;0.2988;43082;1
1770231840000;LIGHT;0.045260422;0.2988;0.2988;0.2975;0.2976;9663;-1
1770231900000;LIGHT;-0.04649519;0.2976;0.2978;0.2974;0.2976;1791;-1
1770231960000;LIGHT;-0.035573598;0.2976;0.2977;0.2974;0.2977;121;1
1770232020000;LIGHT;-0.04369184;0.2977;0.2977;0.2972;0.2972;1449;-1
1770232080000;LIGHT;-0.049322397;0.2972;0.2975;0.2971;0.2975;3131;-1
1770232140000;LIGHT;0.0005677957;0.2975;0.298;0.2975;0.2978;2498;1
1770232200000;LIGHT;0.04137772;0.2978;0.2985;0.2972;0.2972;11998;1
1770232260000;LIGHT;0.046721883;0.298;0.2981;0.2979;0.2981;2661;1
1770232320000;LIGHT;0.04885312;0.2981;0.2985;0.2978;0.2978;7727;1
1770232380000;LIGHT;0.027816912;0.2978;0.298;0.2978;0.2979;605;-1
1770232440000;LIGHT;-0.0063709477;0.2979;0.298;0.2972;0.2972;347;-1
1770232500000;LIGHT;-0.032759942;0.2972;0.2988;0.2972;0.2981;9295;-1
1770232560000;LIGHT;0.018675245;0.2973;0.2981;0.2973;0.2979;2513;1
1770232620000;LIGHT;0.08183871;0.2979;0.2985;0.2979;0.2984;2009;1
