timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770235200000;RAYDIUM;-0.13675214;0.6725;0.6728;0.6358;0.6478;286818.1;1
1770238800000;RAYDIUM;-0.034188036;0.6594;0.6604;0.644;0.6487;46465.5;1
1770241500000;RAYDIUM;-0.0151946815;0.6491;0.6492;0.644;0.6487;22351.6;1
1770242400000;RAYDIUM;-0.40352148;0.6487;0.6577;0.6358;0.6413;75442.7;-1
1770242700000;RAYDIUM;-0.21362902;0.6413;0.6414;0.6358;0.6386;7679.5;1
1770243000000;RAYDIUM;-0.24954265;0.6386;0.6404;0.6368;0.6374;14876.1;-1
1770243060000;RAYDIUM;-0.15711945;0.6396;0.6404;0.638;0.638;1810.2;1
1770243120000;RAYDIUM;-0.19265458;0.638;0.6389;0.6368;0.6374;9773.3;-1
1770243180000;RAYDIUM;-0.18855841;0.6374;0.6381;0.6374;0.6374;161.9;1
1770245100000;RAYDIUM;-0.16805442;0.6441;0.6467;0.6397;0.6413;4091.1;1
1770246000000;RAYDIUM;-0.14091711;0.6413;0.6413;0.6383;0.6393;2187.9;1
1770246240000;RAYDIUM;-0.036249463;0.6398;0.6398;0.6398;0.6398;500;1
1770246300000;RAYDIUM;-0.092929155;0.6398;0.6399;0.6393;0.6393;2;-1
1770248700000;RAYDIUM;0.13936913;0.6501;0.6521;0.6472;0.6478;8339.2;1
1770249300000;RAYDIUM;0.47256824;0.6495;0.6501;0.6472;0.6478;2292.9;1
1770249540000;RAYDIUM;0.85493654;0.6476;0.6478;0.6475;0.6478;85.3;1
1770249600000;RAYDIUM;5.1465135;0.6478;0.743;0.6478;0.687;3001195.5;1
1770249660000;RAYDIUM;6.7163854;0.7072;0.7318;0.6973;0.7292;554949;1
1770249720000;RAYDIUM;6.5175834;0.7278;0.743;0.7034;0.7093;518630;-1
1770249780000;RAYDIUM;5.477981;0.7093;0.7093;0.7016;0.7081;21943.9;-1
1770249840000;RAYDIUM;4.9154515;0.6929;0.7109;0.6898;0.707;257109.3;-1
1770249900000;RAYDIUM;5.3487315;0.707;0.7129;0.6834;0.7016;413724.6;1
1770249960000;RAYDIUM;4.8368354;0.7047;0.7066;0.6834;0.6983;155003.1;-1
1770250020000;RAYDIUM;4.690068;0.6983;0.7014;0.692;0.6973;63686.5;-1
1770250080000;RAYDIUM;4.774951;0.6973;0.7079;0.694;0.7027;45130.6;1
1770250140000;RAYDIUM;4.711592;0.7027;0.7036;0.6953;0.7016;19696.9;-1
1770250200000;RAYDIUM;4.0906134;0.7016;0.7029;0.6827;0.687;227489.4;-1
1770250260000;RAYDIUM;3.8188705;0.6986;0.7013;0.6932;0.6953;52303.8;-1
1770250320000;RAYDIUM;3.6690366;0.6953;0.696;0.6945;0.6945;2350;-1
1770250500000;RAYDIUM;3.4227529;0.687;0.7003;0.6848;0.6966;131996.8;-1
1770250560000;RAYDIUM;3.5457044;0.6917;0.6955;0.6892;0.6917;22038.3;1
1770250620000;RAYDIUM;3.458441;0.6917;0.6927;0.6868;0.6919;23093.7;-1
1770250680000;RAYDIUM;3.491175;0.6919;0.6941;0.6905;0.6905;13097.9;1
1770250740000;RAYDIUM;3.6036952;0.6905;0.7003;0.6905;0.6958;39891.4;1
1770250800000;RAYDIUM;3.9252524;0.6966;0.7004;0.6939;0.7004;19802.6;1
1770250860000;RAYDIUM;4.1725655;0.7004;0.7086;0.6975;0.706;23236.3;1
1770250920000;RAYDIUM;4.214067;0.706;0.7071;0.7014;0.704;21149.5;1
1770250980000;RAYDIUM;4.170915;0.704;0.7074;0.6997;0.7069;16401.1;-1
1770251040000;RAYDIUM;4.0318174;0.7069;0.7069;0.6975;0.6986;16829.6;-1
1770251100000;RAYDIUM;3.9940479;0.6986;0.7147;0.6962;0.7126;121695.6;-1
1770251160000;RAYDIUM;4.162054;0.7025;0.7057;0.7018;0.7052;38913.9;1
1770251220000;RAYDIUM;4.301879;0.7052;0.71;0.7047;0.7081;18126.5;1
1770251280000;RAYDIUM;4.457581;0.7081;0.7135;0.7081;0.7126;18109.3;1
1770251340000;RAYDIUM;4.5026345;0.7126;0.7147;0.7104;0.7107;8977.9;1
1770251400000;RAYDIUM;4.0306907;0.7126;0.7129;0.6954;0.7039;150693.7;-1
1770251460000;RAYDIUM;3.6329572;0.7016;0.7017;0.6954;0.6981;20194.7;-1
1770251520000;RAYDIUM;3.671543;0.6981;0.7038;0.6972;0.7016;8357.4;1
1770251580000;RAYDIUM;3.692481;0.7016;0.7025;0.6976;0.7016;2303.1;1
1770251640000;RAYDIUM;3.6858273;0.7016;0.7025;0.6992;0.7005;4362.9;-1
1770251700000;RAYDIUM;3.6045456;0.7005;0.711;0.6993;0.705;35765.3;-1
1770251760000;RAYDIUM;3.7674508;0.7051;0.7086;0.7042;0.707;8588.6;1
1770251820000;RAYDIUM;3.8301535;0.707;0.7101;0.7065;0.7075;4684.6;1
1770251880000;RAYDIUM;3.790015;0.7075;0.711;0.705;0.706;12248.7;-1
1770251940000;RAYDIUM;3.6560178;0.706;0.7063;0.7033;0.705;2366.9;-1
1770252000000;RAYDIUM;3.4058242;0.705;0.7053;0.7001;0.702;2493.6;-1
1770252060000;RAYDIUM;3.2377965;0.702;0.7027;0.6972;0.6985;6655.3;-1
1770252120000;RAYDIUM;3.2264156;0.6985;0.703;0.696;0.7026;11525.3;-1
1770252180000;RAYDIUM;3.4570837;0.7026;0.7069;0.702;0.7068;25975.9;1
1770252240000;RAYDIUM;3.4871404;0.7068;0.707;0.7038;0.7039;5422.6;1
1770252300000;RAYDIUM;3.7533586;0.7039;0.7075;0.7037;0.7044;11480.3;1
1770252360000;RAYDIUM;3.9682393;0.7044;0.7145;0.7034;0.7145;17820;1
1770252420000;RAYDIUM;4.429694;0.7145;0.7227;0.7134;0.7227;22810.4;1
1770252480000;RAYDIUM;4.533533;0.7218;0.7224;0.7186;0.7203;28470.7;1
1770252540000;RAYDIUM;4.3486786;0.7203;0.7206;0.714;0.716;11468.2;-1
1770252600000;RAYDIUM;4.0959625;0.716;0.725;0.7077;0.7119;82244.6;-1
1770252660000;RAYDIUM;4.2303367;0.7102;0.721;0.7102;0.72;11849.2;1
1770252720000;RAYDIUM;4.5176744;0.72;0.725;0.718;0.7218;28297.6;1
1770252780000;RAYDIUM;4.4166255;0.7218;0.722;0.7161;0.7189;14834.7;-1
1770252840000;RAYDIUM;4.1848145;0.7189;0.7199;0.7119;0.7119;11314.8;-1
1770252900000;RAYDIUM;3.9868402;0.7119;0.717;0.7106;0.7161;6975.3;-1
1770252960000;RAYDIUM;4.0757537;0.7172;0.7172;0.7139;0.7152;7044.7;1
1770253020000;RAYDIUM;3.9717708;0.7152;0.7168;0.712;0.7127;16121.5;-1
1770253080000;RAYDIUM;4.011832;0.7127;0.7181;0.7119;0.7181;11565.4;1
1770253140000;RAYDIUM;4.1517797;0.7181;0.7197;0.7168;0.718;8694;1
1770253200000;RAYDIUM;5.6843143;0.718;0.7302;0.718;0.7302;13673.6;1
1770253260000;RAYDIUM;5.9943004;0.737;0.7386;0.7284;0.7294;23685.6;1
1770253320000;RAYDIUM;6.0548353;0.7331;0.7433;0.732;0.7336;38545.8;1
1770253380000;RAYDIUM;5.802702;0.734;0.7368;0.727;0.7274;62388.9;-1
1770253440000;RAYDIUM;5.652521;0.726;0.7326;0.726;0.7309;33117;-1
1770253500000;RAYDIUM;6.0385995;0.7309;0.7353;0.7309;0.7347;11642;1
1770253560000;RAYDIUM;6.1141825;0.7329;0.7342;0.7315;0.7335;5981.4;1
1770253620000;RAYDIUM;6.13439;0.7366;0.7382;0.7348;0.7361;8157.6;1
1770253680000;RAYDIUM;6.020971;0.736;0.737;0.7304;0.7347;22299;-1
1770253740000;RAYDIUM;6.0561666;0.7348;0.7399;0.7326;0.7354;14424;1
1770253800000;RAYDIUM;5.74402;0.7347;0.7375;0.7322;0.7335;7503.6;-1
1770253860000;RAYDIUM;5.59645;0.7335;0.7335;0.7318;0.7318;379.6;-1
1770253920000;RAYDIUM;5.451263;0.7322;0.7332;0.7304;0.7332;8672.8;-1
