timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770220800000;UAI;-1.3484336;0.20916;0.21052;0.2074;0.21052;75280;1
1770228000000;UAI;-0.3371084;0.20916;0.21052;0.2074;0.21052;75280;1
1770229800000;UAI;-0.14982595;0.20916;0.20916;0.20848;0.20874;3658;1
1770230400000;UAI;-0.07931962;0.20916;0.20916;0.20848;0.20874;3658;1
1770230580000;UAI;-0.049941983;0.20916;0.20916;0.20882;0.2091;656;1
1770230640000;UAI;-0.06810977;0.2091;0.2091;0.20848;0.20874;3002;-1
1770230700000;UAI;-0.096469544;0.20874;0.20885;0.2081;0.2082;8788;-1
1770230760000;UAI;-0.11463788;0.20871;0.20871;0.2081;0.2082;4837;-1
1770230820000;UAI;0.00015599857;0.2082;0.21052;0.2074;0.21052;50388;1
1770230880000;UAI;0.30776343;0.21057;0.21229;0.21057;0.21182;51829;1
1770230940000;UAI;0.314343;0.21165;0.21246;0.21131;0.2114;18911;1
1770231000000;UAI;0.5326897;0.21156;0.21193;0.21122;0.21132;9513;1
1770231060000;UAI;0.461641;0.21132;0.21145;0.21109;0.2112;8354;-1
1770231120000;UAI;0.37802473;0.2112;0.2112;0.21042;0.2107;16517;-1
1770231180000;UAI;0.3031061;0.2107;0.21073;0.2102;0.21034;1150;-1
1770231240000;UAI;0.24146594;0.21034;0.21055;0.2097;0.20999;6432;-1
1770231300000;UAI;-0.094569236;0.20999;0.20999;0.20999;0.20999;0;-1
1770231360000;UAI;-0.1143309;0.20986;0.20986;0.20986;0.20986;0;-1
1770231420000;UAI;-0.27456328;0.20917;0.20917;0.20855;0.20859;13409;-1
1770231480000;UAI;-0.30837634;0.20859;0.20859;0.20859;0.20859;0;-1
1770231540000;UAI;-0.30917075;0.20835;0.2088;0.20806;0.2088;8208;-1
1770231600000;UAI;-0.64992434;0.2088;0.209;0.20864;0.20864;1219;-1
1770231660000;UAI;-0.6903746;0.20864;0.20874;0.20842;0.20845;6985;-1
1770231720000;UAI;-0.71685624;0.20836;0.20854;0.20824;0.20853;1912;-1
1770231780000;UAI;-0.93219584;0.20805;0.20814;0.20541;0.20597;83714;-1
1770231840000;UAI;-1.0010587;0.20601;0.20689;0.20601;0.20685;14984;-1
1770231900000;UAI;-1.1377983;0.20658;0.20658;0.2057;0.20609;10116;-1
1770231960000;UAI;-1.180157;0.20609;0.20615;0.2058;0.2058;6761;-1
1770232020000;UAI;-1.2648969;0.2056;0.2056;0.20471;0.20497;14816;-1
1770232080000;UAI;-1.1705247;0.20501;0.20535;0.20492;0.20525;6868;1
1770232140000;UAI;-1.0598118;0.20628;0.20667;0.2058;0.20584;8748;1
1770232200000;UAI;-1.0028491;0.20591;0.20626;0.20591;0.20618;4758;1
1770232260000;UAI;-0.97454;0.20617;0.2064;0.20605;0.20608;2837;1
1770232320000;UAI;-0.9953297;0.20599;0.2064;0.20599;0.206;5204;-1
1770232380000;UAI;-0.98542315;0.2057;0.20583;0.20556;0.20574;4283;1
1770232440000;UAI;-0.92026573;0.20619;0.20655;0.20619;0.20648;1473;1
1770232500000;UAI;-0.91481;0.20605;0.2066;0.20588;0.2066;4232;1
1770232560000;UAI;-0.8608541;0.20668;0.2069;0.2065;0.20668;740;1
1770232620000;UAI;-0.91930974;0.20638;0.20649;0.20631;0.2064;2040;-1
1770232680000;UAI;-0.93103;0.20597;0.20643;0.20573;0.20615;7183;-1
1770232740000;UAI;-0.88596916;0.20615;0.2066;0.20615;0.2066;1279;1
1770232800000;UAI;-0.9772773;0.2062;0.20649;0.20599;0.20599;690;-1
1770232860000;UAI;-1.0585047;0.20599;0.20612;0.20534;0.20534;2196;-1
1770232920000;UAI;-1.2058225;0.20525;0.20528;0.20375;0.20474;44122;-1
1770232980000;UAI;-1.2347875;0.20471;0.20471;0.2043;0.2043;7033;-1
1770233040000;UAI;-1.1846339;0.2044;0.20503;0.2044;0.20503;2934;1
1770233100000;UAI;-1.09871;0.20503;0.20503;0.20503;0.20503;0;1
1770233160000;UAI;-1.0987034;0.20545;0.20545;0.2049;0.2049;3642;1
1770233220000;UAI;-1.1211742;0.2049;0.20505;0.20475;0.20505;4071;-1
1770233280000;UAI;-1.1123884;0.20509;0.20519;0.20481;0.20486;10549;1
1770233340000;UAI;-1.1358962;0.20486;0.20486;0.20468;0.2048;1219;-1
1770233400000;UAI;-1.0829005;0.2048;0.205;0.20456;0.20456;634;1
1770233460000;UAI;-1.1019353;0.20456;0.20483;0.20446;0.20451;5909;-1
1770233520000;UAI;-1.0529205;0.20444;0.20515;0.20427;0.20515;4453;1
1770233580000;UAI;-0.9664464;0.20523;0.20545;0.2051;0.20517;15509;1
1770233640000;UAI;-0.94880503;0.20517;0.20552;0.2051;0.20541;8970;1
1770233700000;UAI;-0.8799928;0.20541;0.20541;0.20505;0.2052;633;1
1770233760000;UAI;-0.8567333;0.20515;0.2058;0.20515;0.20536;7640;1
1770233820000;UAI;-0.862096;0.20531;0.20541;0.20519;0.20525;2836;-1
1770233880000;UAI;-0.8314459;0.20525;0.2057;0.20525;0.20549;2114;1
1770233940000;UAI;-0.8471217;0.20553;0.20553;0.20521;0.20523;694;-1
1770234000000;UAI;-0.89678967;0.2051;0.2051;0.20452;0.20509;15622;-1
1770234060000;UAI;-0.8089137;0.20509;0.20578;0.205;0.20578;1369;1
1770234120000;UAI;-0.7427942;0.20579;0.206;0.20551;0.20574;4426;1
1770234180000;UAI;-0.76188093;0.20577;0.20578;0.20546;0.2056;9930;-1
1770234240000;UAI;-0.7895343;0.20555;0.20555;0.2053;0.20551;2370;-1
1770234300000;UAI;-0.6826193;0.20545;0.20545;0.20541;0.20541;245;1
1770234360000;UAI;-0.63543963;0.20538;0.20595;0.20538;0.20595;1075;1
1770234420000;UAI;-0.6388414;0.20594;0.20594;0.20545;0.20545;4079;-1
1770234480000;UAI;-0.6739955;0.20531;0.20602;0.2053;0.2053;3603;-1
1770234540000;UAI;-0.7144283;0.20515;0.20533;0.205;0.20533;5964;-1
1770234600000;UAI;-0.7113688;0.20515;0.20515;0.20505;0.20505;93;1
1770234660000;UAI;-0.69851506;0.20491;0.20525;0.20482;0.20525;710;1
1770234720000;UAI;-0.60774004;0.20525;0.20592;0.20521;0.2057;9713;1
1770234780000;UAI;-0.53549296;0.20581;0.2063;0.20565;0.20621;5090;1
1770234840000;UAI;-0.54643923;0.206;0.20607;0.20578;0.20578;2634;-1
1770234900000;UAI;-0.47936767;0.2057;0.2057;0.2055;0.20562;1339;1
1770234960000;UAI;-0.41408265;0.206;0.20638;0.2059;0.20635;4195;1
1770235020000;UAI;-0.40493974;0.20638;0.20638;0.20603;0.20605;3130;1
1770235080000;UAI;-0.40300548;0.20605;0.20656;0.206;0.20625;3479;1
1770235140000;UAI;-0.41393557;0.20625;0.20625;0.20595;0.20607;4418;-1
1770235200000;UAI;-0.66815156;0.20614;0.2062;0.20614;0.2062;57;-1
1770235260000;UAI;-0.75600797;0.20495;0.20522;0.20495;0.20508;1572;-1
1770235320000;UAI;-0.73704654;0.20508;0.20526;0.205;0.20517;2110;1
1770235380000;UAI;-0.66877;0.20521;0.20575;0.20521;0.20571;3914;1
1770235440000;UAI;-0.60488635;0.2058;0.20608;0.20574;0.20579;3927;1
1770235500000;UAI;-0.67531043;0.20579;0.206;0.20565;0.20572;2403;-1
1770235560000;UAI;-0.72309303;0.2055;0.20557;0.2053;0.2053;263;-1
1770235620000;UAI;-0.7871896;0.2053;0.20537;0.20475;0.20475;5258;-1
1770235680000;UAI;-0.79386526;0.20475;0.2053;0.20475;0.20515;4723;-1
1770235740000;UAI;-0.7734621;0.20515;0.20515;0.20501;0.20503;557;1
1770235800000;UAI;-0.81792444;0.20503;0.2053;0.20486;0.20487;707;-1
1770235860000;UAI;-0.82342565;0.20487;0.20518;0.20487;0.20495;4261;-1
1770235920000;UAI;-0.83333653;0.20495;0.20498;0.20481;0.20482;827;-1
1770235980000;UAI;-0.82321054;0.20484;0.20505;0.20484;0.20501;630;1
1770236040000;UAI;-0.7888187;0.20501;0.2053;0.20499;0.20515;1019;1
1770236100000;UAI;-0.85743326;0.20515;0.20515;0.20515;0.20515;0;-1
1770236160000;UAI;-0.84104323;0.20536;0.20545;0.20525;0.20525;1718;1
1770236220000;UAI;-0.86968493;0.20525;0.20549;0.2049;0.20498;3402;-1
1770236280000;UAI;-0.9131559;0.20498;0.20505;0.20478;0.20478;467;-1
1770236340000;UAI;-0.9229065;0.20478;0.20505;0.20453;0.20495;3139;-1
1770236400000;UAI;-1.0892332;0.20495;0.20495;0.20494;0.20494;117;-1
