timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770372180000;AIO;-0.016672468;0.13593;0.13641;0.13583;0.13584;3890;-1
1770372240000;AIO;-0.073795244;0.13584;0.13584;0.13547;0.13548;2230;-1
1770372300000;AIO;-0.20052303;0.13548;0.13548;0.1351;0.1351;170;-1
1770372360000;AIO;-0.21819837;0.1351;0.1351;0.13508;0.13508;990;-1
1770372420000;AIO;-0.15142357;0.13508;0.13547;0.13508;0.13547;400;1
1770372480000;AIO;-0.09412173;0.13547;0.13547;0.13547;0.13547;0;1
1770372540000;AIO;-0.11740275;0.13547;0.13547;0.13525;0.13525;80;-1
1770372600000;AIO;-0.19315657;0.13525;0.13531;0.13391;0.13441;32940;-1
1770372660000;AIO;-0.215615;0.13558;0.13558;0.13472;0.13472;490;-1
1770372720000;AIO;-0.41793895;0.13472;0.13504;0.13373;0.13373;8390;-1
1770372780000;AIO;-0.5346756;0.13373;0.13401;0.13348;0.13376;1600;-1
1770372840000;AIO;-0.5525005;0.13376;0.13376;0.13312;0.13357;5360;-1
1770372900000;AIO;-0.7998956;0.13357;0.13357;0.13342;0.13343;420;-1
1770372960000;AIO;-0.86851996;0.13343;0.13343;0.13282;0.13282;10920;-1
1770373020000;AIO;-0.8803493;0.13282;0.1333;0.13282;0.13292;4760;-1
1770373080000;AIO;-0.89731544;0.13292;0.13292;0.13266;0.13266;200;-1
1770373140000;AIO;-0.81235105;0.13266;0.13336;0.13266;0.13336;3160;1
1770373200000;AIO;-0.6773329;0.13336;0.13368;0.13314;0.13314;3560;1
1770373260000;AIO;-0.7625407;0.13314;0.13314;0.13275;0.13275;50;-1
1770373320000;AIO;-0.7981941;0.13275;0.1328;0.13262;0.13278;1470;-1
1770373380000;AIO;-0.85765487;0.13278;0.13278;0.132;0.13219;42570;-1
1770373440000;AIO;-0.72080755;0.13219;0.13407;0.13176;0.13348;4170;1
1770373500000;AIO;-0.5769884;0.13348;0.13394;0.13292;0.13292;2620;1
1770373560000;AIO;-0.7233086;0.13275;0.13275;0.13237;0.13259;360;-1
1770373620000;AIO;-0.6295637;0.13259;0.13323;0.13259;0.13323;80;1
1770373680000;AIO;-0.48376513;0.13323;0.13367;0.13323;0.13353;140;1
1770373740000;AIO;-0.37133387;0.13353;0.13411;0.13353;0.13409;1640;1
1770373800000;AIO;-0.11846782;0.13409;0.13451;0.134;0.13427;7240;1
1770373860000;AIO;-0.35511407;0.13296;0.13355;0.13221;0.13221;450;-1
1770373920000;AIO;-0.39326707;0.13221;0.1331;0.13208;0.13281;190;-1
1770373980000;AIO;-0.19673958;0.13281;0.13376;0.13267;0.13372;340;1
1770374040000;AIO;-0.15116112;0.13372;0.1338;0.13302;0.13302;2160;1
1770374100000;AIO;-0.31253374;0.13302;0.13387;0.13302;0.1337;1160;-1
1770374160000;AIO;-0.2407221;0.13349;0.13412;0.13323;0.13357;1800;1
1770374220000;AIO;-0.37141404;0.13357;0.13357;0.13238;0.13292;1870;-1
1770374280000;AIO;-0.75950545;0.13292;0.13292;0.12984;0.13092;103380;-1
1770374340000;AIO;-0.8873703;0.13092;0.1316;0.13092;0.13104;4530;-1
1770374400000;AIO;-1.3049366;0.13104;0.13129;0.13081;0.13129;2120;-1
1770374460000;AIO;-1.2945634;0.13129;0.13129;0.13069;0.13106;2500;1
1770374520000;AIO;-1.2638737;0.13106;0.13133;0.13092;0.13123;320;1
1770374580000;AIO;-1.2681483;0.13123;0.13135;0.13076;0.13091;1160;-1
1770374640000;AIO;-1.23472;0.13091;0.13135;0.13091;0.13135;760;1
1770374700000;AIO;-1.4894117;0.13135;0.13135;0.13043;0.13058;8710;-1
1770374760000;AIO;-1.5121834;0.13058;0.13112;0.13034;0.13112;22080;-1
1770374820000;AIO;-1.4797353;0.13112;0.13112;0.13043;0.13075;2960;1
1770374880000;AIO;-1.4945426;0.13075;0.13075;0.13075;0.13075;0;-1
1770374940000;AIO;-1.6067995;0.13075;0.13075;0.1297;0.12995;1590;-1
1770375000000;AIO;-1.8112291;0.12995;0.13047;0.1297;0.13047;1050;-1
1770375060000;AIO;-1.660939;0.13047;0.1309;0.13029;0.1309;250;1
1770375120000;AIO;-1.8108155;0.1309;0.1309;0.1291;0.12928;1130;-1
1770375180000;AIO;-2.1388521;0.12928;0.12942;0.12803;0.12843;4070;-1
1770375240000;AIO;-2.0920432;0.12843;0.12975;0.12815;0.12921;1900;1
1770375300000;AIO;-2.0847785;0.12921;0.12975;0.1288;0.12936;2170;1
1770375360000;AIO;-2.06568;0.12936;0.12942;0.12895;0.12942;600;1
1770375420000;AIO;-2.041719;0.12942;0.12946;0.12919;0.12919;710;1
1770375480000;AIO;-2.127616;0.12919;0.12919;0.1287;0.1287;770;-1
1770375540000;AIO;-2.2688231;0.1287;0.1287;0.12804;0.12804;9390;-1
1770375600000;AIO;-3.03652;0.12804;0.12842;0.12756;0.12802;8400;-1
1770375660000;AIO;-3.071131;0.12801;0.12801;0.12756;0.12766;660;-1
1770375720000;AIO;-3.0387418;0.12766;0.12805;0.12766;0.12805;260;1
1770375780000;AIO;-3.0119808;0.12805;0.12805;0.12756;0.12787;420;1
1770375840000;AIO;-3.0252535;0.12787;0.12809;0.12743;0.12768;4570;-1
1770375900000;AIO;-3.161173;0.12768;0.12774;0.12726;0.12726;8050;-1
1770375960000;AIO;-3.5143387;0.12699;0.12699;0.12471;0.12532;6970;-1
1770376020000;AIO;-3.714484;0.12532;0.12672;0.12426;0.12447;31020;-1
1770376080000;AIO;-3.8432388;0.12447;0.12507;0.12427;0.12472;8300;-1
1770376140000;AIO;-3.8092215;0.12472;0.12505;0.1238;0.12505;32220;1
1770376200000;AIO;-3.933564;0.12505;0.1259;0.12505;0.1257;3630;-1
1770376260000;AIO;-3.624583;0.1257;0.12735;0.1257;0.12706;3530;1
1770376320000;AIO;-3.6033738;0.12706;0.12706;0.12574;0.12598;3680;1
1770376380000;AIO;-3.8672543;0.12598;0.12643;0.12455;0.12482;6360;-1
1770376440000;AIO;-3.9270778;0.12482;0.12568;0.12482;0.12529;11250;-1
1770376500000;AIO;-4.371514;0.12529;0.12532;0.12404;0.12429;2480;-1
1770376560000;AIO;-4.3890343;0.12429;0.12496;0.12415;0.12496;3510;-1
1770376620000;AIO;-4.393417;0.12496;0.12496;0.12396;0.12409;1300;-1
1770376680000;AIO;-4.655929;0.12409;0.12409;0.12245;0.12326;2170;-1
1770376740000;AIO;-4.7138467;0.12326;0.12334;0.12279;0.12331;240;-1
1770376800000;AIO;-5.164077;0.12331;0.12331;0.12207;0.12207;3760;-1
1770376860000;AIO;-5.3211617;0.12207;0.12252;0.12174;0.12181;5280;-1
1770376920000;AIO;-5.372527;0.12181;0.12228;0.12146;0.12146;880;-1
1770376980000;AIO;-5.417447;0.12146;0.12222;0.12105;0.12124;1900;-1
1770377040000;AIO;-5.397632;0.12124;0.12209;0.12101;0.12151;5630;1
1770377100000;AIO;-5.5603595;0.12151;0.12208;0.12087;0.12143;4880;-1
1770377160000;AIO;-5.3952527;0.12143;0.1228;0.12143;0.12219;5330;1
1770377220000;AIO;-5.4096417;0.12219;0.12219;0.12125;0.12166;800;-1
1770377280000;AIO;-5.508864;0.12166;0.12166;0.12093;0.12128;1100;-1
1770377340000;AIO;-5.344837;0.12128;0.12298;0.12128;0.12195;1850;1
1770377400000;AIO;-5.753963;0.12195;0.1221;0.12043;0.12043;3060;-1
1770377460000;AIO;-5.924161;0.12043;0.12094;0.11984;0.12094;2090;-1
1770377520000;AIO;-5.6974583;0.12094;0.1223;0.12087;0.12087;2650;1
1770377580000;AIO;-5.843555;0.12087;0.12096;0.12031;0.12044;12850;-1
1770377640000;AIO;-5.9404774;0.12044;0.12108;0.11967;0.11967;11470;-1
1770377700000;AIO;-6.5414586;0.11967;0.11972;0.1184;0.11911;17060;-1
1770377760000;AIO;-6.5919185;0.11911;0.1196;0.11852;0.11857;38380;-1
1770377820000;AIO;-6.898352;0.11857;0.11883;0.11685;0.11685;12510;-1
1770377880000;AIO;-7.219914;0.11685;0.11727;0.11532;0.11672;31260;-1
1770377940000;AIO;-7.436859;0.11672;0.11672;0.11407;0.11515;89900;-1
1770378000000;AIO;-7.899342;0.11515;0.11841;0.11515;0.11548;47890;-1
1770378060000;AIO;-7.7488527;0.11584;0.11742;0.11505;0.11742;31190;1
1770378120000;AIO;-7.3902583;0.11742;0.11804;0.11716;0.11769;2140;1
1770378180000;AIO;-7.6801963;0.11769;0.1183;0.11476;0.11512;118890;-1
1770378240000;AIO;-7.80147;0.11512;0.11676;0.11512;0.11676;34200;-1
