timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770360300000;AIOZ;-0.08789309;0.05978;0.06006;0.05978;0.05982;47113;-1
1770360360000;AIOZ;-0.14000987;0.05982;0.05983;0.05955;0.05968;17165;-1
1770360420000;AIOZ;-0.08675057;0.05968;0.06007;0.05961;0.05983;51164;1
1770360480000;AIOZ;-0.14676559;0.05983;0.05986;0.05949;0.0595;21910;-1
1770360540000;AIOZ;-0.15997124;0.0595;0.05978;0.0595;0.0597;13044;-1
1770360600000;AIOZ;-0.050770864;0.0597;0.05988;0.0597;0.05988;10467;1
1770360660000;AIOZ;-0.0064377435;0.05988;0.05995;0.05981;0.05986;26030;1
1770360720000;AIOZ;-0.15061463;0.05986;0.05986;0.05938;0.0594;15444;-1
1770360780000;AIOZ;-0.2620582;0.0594;0.05954;0.0593;0.0594;27673;-1
1770360840000;AIOZ;-0.15112409;0.0594;0.05975;0.0594;0.05975;47411;1
1770360900000;AIOZ;-0.18764012;0.05975;0.05976;0.0593;0.05967;84075;-1
1770360960000;AIOZ;-0.26695788;0.05944;0.05946;0.05931;0.05944;15306;-1
1770361020000;AIOZ;-0.1816644;0.05944;0.05968;0.05944;0.0596;22884;1
1770361080000;AIOZ;-0.14734508;0.0596;0.05967;0.05942;0.05967;9650;1
1770361200000;AIOZ;0.016082622;0.05929;0.06222;0.05929;0.0622;2104817;1
1770361260000;AIOZ;-0.058175787;0.05929;0.05977;0.05929;0.05948;19797;-1
1770361320000;AIOZ;0.019021804;0.05948;0.05968;0.05948;0.05967;6356;1
1770361380000;AIOZ;0.09765166;0.05967;0.05982;0.05961;0.05973;11236;1
1770361440000;AIOZ;0.16194193;0.05973;0.05993;0.05969;0.05993;20545;1
1770361500000;AIOZ;0.5309844;0.05993;0.06037;0.05993;0.06033;7483;1
1770361560000;AIOZ;0.63253385;0.06033;0.06043;0.06026;0.06032;5254;1
1770361620000;AIOZ;0.4995039;0.06032;0.06036;0.05994;0.05994;9356;-1
1770361680000;AIOZ;0.31358564;0.05994;0.05998;0.05966;0.0598;5185;-1
1770361740000;AIOZ;0.32865077;0.0598;0.06011;0.05967;0.05992;10900;1
1770361800000;AIOZ;0.2954384;0.05992;0.05996;0.05988;0.05996;2677;-1
1770361860000;AIOZ;0.36863008;0.05996;0.06021;0.05986;0.06021;7704;1
1770361920000;AIOZ;0.5109068;0.06021;0.06047;0.06009;0.06047;3397;1
1770361980000;AIOZ;0.56483084;0.06047;0.06048;0.06032;0.06041;2704;1
1770362040000;AIOZ;0.61433274;0.06041;0.06064;0.06041;0.06064;3383;1
1770362100000;AIOZ;1.0209572;0.06064;0.06066;0.06044;0.06044;4038;1
1770362160000;AIOZ;0.905298;0.06044;0.06044;0.0603;0.06032;3165;-1
1770362220000;AIOZ;0.88351136;0.06032;0.06042;0.06026;0.06042;1862;-1
1770362280000;AIOZ;0.9421033;0.06042;0.06052;0.06041;0.06052;877;1
1770362340000;AIOZ;0.8433017;0.06052;0.06052;0.06002;0.06022;71249;-1
1770362400000;AIOZ;0.6498522;0.06022;0.06044;0.0602;0.06036;22170;-1
1770362460000;AIOZ;0.7244195;0.06036;0.06058;0.06024;0.06058;15777;1
1770362520000;AIOZ;0.6935016;0.06058;0.06058;0.06011;0.06034;8197;-1
1770362580000;AIOZ;0.62002325;0.06034;0.06048;0.06016;0.06019;5939;-1
1770362640000;AIOZ;0.50798076;0.06019;0.06019;0.05994;0.06014;7492;-1
1770362700000;AIOZ;0.4699593;0.06014;0.06022;0.06014;0.06014;1981;-1
1770362760000;AIOZ;0.41139415;0.06014;0.06018;0.05992;0.06003;8157;-1
1770362820000;AIOZ;0.35124782;0.06003;0.06003;0.0598;0.06002;4991;-1
1770362880000;AIOZ;0.42670432;0.06002;0.06019;0.05998;0.06019;6076;1
1770362940000;AIOZ;0.48689568;0.06019;0.06027;0.06006;0.06027;4210;1
1770363000000;AIOZ;0.44176778;0.06027;0.06032;0.06018;0.06032;3875;-1
1770363060000;AIOZ;0.49681297;0.06032;0.06042;0.06032;0.06042;1260;1
1770363120000;AIOZ;0.5613417;0.06042;0.06058;0.06036;0.06058;4676;1
1770363180000;AIOZ;0.70164466;0.06058;0.06101;0.06056;0.06076;19974;1
1770363240000;AIOZ;0.76666915;0.06076;0.06094;0.06076;0.06094;2012;1
1770363300000;AIOZ;1.0759535;0.06094;0.06096;0.06082;0.0609;3341;1
1770363360000;AIOZ;1.1048582;0.06089;0.06112;0.06089;0.06097;8024;1
1770363420000;AIOZ;1.0790054;0.06097;0.061;0.0609;0.0609;2312;-1
1770363480000;AIOZ;1.06141;0.0609;0.06102;0.06088;0.06092;2520;-1
1770363540000;AIOZ;1.0639795;0.06092;0.06098;0.06092;0.06098;767;1
1770363600000;AIOZ;0.9943226;0.06098;0.06098;0.06068;0.0609;23897;-1
1770363660000;AIOZ;1.0555161;0.0609;0.06112;0.06089;0.06109;9105;1
1770363720000;AIOZ;1.0825026;0.06109;0.06119;0.06098;0.06098;6224;1
1770363780000;AIOZ;0.9746348;0.06098;0.06101;0.0608;0.0608;3872;-1
1770363840000;AIOZ;0.92170715;0.0608;0.06094;0.06076;0.06079;5973;-1
1770363900000;AIOZ;1.1324191;0.06079;0.06093;0.06079;0.06093;1772;1
1770363960000;AIOZ;1.3658394;0.06128;0.06159;0.06128;0.06159;13992;1
1770364020000;AIOZ;1.4065105;0.06159;0.0616;0.06144;0.06146;9775;1
1770364080000;AIOZ;1.408912;0.06146;0.06169;0.06146;0.06158;10274;1
1770364140000;AIOZ;1.3525276;0.06158;0.0618;0.06126;0.06126;15523;-1
1770364200000;AIOZ;1.3142805;0.06126;0.06131;0.06104;0.06115;5436;-1
1770364260000;AIOZ;1.3177077;0.06126;0.06136;0.06116;0.06117;4389;1
1770364320000;AIOZ;1.3378384;0.06117;0.0614;0.06117;0.0614;2087;1
1770364380000;AIOZ;1.33814;0.0614;0.06148;0.06116;0.06116;5412;1
1770364440000;AIOZ;1.1843823;0.06116;0.06116;0.06085;0.06107;10842;-1
1770364500000;AIOZ;1.203942;0.06107;0.0613;0.06107;0.06118;5048;1
1770364560000;AIOZ;1.2393539;0.06118;0.06128;0.06116;0.06128;643;1
1770364620000;AIOZ;1.5464219;0.06128;0.06222;0.06128;0.0622;49993;1
1770364680000;AIOZ;1.7645177;0.06213;0.06225;0.06206;0.06206;7021;1
1770364740000;AIOZ;1.8300594;0.06235;0.06235;0.06216;0.06217;1365;1
1770364800000;AIOZ;2.7874708;0.06229;0.06231;0.06218;0.06218;2379;1
1770364860000;AIOZ;2.574965;0.0619;0.06201;0.06178;0.06196;28606;-1
1770364920000;AIOZ;2.4350169;0.06171;0.06178;0.06158;0.06173;19169;-1
1770364980000;AIOZ;2.2623532;0.06156;0.06162;0.06126;0.06128;40893;-1
1770365040000;AIOZ;1.9108096;0.06108;0.06112;0.0606;0.06064;76639;-1
1770365100000;AIOZ;1.1607635;0.06065;0.06102;0.06053;0.06102;24711;-1
1770365160000;AIOZ;1.359548;0.06115;0.06118;0.06104;0.06118;6086;1
1770365220000;AIOZ;1.3383576;0.0611;0.06118;0.06098;0.06118;11252;-1
1770365280000;AIOZ;1.5350137;0.0612;0.06178;0.06109;0.0617;25912;1
1770365340000;AIOZ;1.5933592;0.06157;0.0616;0.06147;0.06156;10563;1
1770365400000;AIOZ;1.6633409;0.0614;0.0614;0.06119;0.06124;13221;1
1770365460000;AIOZ;1.568907;0.06124;0.06124;0.06108;0.06108;7723;-1
1770365520000;AIOZ;1.6100832;0.06134;0.06134;0.06113;0.06113;2958;1
1770365580000;AIOZ;1.5420644;0.06112;0.0612;0.06108;0.06112;9657;-1
1770365640000;AIOZ;1.5745794;0.06112;0.06126;0.06112;0.06126;3774;1
1770365700000;AIOZ;1.1309084;0.06126;0.06126;0.06108;0.06111;14462;-1
1770365760000;AIOZ;1.0575193;0.06095;0.06122;0.06086;0.06122;24279;-1
1770365820000;AIOZ;0.95627;0.06086;0.06114;0.0608;0.0608;8837;-1
1770365880000;AIOZ;0.93623185;0.06086;0.06094;0.06074;0.06094;10018;-1
1770365940000;AIOZ;1.0131419;0.06102;0.06102;0.06098;0.06098;1170;1
1770366000000;AIOZ;0.61015624;0.06073;0.06082;0.06058;0.06074;9954;-1
1770366060000;AIOZ;0.75009257;0.06102;0.06106;0.06086;0.06086;5479;1
1770366120000;AIOZ;0.68605024;0.06086;0.06086;0.06081;0.06086;5322;-1
1770366180000;AIOZ;0.6544264;0.06084;0.06096;0.06065;0.06074;47925;-1
1770366240000;AIOZ;0.44624993;0.06058;0.06065;0.06025;0.06034;20722;-1
1770366300000;AIOZ;0.5242052;0.0605;0.06082;0.0605;0.06076;17517;1
1770366360000;AIOZ;0.6329585;0.06076;0.06089;0.06076;0.06089;12073;1
1770366420000;AIOZ;0.5334766;0.06084;0.06084;0.06048;0.06049;12141;-1
1770366480000;AIOZ;0.43647417;0.06047;0.06056;0.06047;0.06051;1465;-1
1770366540000;AIOZ;0.3630798;0.06044;0.06044;0.06032;0.06032;4567;-1
1770366600000;AIOZ;0.048443444;0.06053;0.06056;0.06028;0.06029;22121;-1
1770366660000;AIOZ;0.0072665336;0.06023;0.06046;0.06023;0.06046;5698;-1
1770366720000;AIOZ;0.04514525;0.06046;0.06048;0.06034;0.06034;4037;1
1770366780000;AIOZ;0.00093897304;0.06044;0.06044;0.06022;0.06022;24383;-1
1770366840000;AIOZ;0.014637234;0.06036;0.0604;0.06032;0.06032;6450;1
1770366900000;AIOZ;-0.5118711;0.05988;0.05996;0.05974;0.05996;22986;-1
1770366960000;AIOZ;-0.34743544;0.06008;0.06022;0.06008;0.06022;6048;1
1770367020000;AIOZ;-0.26321062;0.06022;0.0604;0.06022;0.0603;4691;1
1770367080000;AIOZ;-0.23123078;0.06027;0.0604;0.06027;0.0604;14142;1
1770367140000;AIOZ;-0.25861505;0.0603;0.06033;0.06026;0.06026;1503;-1
1770367200000;AIOZ;-0.11483346;0.06034;0.06034;0.06005;0.0602;7230;1
1770367260000;AIOZ;-0.35691023;0.05992;0.05992;0.05974;0.05974;15125;-1
1770367320000;AIOZ;-0.42122164;0.05973;0.05986;0.05964;0.05964;40228;-1
1770367380000;AIOZ;-0.43653983;0.05964;0.05979;0.05952;0.05979;9301;-1
1770367440000;AIOZ;-0.3319934;0.05982;0.05996;0.05979;0.05983;6746;1
1770367500000;AIOZ;-0.67171067;0.05983;0.05988;0.05976;0.05988;12623;-1
1770367560000;AIOZ;-0.6757001;0.0598;0.05994;0.05978;0.05978;36507;-1
1770367620000;AIOZ;-0.58715713;0.05998;0.06008;0.05987;0.05993;11296;1
1770367680000;AIOZ;-0.54181623;0.05993;0.06014;0.05993;0.06014;14444;1
1770367740000;AIOZ;-0.5120251;0.06008;0.06016;0.06004;0.06004;5145;1
1770367800000;AIOZ;-0.27875462;0.06016;0.0602;0.06016;0.06019;1603;1
1770367860000;AIOZ;-0.27550948;0.06026;0.06026;0.0601;0.0601;10924;1
1770367920000;AIOZ;-0.3542617;0.06014;0.06014;0.05989;0.06002;15539;-1
1770367980000;AIOZ;-0.33528176;0.06004;0.06014;0.05998;0.06014;7261;1
1770368040000;AIOZ;-0.31798065;0.06018;0.06018;0.06002;0.06002;1333;1
1770368100000;AIOZ;-0.51247895;0.05994;0.06003;0.0599;0.05992;11851;-1
1770368160000;AIOZ;-0.5979187;0.05984;0.05985;0.05976;0.05976;4919;-1
1770368220000;AIOZ;-0.6387135;0.05971;0.05976;0.0597;0.05975;3924;-1
1770368280000;AIOZ;-0.5987292;0.05976;0.05982;0.05976;0.05982;6123;1
1770368340000;AIOZ;-0.57121176;0.05979;0.05988;0.05979;0.05986;1472;1
1770368400000;AIOZ;-0.8850504;0.05986;0.05994;0.05986;0.05994;834;-1
1770368460000;AIOZ;-0.89457136;0.06006;0.06006;0.05963;0.05977;16515;-1
1770368520000;AIOZ;-0.9116443;0.0598;0.05992;0.05975;0.05992;5514;-1
1770368580000;AIOZ;-0.9727002;0.05992;0.05993;0.05949;0.05963;43846;-1
1770368640000;AIOZ;-1.0166336;0.05963;0.05974;0.05963;0.05966;3283;-1
1770368700000;AIOZ;-1.1594558;0.05966;0.05972;0.05949;0.05972;33101;-1
1770368760000;AIOZ;-1.1329722;0.05957;0.05972;0.05957;0.05972;15818;1
1770368820000;AIOZ;-1.1219027;0.05972;0.05975;0.05958;0.05958;6709;1
1770368880000;AIOZ;-1.0698596;0.05973;0.05986;0.05968;0.05968;10392;1
1770368940000;AIOZ;-1.0957768;0.05956;0.05982;0.05956;0.05982;2309;-1
1770369000000;AIOZ;-0.8033683;0.0599;0.05998;0.05985;0.05998;5923;1
1770369060000;AIOZ;-0.7631959;0.05996;0.06002;0.05996;0.06002;1109;1
1770369120000;AIOZ;-0.77200115;0.06002;0.06002;0.05992;0.05993;2696;-1
1770369180000;AIOZ;-0.8157666;0.05993;0.06001;0.05982;0.05983;8039;-1
1770369240000;AIOZ;-0.79228705;0.05983;0.06008;0.05983;0.05999;8662;1
1770369300000;AIOZ;-0.7058657;0.05999;0.06011;0.05976;0.06005;29228;1
1770369360000;AIOZ;-0.6446365;0.06005;0.06011;0.06003;0.06005;3612;1
