timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770360300000;CYS;-0.05278463;0.3395;0.3395;0.3386;0.3389;2173;1
1770360360000;CYS;-0.048700433;0.3389;0.3394;0.3389;0.339;1269;1
1770360420000;CYS;-0.02618514;0.339;0.3397;0.339;0.3393;266;1
1770360480000;CYS;0.00042030629;0.3393;0.3398;0.3393;0.3398;1031;1
1770360540000;CYS;-0.0059485147;0.3398;0.3398;0.3392;0.3393;502;-1
1770360600000;CYS;-0.032093875;0.3393;0.3393;0.3392;0.3392;118;-1
1770360660000;CYS;-0.061870832;0.3392;0.3393;0.3386;0.3386;1267;-1
1770360720000;CYS;-0.07685263;0.3386;0.339;0.3385;0.3388;3170;-1
1770360780000;CYS;-0.068913326;0.3388;0.339;0.3385;0.3387;2009;1
1770360840000;CYS;-0.05472077;0.3387;0.3391;0.3386;0.339;1077;1
1770360900000;CYS;-0.040932056;0.339;0.3391;0.3389;0.3391;35;1
1770360960000;CYS;-0.027753724;0.3392;0.3392;0.3392;0.3392;1050;1
1770361020000;CYS;-0.020553667;0.3392;0.3394;0.3391;0.3394;278;1
1770361080000;CYS;0.0066140317;0.3394;0.3397;0.3394;0.3397;535;1
1770361140000;CYS;0.0041091163;0.3397;0.3398;0.3392;0.3395;1666;-1
1770361200000;CYS;0.078536876;0.3395;0.3402;0.3395;0.3402;419;1
1770361260000;CYS;0.06955395;0.3391;0.3398;0.3391;0.3394;2253;-1
1770361320000;CYS;0.09470002;0.3394;0.3398;0.3394;0.3398;17;1
1770361380000;CYS;0.1135064;0.3398;0.3398;0.3398;0.3398;0;1
1770361440000;CYS;0.100371376;0.3398;0.3398;0.3396;0.3396;3982;-1
1770361500000;CYS;0.16130659;0.3396;0.3412;0.3396;0.3412;6661;1
1770361560000;CYS;0.33627948;0.3412;0.3437;0.341;0.3426;6449;1
1770361620000;CYS;0.42073947;0.3426;0.3436;0.3424;0.3436;1878;1
1770361680000;CYS;0.43437445;0.3436;0.3436;0.3428;0.3433;1019;1
1770361740000;CYS;0.44285378;0.3433;0.344;0.3429;0.344;4146;1
1770361800000;CYS;0.7686753;0.344;0.3441;0.3435;0.344;3539;1
1770361860000;CYS;0.7666792;0.344;0.3444;0.3433;0.3444;5389;-1
1770361920000;CYS;0.7626604;0.3444;0.3444;0.3436;0.3441;1000;-1
1770361980000;CYS;0.60419947;0.3441;0.3441;0.3407;0.3421;8281;-1
1770362040000;CYS;0.5854225;0.3422;0.3432;0.3422;0.343;4551;-1
1770362100000;CYS;0.7444109;0.3437;0.3438;0.3433;0.3433;3583;1
1770362160000;CYS;0.6503061;0.3433;0.3443;0.3415;0.3418;9414;-1
1770362220000;CYS;0.6146087;0.3422;0.3428;0.342;0.3428;1081;-1
1770362280000;CYS;0.6434538;0.343;0.3431;0.3425;0.3425;3395;1
1770362340000;CYS;0.5580989;0.3422;0.3423;0.3416;0.342;2448;-1
1770362400000;CYS;0.43699965;0.3424;0.3424;0.3417;0.3422;3888;-1
1770362460000;CYS;0.49396557;0.343;0.343;0.3423;0.3427;3350;1
1770362520000;CYS;0.5442937;0.343;0.3436;0.343;0.3435;5085;1
1770362580000;CYS;0.49027094;0.3429;0.343;0.3427;0.3427;982;-1
1770362640000;CYS;0.49862647;0.3429;0.343;0.3429;0.343;350;1
1770362700000;CYS;0.6658503;0.3435;0.3438;0.3434;0.3438;1801;1
1770362760000;CYS;0.6779799;0.3438;0.344;0.3435;0.3439;2372;1
1770362820000;CYS;0.6767253;0.344;0.3442;0.3434;0.3438;1997;-1
1770362880000;CYS;0.60668325;0.3436;0.3436;0.3429;0.3429;306;-1
1770362940000;CYS;0.5542163;0.3429;0.3429;0.3425;0.3429;2865;-1
1770363000000;CYS;0.40126905;0.343;0.343;0.3426;0.3426;549;-1
1770363060000;CYS;0.39528432;0.3427;0.343;0.3427;0.3427;723;-1
1770363120000;CYS;0.40542942;0.3427;0.3431;0.3427;0.3431;1539;1
1770363180000;CYS;0.43935347;0.3431;0.3434;0.3431;0.3434;639;1
1770363240000;CYS;0.42217556;0.3431;0.3432;0.3431;0.3431;189;-1
1770363300000;CYS;0.37231782;0.3428;0.343;0.3424;0.343;513;-1
1770363360000;CYS;0.3776084;0.343;0.3431;0.3426;0.3428;3031;1
1770363420000;CYS;0.35624593;0.3427;0.3428;0.3426;0.3427;450;-1
1770363480000;CYS;0.4337884;0.3429;0.344;0.3429;0.344;3308;1
1770363540000;CYS;0.47006243;0.344;0.344;0.3436;0.3437;1163;1
1770363600000;CYS;0.561222;0.3437;0.3443;0.3436;0.3442;4807;1
1770363660000;CYS;0.58885676;0.3446;0.3448;0.3438;0.3438;3037;1
1770363720000;CYS;0.520219;0.3437;0.3437;0.3436;0.3436;411;-1
1770363780000;CYS;0.57001215;0.3441;0.3442;0.3441;0.3442;35;1
1770363840000;CYS;0.5790811;0.3443;0.3443;0.3442;0.3443;365;1
1770363900000;CYS;0.54332787;0.344;0.3443;0.3434;0.3438;3974;-1
1770363960000;CYS;0.54515034;0.3441;0.3441;0.3437;0.3438;297;1
1770364020000;CYS;0.5203443;0.3438;0.344;0.3435;0.3436;9600;-1
1770364080000;CYS;0.5679551;0.3445;0.3445;0.3437;0.3441;1474;1
1770364140000;CYS;0.5695616;0.3442;0.3443;0.3442;0.3443;1437;1
1770364200000;CYS;0.54593194;0.344;0.3441;0.344;0.3441;68;-1
1770364260000;CYS;0.52666193;0.3441;0.3441;0.3437;0.3437;254;-1
1770364320000;CYS;0.5290588;0.3437;0.3442;0.3437;0.3442;185;1
1770364380000;CYS;0.5474702;0.3443;0.3443;0.3439;0.3441;1467;1
1770364440000;CYS;0.5629949;0.3442;0.3445;0.3442;0.3444;4840;1
1770364500000;CYS;0.67799807;0.3453;0.3455;0.3444;0.3444;5824;1
1770364560000;CYS;0.74862486;0.345;0.3464;0.345;0.346;6949;1
1770364620000;CYS;0.7649691;0.3457;0.3459;0.3457;0.3459;309;1
1770364680000;CYS;0.7945008;0.3461;0.3466;0.3457;0.3461;7384;1
1770364740000;CYS;0.7836762;0.3462;0.3469;0.3456;0.3456;11772;-1
1770364800000;CYS;0.92932695;0.3455;0.3456;0.3452;0.3454;2618;1
1770364860000;CYS;0.73292124;0.3442;0.3442;0.3425;0.3436;27551;-1
1770364920000;CYS;0.75795794;0.3438;0.344;0.3437;0.344;6620;1
1770364980000;CYS;0.77469295;0.344;0.3444;0.3435;0.3443;5339;1
1770365040000;CYS;0.7511939;0.3439;0.3439;0.3438;0.3438;234;-1
1770365100000;CYS;0.6334689;0.3437;0.3443;0.3437;0.3443;752;-1
1770365160000;CYS;0.6608721;0.3443;0.3445;0.344;0.3443;1139;1
1770365220000;CYS;0.75206846;0.3448;0.3458;0.3448;0.3452;1775;1
1770365280000;CYS;0.7968032;0.3459;0.3459;0.3451;0.3455;500;1
1770365340000;CYS;0.7368861;0.3454;0.3454;0.3446;0.3449;2239;-1
1770365400000;CYS;0.8614337;0.3452;0.3455;0.3452;0.3454;2054;1
1770365460000;CYS;0.8474265;0.3453;0.3456;0.345;0.345;1201;-1
1770365520000;CYS;0.8309445;0.3451;0.3451;0.3451;0.3451;0;-1
1770365580000;CYS;0.8039963;0.3447;0.3451;0.3447;0.345;5403;-1
1770365640000;CYS;0.8281393;0.3451;0.3453;0.3449;0.3452;3418;1
1770365700000;CYS;0.6530924;0.3448;0.3449;0.3445;0.3445;3596;-1
1770365760000;CYS;0.6535377;0.3446;0.3451;0.3444;0.3447;8574;1
1770365820000;CYS;0.5978872;0.344;0.3446;0.344;0.3442;972;-1
1770365880000;CYS;0.5508632;0.3443;0.3443;0.343;0.3435;18985;-1
1770365940000;CYS;0.58719665;0.3442;0.3443;0.344;0.344;2819;1
1770366000000;CYS;0.5980912;0.3444;0.3447;0.3443;0.3445;459;1
1770366060000;CYS;0.56688464;0.3441;0.3445;0.3441;0.3441;548;-1
1770366120000;CYS;0.6723374;0.3452;0.3454;0.3451;0.3451;148;1
1770366180000;CYS;0.6965483;0.3452;0.3457;0.3452;0.3457;2802;1
1770366240000;CYS;0.83280593;0.3461;0.3478;0.3457;0.3474;16663;1
1770366300000;CYS;0.9619438;0.347;0.347;0.3459;0.3461;7521;1
1770366360000;CYS;0.83793354;0.3457;0.3459;0.3445;0.3454;16826;-1
1770366420000;CYS;0.7338738;0.3445;0.3446;0.3443;0.3443;316;-1
1770366480000;CYS;0.6682582;0.3441;0.3443;0.3433;0.3436;25599;-1
1770366540000;CYS;0.6300104;0.3435;0.344;0.3432;0.3432;3162;-1
1770366600000;CYS;0.1517863;0.3436;0.3437;0.3419;0.3423;10086;-1
1770366660000;CYS;0.19740263;0.3429;0.3439;0.3429;0.3435;2763;1
1770366720000;CYS;0.2853911;0.3443;0.3443;0.3438;0.3441;367;1
1770366780000;CYS;0.2709519;0.3441;0.3441;0.3439;0.3439;959;-1
1770366840000;CYS;0.2780495;0.344;0.3444;0.3438;0.3441;2400;1
1770366900000;CYS;0.38112462;0.3439;0.3447;0.3438;0.344;1196;1
1770366960000;CYS;0.40421063;0.3443;0.3444;0.3443;0.3443;175;1
1770367020000;CYS;0.40035227;0.3445;0.3445;0.3439;0.3443;3034;-1
1770367080000;CYS;0.399213;0.3443;0.3443;0.3443;0.3443;153;-1
1770367140000;CYS;0.3900676;0.3442;0.3443;0.3442;0.3442;3652;-1
1770367200000;CYS;0.49024773;0.3442;0.3455;0.3442;0.345;4499;1
1770367260000;CYS;0.56101245;0.345;0.3458;0.345;0.3458;2598;1
1770367320000;CYS;0.59373254;0.3456;0.3462;0.3453;0.3458;5053;1
1770367380000;CYS;0.580712;0.3455;0.3458;0.3454;0.3458;501;-1
1770367440000;CYS;0.6026;0.3459;0.3459;0.3458;0.3458;717;1
1770367500000;CYS;0.68099594;0.345;0.3455;0.345;0.3454;3018;1
1770367560000;CYS;0.7942761;0.3456;0.347;0.3456;0.347;12758;1
1770367620000;CYS;0.8531315;0.3468;0.3471;0.3468;0.3468;1107;1
1770367680000;CYS;0.8205671;0.3467;0.3467;0.3464;0.3466;2811;-1
1770367740000;CYS;0.77223915;0.346;0.3464;0.346;0.3463;4340;-1
1770367800000;CYS;0.79905224;0.3457;0.3462;0.3457;0.3462;549;1
1770367860000;CYS;0.82092184;0.346;0.3464;0.3459;0.3464;1294;1
1770367920000;CYS;0.81588286;0.3463;0.3463;0.3459;0.3461;3887;-1
1770367980000;CYS;0.8082261;0.3459;0.3463;0.3459;0.3463;658;-1
1770368040000;CYS;0.7391125;0.3457;0.3457;0.3449;0.3456;5854;-1
1770368100000;CYS;0.7463569;0.3454;0.3463;0.3453;0.3461;1645;1
1770368160000;CYS;0.6989736;0.3449;0.346;0.3449;0.3456;2266;-1
1770368220000;CYS;0.71884936;0.3454;0.3459;0.3454;0.3455;2342;1
1770368280000;CYS;0.81617635;0.3462;0.3469;0.3461;0.3467;2687;1
1770368340000;CYS;0.8432259;0.347;0.347;0.3461;0.3469;4167;1
1770368400000;CYS;0.91170037;0.3467;0.3467;0.3462;0.3464;3036;1
1770368460000;CYS;1.0244092;0.3476;0.3481;0.3471;0.3475;10572;1
1770368520000;CYS;0.94368976;0.3469;0.3469;0.3467;0.3469;2003;-1
1770368580000;CYS;0.95453775;0.3468;0.3473;0.3468;0.347;1532;1
1770368640000;CYS;0.9251979;0.3468;0.3469;0.3466;0.3466;823;-1
1770368700000;CYS;0.86115694;0.3461;0.3469;0.3458;0.3466;9218;-1
1770368760000;CYS;0.8537654;0.3464;0.3466;0.3459;0.3463;2922;-1
1770368820000;CYS;0.8731917;0.3462;0.3474;0.3458;0.3466;12990;1
1770368880000;CYS;0.98077166;0.3474;0.3478;0.3472;0.3477;10266;1
1770368940000;CYS;1.1170305;0.3478;0.3511;0.3478;0.3486;28305;1
1770369000000;CYS;1.2831113;0.3486;0.3493;0.3484;0.3484;3398;1
1770369060000;CYS;1.3169526;0.3492;0.3494;0.3486;0.3489;907;1
1770369120000;CYS;1.3479073;0.35;0.35;0.3487;0.3487;11394;1
1770369180000;CYS;1.2904246;0.349;0.3493;0.3484;0.3487;6923;-1
1770369240000;CYS;1.2280139;0.3496;0.3496;0.3468;0.3472;11789;-1
1770369300000;CYS;1.2651244;0.3483;0.3486;0.348;0.3485;3950;1
1770369360000;CYS;1.3261684;0.3493;0.3493;0.3486;0.3486;1060;1
1770369420000;CYS;1.3279996;0.3486;0.3496;0.3485;0.3493;2073;1
1770369480000;CYS;1.3886595;0.3499;0.3506;0.3487;0.3492;34180;1
1770369540000;CYS;1.3446747;0.3489;0.3496;0.3489;0.3495;1983;-1
1770369600000;CYS;1.4449606;0.3493;0.3496;0.3493;0.3496;1571;1
1770369660000;CYS;1.4225676;0.3491;0.3495;0.349;0.3495;3496;-1
1770369720000;CYS;1.4377652;0.3495;0.3499;0.3491;0.3493;4678;1
1770369780000;CYS;1.3940837;0.3494;0.3495;0.3487;0.3487;1409;-1
1770369840000;CYS;1.4041599;0.3486;0.3498;0.3486;0.3498;15718;1
1770369900000;CYS;1.3563149;0.3491;0.3493;0.349;0.3492;7071;-1
1770369960000;CYS;1.2969369;0.349;0.349;0.3482;0.3483;3800;-1
1770370020000;CYS;1.2379514;0.348;0.3484;0.3479;0.3481;1218;-1
1770370080000;CYS;1.256849;0.3481;0.3489;0.3474;0.3488;19407;1
1770370140000;CYS;1.3531389;0.3493;0.3494;0.3488;0.3494;491;1
1770370200000;CYS;1.486827;0.3491;0.3509;0.3482;0.3507;35768;1
1770370260000;CYS;1.9963361;0.3527;0.357;0.3525;0.3559;151688;1
