timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770320760000;AIOZ;-0.038970858;0.05349;0.05349;0.0533;0.05333;3010;-1
1770320820000;AIOZ;-0.07570963;0.05333;0.05333;0.05326;0.05326;2879;-1
1770320880000;AIOZ;-0.067225724;0.05326;0.05332;0.05326;0.05326;3137;1
1770320940000;AIOZ;-0.04268979;0.05326;0.05334;0.05326;0.05332;310;1
1770321000000;AIOZ;-0.030132012;0.05332;0.0534;0.05328;0.0534;1993;1
1770321060000;AIOZ;-0.059349347;0.0534;0.0534;0.0532;0.0532;2241;-1
1770321120000;AIOZ;-0.17072824;0.0532;0.0532;0.05302;0.05302;4730;-1
1770321180000;AIOZ;-0.17019503;0.05302;0.05315;0.05302;0.05315;1574;1
1770321240000;AIOZ;-0.079199135;0.05315;0.05331;0.05314;0.05323;11323;1
1770321300000;AIOZ;-0.084746994;0.05323;0.05331;0.05317;0.05321;3046;-1
1770321360000;AIOZ;-0.08352517;0.05321;0.05328;0.05321;0.05321;687;1
1770321420000;AIOZ;-0.092252605;0.05321;0.05321;0.05321;0.05321;0;-1
1770321480000;AIOZ;-0.08930455;0.05321;0.05321;0.05321;0.05321;0;1
1770321540000;AIOZ;-0.06403284;0.05321;0.05328;0.05321;0.05328;208;1
1770321600000;AIOZ;-0.08587824;0.05328;0.05331;0.05318;0.05318;1550;-1
1770321660000;AIOZ;-0.053781573;0.05318;0.0534;0.05316;0.0534;189636;1
1770321720000;AIOZ;0.09967403;0.0534;0.05382;0.0534;0.05346;191483;1
1770321780000;AIOZ;0.00024966281;0.05346;0.05349;0.05329;0.05329;23749;-1
1770321840000;AIOZ;-0.03786768;0.05329;0.05337;0.05329;0.05337;95;-1
1770350400000;AIOZ;0.95004004;0.05748;0.05971;0.05734;0.0596;519893;1
1770352200000;AIOZ;2.1443856;0.05748;0.05971;0.05734;0.0596;519893;1
1770352500000;AIOZ;7.4758463;0.05748;0.05971;0.05734;0.0596;519893;1
1770352560000;AIOZ;7.403652;0.05807;0.05807;0.05788;0.05807;19489;-1
1770352620000;AIOZ;7.686752;0.05807;0.05944;0.05795;0.05921;201999;1
1770352680000;AIOZ;7.9984484;0.05921;0.05971;0.05885;0.05971;47420;1
1770352740000;AIOZ;8.0103245;0.05971;0.05971;0.05949;0.0596;15819;1
1770352800000;AIOZ;8.115926;0.05989;0.05989;0.05969;0.05969;10107;1
1770352860000;AIOZ;7.752351;0.05955;0.05955;0.05925;0.05945;8541;-1
1770354000000;AIOZ;7.151351;0.05906;0.0605;0.05904;0.06044;131485;-1
1770354180000;AIOZ;6.824533;0.05906;0.0593;0.05904;0.05914;18629;-1
1770354240000;AIOZ;6.847099;0.05914;0.05961;0.05904;0.05954;21692;1
1770354300000;AIOZ;7.110165;0.05954;0.0605;0.0595;0.06044;91164;1
1770354360000;AIOZ;7.266514;0.06005;0.06042;0.06005;0.06028;33613;1
1770354420000;AIOZ;7.270241;0.06028;0.0605;0.06028;0.06044;4724;1
1770354480000;AIOZ;7.2833734;0.06062;0.06062;0.0605;0.0605;3666;1
1770354540000;AIOZ;6.916846;0.0602;0.0602;0.0601;0.0601;2747;-1
1770354600000;AIOZ;6.1239476;0.05978;0.05978;0.05952;0.05952;4767;-1
1770354660000;AIOZ;5.9710464;0.05932;0.05973;0.05932;0.05973;34510;-1
1770354720000;AIOZ;6.148444;0.05973;0.06019;0.05951;0.06019;16966;1
1770354780000;AIOZ;6.2308216;0.06019;0.06019;0.06006;0.06013;2008;1
1770354840000;AIOZ;6.310808;0.06032;0.06048;0.06023;0.06048;3828;1
1770354900000;AIOZ;6.480884;0.06053;0.06054;0.06044;0.06044;1252;1
1770354960000;AIOZ;6.279499;0.06032;0.06032;0.06024;0.06024;1432;-1
1770355020000;AIOZ;6.0422554;0.06021;0.06021;0.0598;0.0598;6284;-1
1770355080000;AIOZ;5.874857;0.05988;0.05988;0.05976;0.05979;805;-1
1770355140000;AIOZ;5.8116775;0.05982;0.05982;0.05979;0.05979;179;-1
1770355200000;AIOZ;5.305652;0.05978;0.05988;0.05978;0.05988;2197;-1
1770355260000;AIOZ;5.2770653;0.05989;0.05989;0.05982;0.05982;4279;-1
1770355320000;AIOZ;5.22784;0.05989;0.05989;0.0598;0.0598;581;-1
1770355380000;AIOZ;5.2219267;0.05992;0.05992;0.05986;0.0599;2066;-1
1770355440000;AIOZ;4.997916;0.05961;0.05961;0.05961;0.05961;0;-1
1770355500000;AIOZ;4.7075815;0.05955;0.0596;0.05955;0.05959;1029;-1
1770355560000;AIOZ;4.6673617;0.05948;0.05964;0.05948;0.05964;7635;-1
1770355620000;AIOZ;4.7221484;0.05973;0.05973;0.05966;0.05966;93;1
1770355680000;AIOZ;4.692364;0.05966;0.05974;0.05966;0.05973;309;-1
1770355740000;AIOZ;4.4863143;0.05938;0.05946;0.05938;0.05946;2780;-1
1770355800000;AIOZ;3.9673862;0.05946;0.05958;0.05936;0.05958;11451;-1
1770355860000;AIOZ;4.027318;0.05958;0.05968;0.05958;0.05968;5465;1
1770355920000;AIOZ;4.031139;0.05968;0.05968;0.05967;0.05968;323;1
1770355980000;AIOZ;4.130253;0.05998;0.05998;0.05977;0.05977;5240;1
1770356040000;AIOZ;4.5978627;0.0607;0.0607;0.06058;0.06065;1414;1
1770356100000;AIOZ;4.983824;0.06066;0.06066;0.06054;0.06064;1621;1
1770356160000;AIOZ;4.732191;0.06028;0.06031;0.06022;0.06031;13695;-1
1770356220000;AIOZ;4.675046;0.06022;0.0603;0.06012;0.0603;1533;-1
1770356280000;AIOZ;4.718758;0.06034;0.06038;0.06029;0.06038;954;1
1770356340000;AIOZ;4.7353086;0.06045;0.06046;0.06038;0.06038;632;1
1770356400000;AIOZ;4.4983187;0.06041;0.06041;0.0604;0.0604;393;-1
1770356460000;AIOZ;4.4891906;0.06045;0.06045;0.06039;0.06044;220;-1
1770356520000;AIOZ;4.475873;0.06049;0.0605;0.0604;0.06042;859;-1
1770356580000;AIOZ;4.3923;0.06041;0.06041;0.06031;0.06031;1580;-1
1770356640000;AIOZ;4.201828;0.06008;0.06018;0.05994;0.06018;35771;-1
1770356700000;AIOZ;4.1600404;0.06018;0.06026;0.06017;0.0602;5361;-1
1770356760000;AIOZ;4.148631;0.06024;0.06026;0.06019;0.0602;2267;-1
1770356820000;AIOZ;4.026035;0.0601;0.0601;0.06002;0.06002;1853;-1
1770356880000;AIOZ;4.111481;0.06016;0.0604;0.05994;0.0604;11175;1
1770356940000;AIOZ;4.1361856;0.0604;0.0604;0.06012;0.06026;5960;1
1770357000000;AIOZ;4.319926;0.06026;0.06056;0.06022;0.06056;7640;1
1770357060000;AIOZ;4.507402;0.06056;0.061;0.06036;0.061;19052;1
1770357120000;AIOZ;5.065836;0.06104;0.0629;0.06104;0.06164;198068;1
1770357180000;AIOZ;5.379405;0.06179;0.06275;0.06158;0.06269;26601;1
1770357240000;AIOZ;5.904691;0.06315;0.06336;0.06268;0.06319;44821;1
1770357300000;AIOZ;6.8083057;0.06323;0.06336;0.06253;0.06265;63997;1
1770357360000;AIOZ;6.406995;0.06261;0.06261;0.06195;0.06228;51333;-1
1770357420000;AIOZ;6.457366;0.06258;0.0628;0.06216;0.06244;21750;1
1770357480000;AIOZ;6.732249;0.06296;0.0632;0.06269;0.0631;26200;1
1770357540000;AIOZ;6.744509;0.06324;0.06331;0.06281;0.0629;27361;1
1770357600000;AIOZ;7.466685;0.0629;0.06324;0.0628;0.06311;55541;1
1770357660000;AIOZ;7.5129123;0.06324;0.06324;0.06311;0.06311;283;1
1770357720000;AIOZ;7.3191094;0.06292;0.06292;0.06292;0.06292;0;-1
1770357780000;AIOZ;6.7734857;0.06227;0.06229;0.06189;0.06193;21420;-1
1770357840000;AIOZ;6.758005;0.06206;0.06232;0.06191;0.06215;39842;-1
1770357900000;AIOZ;6.233232;0.06236;0.06237;0.06192;0.06194;29307;-1
1770357960000;AIOZ;5.839233;0.06166;0.06168;0.0614;0.06147;63500;-1
1770358020000;AIOZ;5.7610874;0.06146;0.06171;0.0613;0.06136;77704;-1
1770358080000;AIOZ;5.6265974;0.06136;0.06143;0.06109;0.0612;33737;-1
1770358140000;AIOZ;5.501639;0.06104;0.06115;0.06104;0.06115;12327;-1
1770358200000;AIOZ;5.139101;0.06129;0.06144;0.06122;0.06133;19062;-1
1770358260000;AIOZ;5.110783;0.06133;0.06151;0.06118;0.06118;56078;-1
1770358320000;AIOZ;5.0208735;0.06118;0.06125;0.06112;0.06117;11025;-1
1770358380000;AIOZ;4.950742;0.06117;0.06123;0.06094;0.06102;34476;-1
1770358440000;AIOZ;4.949775;0.06102;0.06123;0.06102;0.06117;20827;-1
1770358500000;AIOZ;4.1729946;0.06117;0.06126;0.06117;0.06122;6868;-1
1770358800000;AIOZ;4.2359905;0.0616;0.0616;0.06104;0.06118;29958;1
1770358860000;AIOZ;4.172107;0.06118;0.06142;0.06118;0.06132;24310;-1
1770358920000;AIOZ;4.211307;0.06132;0.06146;0.06127;0.06139;33353;1
1770358980000;AIOZ;4.2750015;0.06139;0.06168;0.06139;0.06148;15149;1
1770359040000;AIOZ;4.076432;0.06148;0.06149;0.06088;0.0609;38684;-1
1770359100000;AIOZ;3.647745;0.06094;0.06098;0.06067;0.06081;94311;-1
