timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770320760000;POWER;0.0062716585;0.19196;0.19196;0.19196;0.19196;0;1
1770320820000;POWER;0.015113221;0.19196;0.19239;0.19186;0.19197;24301;1
1770320880000;POWER;-0.0020499693;0.19197;0.19218;0.19177;0.19189;1336;-1
1770320940000;POWER;-0.033675384;0.19189;0.19189;0.19146;0.19174;319;-1
1770321000000;POWER;-0.03180111;0.19174;0.19179;0.19174;0.19179;134;1
1770321060000;POWER;0.013105916;0.19179;0.19224;0.19179;0.19224;1364;1
1770321120000;POWER;0.051113784;0.19224;0.19232;0.19214;0.19232;661;1
1770321180000;POWER;0.036080416;0.19232;0.19232;0.19201;0.19217;271;-1
1770321240000;POWER;0.04739485;0.19217;0.19253;0.19195;0.19253;266;1
1770321300000;POWER;0.1500508;0.19253;0.19253;0.19238;0.19247;619;1
1770321360000;POWER;0.13883686;0.19247;0.1926;0.19237;0.19237;124;-1
1770321420000;POWER;0.10540376;0.19237;0.19237;0.19222;0.19222;55;-1
1770321480000;POWER;0.09740682;0.19222;0.19231;0.19222;0.19231;57;-1
1770321540000;POWER;0.12472342;0.19231;0.19255;0.1923;0.19255;334;1
1770321600000;POWER;0.104701295;0.19255;0.19255;0.19219;0.1922;1636;-1
1770321660000;POWER;0.046410184;0.1922;0.1922;0.19193;0.19193;79;-1
1770321720000;POWER;0.035902094;0.19193;0.19221;0.19193;0.19194;1787;-1
1770321780000;POWER;0.014906259;0.19194;0.19194;0.19182;0.19182;104;-1
1770321840000;POWER;0.00627257;0.19182;0.19182;0.19182;0.19182;0;-1
1770321900000;POWER;0.049552344;0.19182;0.19276;0.19159;0.19263;6811;1
1770321960000;POWER;0.07363815;0.19263;0.19263;0.19204;0.19204;163;1
1770322020000;POWER;0.07739792;0.19204;0.19269;0.19204;0.19269;446;1
1770322080000;POWER;0.15681046;0.19269;0.19292;0.19269;0.19292;86;1
1770322140000;POWER;0.1990068;0.19292;0.1932;0.19292;0.1932;2061;1
1770322200000;POWER;0.3311038;0.1932;0.1932;0.19311;0.19311;186;1
1770322260000;POWER;0.32033572;0.19311;0.19316;0.1931;0.19316;1224;-1
1770322320000;POWER;0.28790218;0.19316;0.19316;0.19282;0.19282;97;-1
1770322380000;POWER;0.23492257;0.19282;0.19282;0.19264;0.19264;463;-1
1770322440000;POWER;0.16612917;0.19264;0.19264;0.19211;0.19211;1311;-1
1770322500000;POWER;-0.2098209;0.19211;0.19211;0.19102;0.19165;84514;-1
1770322560000;POWER;-0.21713233;0.19165;0.19193;0.19154;0.19154;3316;-1
1770322620000;POWER;-0.22854248;0.19154;0.19175;0.1913;0.19175;1056;-1
1770322680000;POWER;-0.20654269;0.19175;0.19175;0.1916;0.19163;491;1
1770322740000;POWER;-0.22550479;0.19163;0.19163;0.19148;0.19152;187;-1
1770322800000;POWER;-0.28609273;0.19152;0.19152;0.19115;0.19142;1690;-1
1770322860000;POWER;-0.3368482;0.19142;0.19142;0.1908;0.1908;767;-1
1770322920000;POWER;-0.43619177;0.1908;0.1908;0.19026;0.19035;6346;-1
1770322980000;POWER;-0.44963786;0.19035;0.19073;0.19011;0.19057;13322;-1
1770323040000;POWER;-0.40277898;0.19057;0.19083;0.19036;0.19083;3251;1
1770323100000;POWER;-0.52103233;0.19083;0.19103;0.1901;0.19022;12003;-1
1770323160000;POWER;-0.50306904;0.19022;0.19112;0.18996;0.19112;13812;1
1770323220000;POWER;-0.3763412;0.19112;0.19155;0.19103;0.19128;1878;1
1770323280000;POWER;-0.3204309;0.19128;0.19177;0.19128;0.19177;415;1
1770323340000;POWER;-0.28560963;0.19177;0.19177;0.19163;0.19163;64;1
1770323400000;POWER;-0.084848545;0.19163;0.19188;0.19152;0.19188;1385;1
1770323460000;POWER;-0.08777067;0.19188;0.19188;0.19149;0.19158;11881;-1
1770323520000;POWER;-0.08120373;0.19158;0.192;0.19137;0.192;8141;1
1770323580000;POWER;-0.02043823;0.192;0.19218;0.192;0.19204;232;1
1770323640000;POWER;0.004134441;0.19204;0.19236;0.19204;0.19231;3914;1
1770323700000;POWER;0.16683394;0.19231;0.19265;0.19231;0.19265;3803;1
1770323760000;POWER;0.21356966;0.19265;0.19299;0.19232;0.19299;9104;1
1770323820000;POWER;0.29589933;0.19299;0.19366;0.19299;0.19311;10410;1
1770323880000;POWER;0.23525457;0.19311;0.19311;0.19258;0.19276;2743;-1
1770323940000;POWER;0.22928108;0.19276;0.19303;0.19276;0.19295;678;-1
1770324000000;POWER;0.39469558;0.19295;0.19352;0.19295;0.19352;321;1
1770324060000;POWER;0.4389275;0.19352;0.19411;0.19291;0.19342;38754;1
1770324120000;POWER;0.4270464;0.19342;0.19356;0.19327;0.19356;1476;-1
1770324180000;POWER;0.4457688;0.19356;0.19367;0.1934;0.19367;307;1
1770324240000;POWER;0.47278133;0.19367;0.19398;0.19334;0.19398;2040;1
1770324300000;POWER;0.78327274;0.19398;0.19424;0.19385;0.19385;2844;1
1770324360000;POWER;0.8022382;0.19385;0.19463;0.19385;0.19411;8220;1
1770324420000;POWER;0.7996617;0.19411;0.19428;0.19406;0.19406;446;-1
1770324480000;POWER;0.78110254;0.19406;0.19406;0.19406;0.19406;0;-1
1770324540000;POWER;0.79183865;0.19406;0.19441;0.19391;0.1942;6795;1
1770324600000;POWER;0.8195632;0.1942;0.19441;0.19416;0.19416;876;1
1770324660000;POWER;0.7850877;0.19416;0.19416;0.194;0.194;1037;-1
1770324720000;POWER;0.7270229;0.194;0.194;0.1936;0.1936;4972;-1
1770324780000;POWER;0.63572854;0.1936;0.1936;0.19308;0.19308;7242;-1
1770324840000;POWER;0.6643849;0.19308;0.19397;0.193;0.19397;24549;1
1770324900000;POWER;0.705089;0.19397;0.19422;0.19384;0.194;6190;1
1770324960000;POWER;0.70365614;0.194;0.19416;0.19389;0.19404;2844;-1
1770325020000;POWER;0.6652947;0.19404;0.19485;0.19324;0.19324;27999;-1
1770325080000;POWER;0.5534857;0.19324;0.19336;0.19313;0.19336;194;-1
1770325140000;POWER;0.61217153;0.19336;0.19389;0.19336;0.19376;669;1
1770325200000;POWER;0.5550304;0.19376;0.19387;0.19338;0.19365;4511;-1
1770325260000;POWER;0.50179225;0.19365;0.19365;0.19315;0.19315;3648;-1
1770325320000;POWER;0.4753854;0.19315;0.19343;0.19308;0.19343;1291;-1
1770325380000;POWER;0.50489235;0.19343;0.19373;0.19323;0.19336;2314;1
1770325440000;POWER;0.5430746;0.19336;0.19418;0.19336;0.1937;15439;1
1770325500000;POWER;0.54738444;0.1937;0.19373;0.19367;0.19373;894;1
1770325560000;POWER;0.5560836;0.19373;0.19404;0.19365;0.19365;1337;1
1770325620000;POWER;0.54143786;0.19365;0.19376;0.19365;0.19376;124;-1
1770325680000;POWER;0.5711736;0.19376;0.19399;0.19376;0.19399;742;1
1770325740000;POWER;0.6314611;0.19399;0.19469;0.19399;0.19416;24341;1
1770325800000;POWER;0.6584545;0.19416;0.19416;0.19406;0.19406;202;1
1770325860000;POWER;0.6371375;0.19406;0.19406;0.19397;0.19397;1089;-1
1770325920000;POWER;0.6498319;0.19397;0.1943;0.19391;0.19421;2086;1
1770325980000;POWER;0.6733425;0.19421;0.19429;0.19416;0.19429;1870;1
1770326040000;POWER;0.6324849;0.19429;0.19429;0.19379;0.19379;884;-1
1770326100000;POWER;0.47991848;0.19379;0.19379;0.1936;0.1936;77;-1
1770326160000;POWER;0.45696098;0.1936;0.1936;0.19357;0.19357;102;-1
1770326220000;POWER;0.45233142;0.19357;0.19357;0.19357;0.19357;0;-1
1770326280000;POWER;0.41355157;0.19357;0.19357;0.19318;0.19318;1068;-1
1770326340000;POWER;0.37139475;0.19318;0.19324;0.19311;0.19311;755;-1
1770326400000;POWER;0.30705667;0.19311;0.19334;0.19311;0.19334;879;-1
1770326460000;POWER;0.32798806;0.19334;0.19334;0.19334;0.19334;0;1
1770326520000;POWER;0.3658306;0.19334;0.19375;0.19334;0.19375;705;1
1770326580000;POWER;0.44799152;0.19375;0.19425;0.19375;0.19419;4573;1
1770326640000;POWER;0.49368045;0.19419;0.19442;0.19417;0.19417;1686;1
1770326700000;POWER;0.6374578;0.19417;0.19432;0.19416;0.19432;424;1
1770326760000;POWER;0.66374004;0.19432;0.19447;0.19432;0.19447;125;1
1770326820000;POWER;0.68265796;0.19447;0.19468;0.19441;0.19448;264;1
1770326880000;POWER;0.722339;0.19448;0.19499;0.19448;0.19499;969;1
1770326940000;POWER;0.86292887;0.19499;0.196;0.19498;0.196;1463;1
1770327000000;POWER;1.4388341;0.196;0.19626;0.196;0.19626;417;1
1770327060000;POWER;1.432494;0.19626;0.19626;0.19583;0.19616;579;-1
1770327120000;POWER;1.4329232;0.19616;0.19616;0.19616;0.19616;524;1
1770327180000;POWER;1.4196177;0.19616;0.19616;0.19608;0.19608;506;-1
1770327240000;POWER;1.3418547;0.19608;0.19608;0.1954;0.1954;6113;-1
1770327300000;POWER;1.1441637;0.1954;0.1954;0.1954;0.1954;0;-1
1770327360000;POWER;1.1001676;0.1954;0.1954;0.19498;0.19498;605;-1
1770327420000;POWER;1.08322;0.19498;0.19526;0.19498;0.19526;3929;-1
1770327480000;POWER;1.1386925;0.19526;0.1956;0.19526;0.1956;30;1
1770327540000;POWER;1.1670871;0.1956;0.1956;0.1956;0.1956;0;1
1770327600000;POWER;1.1774659;0.1956;0.1956;0.1956;0.1956;0;1
1770327660000;POWER;1.2655835;0.1956;0.19657;0.1956;0.19657;2015;1
1770327720000;POWER;1.4916888;0.19657;0.19809;0.19657;0.19797;22969;1
1770327780000;POWER;1.5334157;0.19797;0.19797;0.19708;0.1972;3357;1
1770327840000;POWER;1.3772364;0.1972;0.1972;0.19634;0.19634;1369;-1
1770327900000;POWER;1.409881;0.19634;0.19653;0.19634;0.19653;1482;1
1770327960000;POWER;1.42293;0.19653;0.19653;0.19653;0.19653;0;1
1770328020000;POWER;1.4145375;0.19653;0.19653;0.19646;0.19653;16;-1
1770328080000;POWER;1.4841365;0.19653;0.19728;0.19653;0.19728;426;1
1770328140000;POWER;1.5242267;0.19728;0.19728;0.19701;0.19701;386;1
1770328200000;POWER;1.5588707;0.19701;0.19701;0.19701;0.19701;0;1
1770328260000;POWER;1.553393;0.19701;0.19701;0.19701;0.19701;0;-1
1770328320000;POWER;1.5161964;0.19701;0.19701;0.19646;0.19689;3741;-1
1770328380000;POWER;1.4926332;0.19689;0.19689;0.1966;0.1966;487;-1
1770328440000;POWER;1.4332227;0.1966;0.1966;0.19631;0.19632;1193;-1
1770328500000;POWER;1.2807695;0.19632;0.19632;0.19632;0.19632;0;-1
1770328560000;POWER;1.279093;0.19632;0.19651;0.19625;0.19625;202;-1
1770328620000;POWER;1.3011899;0.19625;0.19669;0.19625;0.19669;228;1
1770328680000;POWER;1.3307385;0.19669;0.19669;0.1966;0.19661;924;1
1770328740000;POWER;1.3116871;0.19661;0.19684;0.19625;0.19658;5250;-1
1770328800000;POWER;1.0859606;0.19658;0.19686;0.19488;0.19506;11972;-1
1770328860000;POWER;0.93388146;0.19506;0.19506;0.19506;0.19506;0;-1
1770328920000;POWER;0.8318196;0.19506;0.19515;0.19362;0.1943;30718;-1
1770328980000;POWER;0.9317338;0.1943;0.19583;0.1943;0.19583;9153;1
1770329040000;POWER;1.0209652;0.19583;0.19583;0.19526;0.19526;3116;1
1770329100000;POWER;0.85116655;0.19526;0.19526;0.19517;0.19517;34;-1
1770329160000;POWER;0.84059435;0.19517;0.19517;0.19517;0.19517;0;-1
