timestamp,symbol,rd_value,open,high,low,close,volume,signal_barrier
1770455280000,BERA,0.053317256,0.4513,0.4531,0.4513,0.453,53911,1
1770455340000,BERA,0.09557416,0.453,0.4539,0.4526,0.4536,99505,1
1770455400000,BERA,0.13360512,0.4536,0.4542,0.4529,0.453,156346,1
1770455460000,BERA,0.091639936,0.4537,0.4542,0.4521,0.4526,206925,-1
1770455520000,BERA,0.05174683,0.4526,0.4535,0.4514,0.4532,197686,-1
1770455580000,BERA,0.103606254,0.4532,0.454,0.4525,0.454,111528,1
1770455640000,BERA,0.1429773,0.454,0.4545,0.4536,0.4542,57626,1
1770455700000,BERA,0.17712773,0.4542,0.4542,0.4532,0.4541,49458,1
1770455760000,BERA,0.15880829,0.4545,0.4549,0.4528,0.4539,100204,-1
1770455820000,BERA,0.17260872,0.4539,0.455,0.4536,0.4547,65614,1
1770455880000,BERA,0.22714552,0.4547,0.4561,0.4546,0.4551,88011,1
1770455940000,BERA,0.16538122,0.4551,0.4551,0.4527,0.4549,92036,-1
1770456000000,BERA,0.18020594,0.4549,0.4549,0.4542,0.4543,23299,1
1770456060000,BERA,0.27229178,0.4547,0.4569,0.4545,0.4569,68279,1
1770456120000,BERA,0.32295507,0.4569,0.457,0.4559,0.4564,62764,1
1770456180000,BERA,0.2735858,0.4564,0.4567,0.4556,0.4556,51686,-1
1770456240000,BERA,0.3546319,0.4556,0.4592,0.4552,0.459,87836,1
1770456300000,BERA,0.65593845,0.459,0.4598,0.4575,0.4585,69587,1
1770456360000,BERA,0.64212006,0.4586,0.46,0.4578,0.4587,140785,-1
1770456420000,BERA,0.62982124,0.4587,0.4596,0.4581,0.4589,125188,-1
1770456480000,BERA,0.61106676,0.4589,0.4592,0.458,0.459,95880,-1
1770456540000,BERA,0.6210104,0.459,0.4603,0.4585,0.4585,119528,1
1770456600000,BERA,0.74667996,0.4585,0.4601,0.4585,0.4601,36707,1
1770456660000,BERA,0.8117976,0.4594,0.4613,0.4592,0.4613,67778,1
1770456720000,BERA,0.74997234,0.4602,0.4604,0.4591,0.4591,22702,-1
1770456780000,BERA,0.60883677,0.458,0.4584,0.4575,0.4583,24757,-1
1770456840000,BERA,0.33396456,0.4554,0.4555,0.4538,0.4538,46531,-1
1770456900000,BERA,-0.32668307,0.4516,0.4523,0.4516,0.4521,36649,-1
1770456960000,BERA,-0.26751134,0.4525,0.4529,0.4522,0.4525,15386,1
1770457020000,BERA,-0.4131979,0.4511,0.4511,0.4499,0.4502,25108,-1
1770457080000,BERA,-0.45435673,0.4499,0.4502,0.4497,0.4498,21263,-1
1770457140000,BERA,-0.39801517,0.4504,0.4509,0.4501,0.4504,16921,1
1770457200000,BERA,-0.5176768,0.4502,0.4503,0.4492,0.45,35849,-1
1770457260000,BERA,-0.4152119,0.4511,0.4512,0.4509,0.4511,12812,1
1770457320000,BERA,-0.39102176,0.4511,0.4518,0.451,0.4512,26438,1
1770457380000,BERA,-0.3954359,0.451,0.4515,0.4509,0.4511,11705,-1
1770457440000,BERA,-0.3840716,0.4511,0.4513,0.4511,0.4512,6467,1
1770457500000,BERA,-0.5764386,0.4505,0.4518,0.4503,0.4518,12861,-1
1770457560000,BERA,-0.40676966,0.4529,0.4536,0.4525,0.4536,18027,1
1770457620000,BERA,-0.56537783,0.4513,0.4516,0.4506,0.451,19020,-1
1770457680000,BERA,-0.5791374,0.4506,0.4513,0.4505,0.4511,17558,-1
1770457740000,BERA,-0.60070664,0.4504,0.4508,0.4504,0.4505,20586,-1
1770457800000,BERA,-1.0569456,0.4475,0.4483,0.4467,0.4467,35000,-1
1770457860000,BERA,-0.9691691,0.4483,0.4484,0.4481,0.4482,13549,1
1770457920000,BERA,-0.9393682,0.4487,0.4487,0.4481,0.4485,25551,1
1770457980000,BERA,-0.95434266,0.4475,0.4489,0.4475,0.4489,21088,-1
1770458040000,BERA,-0.8772361,0.449,0.4496,0.4488,0.4488,16911,1
1770458100000,BERA,-0.6611078,0.4495,0.4497,0.4493,0.4497,7157,1
1770458160000,BERA,-0.6207612,0.4497,0.4504,0.4496,0.4502,15838,1
1770458220000,BERA,-0.49919114,0.4515,0.4516,0.451,0.4516,17790,1
1770458280000,BERA,-0.47816104,0.4517,0.4518,0.4515,0.4516,15844,1
1770458340000,BERA,-0.50968677,0.4518,0.4519,0.4505,0.4507,37358,-1
1770458400000,BERA,-0.4405883,0.4515,0.4515,0.4499,0.4513,115172,1
1770458460000,BERA,-0.46745938,0.4504,0.4512,0.4504,0.4507,30048,-1
1770458520000,BERA,-0.47586265,0.4508,0.451,0.4501,0.4502,20949,-1
1770458580000,BERA,-0.43599927,0.4509,0.4511,0.4509,0.451,10374,1
1770458640000,BERA,-0.39485905,0.4512,0.452,0.4511,0.4515,33428,1
1770458700000,BERA,-0.4445134,0.4512,0.4514,0.4504,0.4504,13066,-1
1770458760000,BERA,-0.44557604,0.4507,0.4511,0.4507,0.4507,9870,-1
1770458820000,BERA,-0.48487782,0.4506,0.4508,0.4497,0.45,101918,-1
1770458880000,BERA,-0.55580413,0.4489,0.4499,0.4489,0.4497,18895,-1
1770458940000,BERA,-0.4667199,0.4504,0.4507,0.45,0.4505,38879,1
1770459000000,BERA,-0.36275107,0.4509,0.4517,0.4509,0.4515,17881,1
1770459060000,BERA,-0.356747,0.4512,0.4515,0.4512,0.4513,17747,1
1770459120000,BERA,-0.34481984,0.4514,0.4516,0.4511,0.4516,10648,1
1770459180000,BERA,-0.30086133,0.4521,0.4523,0.4517,0.4517,9409,1
1770459240000,BERA,-0.72714305,0.4466,0.4474,0.4452,0.4474,97592,-1
1770459300000,BERA,-0.8434455,0.448,0.4488,0.4476,0.4487,22234,-1
1770459360000,BERA,-0.70328385,0.4486,0.4513,0.4486,0.4513,57750,1
1770459420000,BERA,-0.59335405,0.4518,0.4519,0.4507,0.4507,26887,1
1770459480000,BERA,-0.6483955,0.4501,0.4511,0.45,0.4511,23093,-1
1770459540000,BERA,-0.63611925,0.4514,0.4515,0.4496,0.4503,36251,1
1770459600000,BERA,-0.6575193,0.4498,0.45,0.4488,0.4489,22016,-1
1770459660000,BERA,-0.6985995,0.4488,0.4491,0.4485,0.4489,16009,-1
1770459720000,BERA,-0.59981936,0.45,0.4502,0.4499,0.4499,10275,1
1770459780000,BERA,-0.71448934,0.4485,0.4489,0.4484,0.4484,10560,-1
1770459840000,BERA,-0.72267663,0.4484,0.4486,0.448,0.4486,9179,-1
1770459900000,BERA,-0.7223481,0.4488,0.4488,0.4485,0.4488,4595,1
1770459960000,BERA,-0.71271175,0.4488,0.4489,0.4486,0.4489,4454,1
1770460020000,BERA,-0.69312173,0.4487,0.4494,0.4485,0.4494,14743,1
1770460080000,BERA,-0.6353657,0.4499,0.4501,0.4493,0.4494,9681,1
1770460140000,BERA,-0.68961924,0.4485,0.4495,0.4485,0.4494,10919,-1
1770460200000,BERA,-0.565312,0.4493,0.4493,0.4491,0.4492,2216,1
1770460260000,BERA,-0.53021085,0.4496,0.4497,0.4495,0.4497,3530,1
1770460320000,BERA,-0.57653224,0.4493,0.4493,0.4486,0.4489,20303,-1
