timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770472320000;LA;-0.18327345;0.2908;0.2936;0.2891;0.2928;1464765.2;1
1770472380000;LA;-0.018964177;0.2928;0.2938;0.2921;0.2925;354687.9;1
1770472440000;LA;-0.09015293;0.2925;0.293;0.2911;0.2914;433309.3;-1
1770472500000;LA;-0.21883678;0.2914;0.2925;0.2911;0.2921;386691.7;-1
1770472560000;LA;-0.2109645;0.2918;0.292;0.2914;0.2916;212054.8;1
1770472620000;LA;-0.10080831;0.2917;0.2937;0.2915;0.2935;532815.3;1
1770472680000;LA;0.070712246;0.2935;0.2952;0.2934;0.2946;593273.5;1
1770472740000;LA;0.07707978;0.2944;0.2957;0.2936;0.294;260384.4;1
1770472800000;LA;-0.20851837;0.2936;0.2936;0.2906;0.2915;1956147.4;-1
1770472860000;LA;-0.12560561;0.292;0.2944;0.292;0.2936;508190.2;1
1770472920000;LA;-0.0465275;0.2937;0.2944;0.2933;0.2934;173933.6;1
1770472980000;LA;-0.06911842;0.293;0.2945;0.293;0.2938;104994.8;-1
1770473040000;LA;-0.02798856;0.2938;0.2949;0.2931;0.2941;233803.1;1
1770473100000;LA;0.4245036;0.2941;0.2986;0.2938;0.2961;1013228.2;1
1770473160000;LA;0.36050582;0.2959;0.2959;0.2944;0.2949;243919.9;-1
1770473220000;LA;0.17064117;0.2944;0.2945;0.2928;0.2935;221389;-1
1770473280000;LA;0.11079211;0.2933;0.2938;0.2931;0.2931;100394;-1
1770473340000;LA;0.039126404;0.2923;0.2934;0.292;0.2932;156656.9;-1
1770473400000;LA;-0.16671397;0.2928;0.2935;0.2926;0.2934;184129;-1
1770473460000;LA;-0.072176754;0.2938;0.2943;0.2932;0.2941;196883.5;1
1770473520000;LA;-0.09327851;0.2941;0.2944;0.2924;0.2939;177833;-1
1770473580000;LA;-0.17375165;0.2939;0.2939;0.2914;0.293;194816.8;-1
1770473640000;LA;-0.22674854;0.2932;0.2932;0.2918;0.2922;128625.1;-1
1770473700000;LA;-0.35426164;0.2924;0.293;0.2908;0.2921;253756.9;-1
1770473760000;LA;-0.39413744;0.2921;0.2923;0.2912;0.2912;308637;-1
1770473820000;LA;-0.4815233;0.2911;0.2916;0.2903;0.2907;253384;-1
1770473880000;LA;-0.43822846;0.29;0.2927;0.2898;0.2923;207736;1
1770473940000;LA;-0.4668953;0.2924;0.2924;0.2891;0.2897;422661.1;-1
1770474000000;LA;-0.62261313;0.2896;0.2915;0.2895;0.2915;322861.6;-1
1770474060000;LA;-0.5702184;0.2913;0.2915;0.29;0.2907;236929.3;1
1770474120000;LA;-0.669859;0.2911;0.2912;0.2885;0.2892;430976.8;-1
1770474180000;LA;-0.7761199;0.2889;0.2898;0.2884;0.2891;223822.5;-1
1770474240000;LA;-0.84598184;0.289;0.2891;0.2872;0.2882;522340.9;-1
1770474300000;LA;-0.75511;0.2885;0.2908;0.2884;0.2903;239267;1
1770474360000;LA;-0.7049353;0.2903;0.291;0.289;0.289;295500.5;1
1770474420000;LA;-0.9770355;0.2889;0.2891;0.2855;0.2867;777423.7;-1
1770474480000;LA;-1.2489823;0.2865;0.2865;0.2837;0.2842;1205296.1;-1
1770474540000;LA;-1.4717755;0.2845;0.2849;0.2814;0.2822;1094775.9;-1
1770474600000;LA;-2.3545136;0.2829;0.2841;0.2828;0.2837;741696.9;-1
1770474660000;LA;-2.2305045;0.2836;0.2852;0.2831;0.2848;681841;1
