timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770403920000;AIO;0.19836658;0.07861;0.08062;0.07854;0.07946;518010;-1
1770403980000;AIO;0;0.07946;0.07968;0.0782;0.0782;175560;-1
1770404040000;AIO;-0.4028838;0.0782;0.07847;0.07676;0.07755;187610;-1
1770404100000;AIO;-0.9277644;0.07755;0.07755;0.07564;0.07663;186030;-1
1770404160000;AIO;-0.98234326;0.07688;0.07688;0.07594;0.07602;48050;-1
1770404220000;AIO;-1.0451379;0.07607;0.07627;0.07567;0.07611;43220;-1
1770404280000;AIO;-1.1390332;0.07584;0.07589;0.07482;0.07576;66770;-1
1770404340000;AIO;-0.9881007;0.07562;0.07595;0.07539;0.07587;25060;1
1770404400000;AIO;-1.5612912;0.07586;0.07587;0.07533;0.07553;49370;-1
1770404460000;AIO;-1.5903484;0.07574;0.07574;0.07455;0.07574;53010;-1
1770404520000;AIO;-1.2634256;0.07585;0.07657;0.0758;0.07598;60990;1
1770404580000;AIO;-1.5096049;0.07564;0.07573;0.07507;0.07529;12230;-1
1770404640000;AIO;-1.4564109;0.07534;0.07598;0.07509;0.0754;76290;1
1770404700000;AIO;-1.4509567;0.07545;0.07561;0.07512;0.07512;63750;1
1770404760000;AIO;-1.9954901;0.07482;0.07507;0.07244;0.07386;455690;-1
1770404820000;AIO;-1.7918878;0.07416;0.07456;0.07412;0.07456;60360;1
1770404880000;AIO;-1.3872117;0.07483;0.07571;0.07475;0.07519;84870;1
1770404940000;AIO;-0.8781267;0.07568;0.07692;0.07567;0.07639;160010;1
1770405000000;AIO;-0.31108174;0.07648;0.07674;0.07623;0.07632;40210;1
1770405060000;AIO;-0.45267493;0.07615;0.07638;0.0759;0.07616;17750;-1
1770405120000;AIO;-0.35832098;0.07629;0.07659;0.07616;0.07635;15710;1
1770405180000;AIO;-0.14952269;0.07659;0.07736;0.0762;0.07706;60000;1
1770405240000;AIO;-0.29803216;0.07674;0.07674;0.07614;0.07641;26320;-1
1770405300000;AIO;-0.09760947;0.07641;0.07674;0.07597;0.07674;26500;1
1770405360000;AIO;-0.07209709;0.07671;0.07725;0.07605;0.0761;46630;1
1770405420000;AIO;-0.4670545;0.07559;0.07616;0.07486;0.07616;83400;-1
1770405480000;AIO;-0.6342466;0.07563;0.07563;0.075;0.075;20040;-1
1770405540000;AIO;-0.9949537;0.07494;0.07494;0.07394;0.07424;176360;-1
1770405600000;AIO;-1.4603055;0.07463;0.07505;0.07425;0.07491;79240;-1
1770405660000;AIO;-1.4834145;0.07491;0.07491;0.0742;0.07444;57200;-1
1770405720000;AIO;-1.4487295;0.07443;0.07492;0.07438;0.07484;41280;1
1770405780000;AIO;-1.3932328;0.07469;0.07505;0.0744;0.07473;30400;1
1770405840000;AIO;-1.165857;0.07526;0.07534;0.0747;0.07534;48820;1
1770405900000;AIO;-0.8019949;0.07538;0.07555;0.07492;0.07541;35970;1
1770405960000;AIO;-0.5647331;0.07577;0.07628;0.07551;0.07563;19450;1
1770406020000;AIO;-0.71003604;0.07552;0.07567;0.07525;0.07551;37710;-1
1770406080000;AIO;-0.73652166;0.07544;0.07554;0.07527;0.07543;22470;-1
1770406140000;AIO;-0.6127211;0.07554;0.07611;0.0755;0.07552;13990;1
1770406200000;AIO;-0.3361342;0.07591;0.07635;0.07567;0.07575;54850;1
1770406260000;AIO;-0.36010414;0.07579;0.07601;0.07567;0.07601;18320;-1
1770406320000;AIO;-0.39542344;0.07588;0.07608;0.07557;0.07565;29970;-1
1770406380000;AIO;-0.35845944;0.07575;0.07616;0.07552;0.07605;23920;1
1770406440000;AIO;-0.17810696;0.07624;0.07632;0.07618;0.07625;2220;1
1770406500000;AIO;-0.124217406;0.07639;0.0764;0.07592;0.07597;19610;1
1770406560000;AIO;-0.22714539;0.07618;0.07618;0.07571;0.07577;12000;-1
1770406620000;AIO;-0.246699;0.07603;0.07608;0.07569;0.07588;4600;-1
1770406680000;AIO;-0.25151333;0.07603;0.07609;0.07576;0.07576;4560;-1
1770406740000;AIO;-0.51434237;0.07514;0.07558;0.07514;0.07558;13960;-1
1770406800000;AIO;-0.5130765;0.07573;0.07578;0.0756;0.0757;2520;1
1770406860000;AIO;-0.3258042;0.07609;0.07625;0.07593;0.07609;15130;1
1770406920000;AIO;-0.40411428;0.0761;0.0761;0.07575;0.07577;6270;-1
1770406980000;AIO;-0.69880664;0.07555;0.07559;0.07499;0.07513;10450;-1
1770407040000;AIO;-0.7079878;0.07547;0.07547;0.07506;0.07514;18650;-1
1770407100000;AIO;-1.0318656;0.07522;0.07531;0.07505;0.0752;3520;-1
1770407160000;AIO;-1.0404202;0.07518;0.07534;0.07499;0.07515;27350;-1
1770407220000;AIO;-0.9409784;0.07546;0.07546;0.07521;0.07531;19520;1
1770407280000;AIO;-0.96688926;0.0752;0.07546;0.07507;0.07546;23940;-1
1770407340000;AIO;-0.79077816;0.07544;0.0759;0.07538;0.0759;28120;1
1770407400000;AIO;-0.43171462;0.07599;0.07599;0.07559;0.07585;12970;1
1770407460000;AIO;-0.548359;0.0758;0.0758;0.07533;0.07552;23880;-1
1770407520000;AIO;-0.527406;0.07562;0.07578;0.07552;0.07569;2340;1
1770407580000;AIO;-0.34698504;0.07582;0.07653;0.0757;0.07605;28960;1
1770407640000;AIO;-0.23789062;0.07629;0.07644;0.07596;0.07633;17620;1
1770407700000;AIO;-0.029399773;0.07649;0.07649;0.07608;0.07626;10480;1
1770407760000;AIO;0.013884194;0.07617;0.07672;0.07617;0.07665;15750;1
1770407820000;AIO;0.3774901;0.0768;0.07768;0.07679;0.0775;111970;1
1770407880000;AIO;0.42916536;0.07745;0.07745;0.07707;0.07731;12530;1
1770407940000;AIO;0.43213424;0.07731;0.0775;0.07714;0.07744;17770;1
1770408000000;AIO;1.8425686;0.07752;0.07798;0.07752;0.07767;17970;1
1770408060000;AIO;1.761948;0.07747;0.0776;0.07747;0.07758;4170;-1
1770408120000;AIO;1.9625438;0.07816;0.07816;0.07764;0.07792;21850;1
1770408180000;AIO;1.8973699;0.07773;0.07808;0.07773;0.07791;36600;-1
1770408240000;AIO;1.928169;0.07791;0.07818;0.0778;0.07792;39790;1
1770408300000;AIO;1.698204;0.07781;0.07781;0.07737;0.07749;18610;-1
1770408360000;AIO;1.3182132;0.07703;0.07733;0.07643;0.07661;108860;-1
1770408420000;AIO;1.1403219;0.07664;0.0768;0.07606;0.07646;23720;-1
1770408480000;AIO;1.0788984;0.0763;0.0765;0.0763;0.07637;8440;-1
1770408540000;AIO;1.1720645;0.0765;0.07674;0.07645;0.07657;18040;1
1770408600000;AIO;0.64093626;0.07638;0.07671;0.07607;0.07658;7780;-1
1770408660000;AIO;0.822728;0.07673;0.07712;0.07658;0.07684;5900;1
1770408720000;AIO;1.1116046;0.07695;0.07811;0.07695;0.0777;77000;1
1770408780000;AIO;1.1170286;0.07749;0.07759;0.07723;0.07751;21230;1
1770408840000;AIO;1.1993493;0.07775;0.07782;0.0775;0.0775;10720;1
1770408900000;AIO;1.5792762;0.07778;0.07778;0.07742;0.07759;5120;1
1770408960000;AIO;1.3101903;0.07737;0.07737;0.07674;0.07692;65370;-1
1770409020000;AIO;1.1380453;0.07692;0.07692;0.07652;0.07665;4710;-1
1770409080000;AIO;1.2129948;0.07665;0.07731;0.07665;0.07705;12490;1
1770409140000;AIO;1.3964267;0.07715;0.07757;0.07714;0.07736;26350;1
1770409200000;AIO;1.3616298;0.07753;0.07763;0.07732;0.07732;1170;-1
1770409260000;AIO;1.3802004;0.07749;0.07768;0.07742;0.07742;3310;1
1770409320000;AIO;1.3938295;0.07733;0.07776;0.07733;0.07776;380;1
1770409380000;AIO;1.5670753;0.07776;0.0782;0.07776;0.07796;22950;1
1770409440000;AIO;1.6484088;0.0779;0.07864;0.07784;0.07805;25970;1
1770409500000;AIO;1.4969672;0.07766;0.07787;0.07752;0.07767;27810;-1
1770409560000;AIO;1.37705;0.07756;0.07756;0.07733;0.07733;9720;-1
1770409620000;AIO;1.4013305;0.07762;0.07762;0.07723;0.07756;17300;1
1770409680000;AIO;1.4818255;0.07777;0.07784;0.07736;0.07778;18710;1
1770409740000;AIO;1.5243262;0.07769;0.07794;0.07766;0.07787;29560;1
1770409800000;AIO;1.690046;0.07795;0.07813;0.07773;0.07794;13990;1
1770409860000;AIO;1.6247861;0.07789;0.07796;0.07762;0.0778;11400;-1
1770409920000;AIO;1.7162443;0.0778;0.07827;0.0778;0.07822;37100;1
1770409980000;AIO;1.5081145;0.0782;0.07828;0.07697;0.07697;12840;-1
1770410040000;AIO;1.3873084;0.07727;0.07755;0.07715;0.07749;27090;-1
1770410100000;AIO;1.2604932;0.07754;0.0779;0.07728;0.07728;8270;-1
1770410160000;AIO;1.3167359;0.07754;0.07791;0.07753;0.07753;18210;1
1770410220000;AIO;1.2681178;0.07747;0.07778;0.07737;0.07753;13330;-1
1770410280000;AIO;1.0004828;0.07719;0.07734;0.07658;0.07685;16640;-1
1770410340000;AIO;0.6153675;0.07678;0.07678;0.07547;0.07574;122490;-1
1770410400000;AIO;-0.14937373;0.07593;0.07608;0.07554;0.07597;32590;-1
1770410460000;AIO;-0.20450933;0.07551;0.07605;0.07543;0.07605;21830;-1
1770410520000;AIO;0.12616768;0.07633;0.07673;0.0762;0.07651;19400;1
1770410580000;AIO;0.057757013;0.07613;0.07654;0.07599;0.07654;5360;-1
1770410640000;AIO;0.3801207;0.07675;0.07719;0.07675;0.07719;9630;1
1770410700000;AIO;0.9321522;0.07715;0.0775;0.07715;0.0775;5260;1
1770410760000;AIO;0.994508;0.07755;0.07759;0.07712;0.07759;23840;1
1770410820000;AIO;0.9435194;0.07749;0.07767;0.07715;0.07715;4350;-1
1770410880000;AIO;0.9998331;0.07748;0.07754;0.0774;0.07754;670;1
1770410940000;AIO;0.9812777;0.07741;0.07754;0.07741;0.07748;850;-1
1770411000000;AIO;1.0153711;0.07749;0.07762;0.07712;0.07761;16860;1
1770411060000;AIO;0.97187304;0.07769;0.07769;0.07698;0.07715;13190;-1
1770411120000;AIO;0.8579628;0.07715;0.0773;0.07707;0.07707;4670;-1
1770411180000;AIO;0.9094462;0.07715;0.07737;0.07715;0.07737;1950;1
1770411240000;AIO;0.97492677;0.07755;0.07755;0.07718;0.07733;15660;1
1770411300000;AIO;0.2981097;0.07703;0.07714;0.07612;0.07632;38160;-1
1770411360000;AIO;0.123568684;0.07625;0.07633;0.07625;0.07633;720;-1
1770411420000;AIO;0.21809523;0.07654;0.07664;0.07638;0.07638;9300;1
1770411480000;AIO;0.19302908;0.0766;0.07661;0.07626;0.07626;8780;-1
1770411540000;AIO;0.042081583;0.07633;0.07648;0.07583;0.07583;24670;-1
1770411600000;AIO;-0.80288833;0.07579;0.07627;0.07579;0.07601;14740;-1
1770411660000;AIO;-0.62913066;0.07641;0.07643;0.07616;0.07629;32850;1
1770411720000;AIO;-0.62122446;0.07629;0.07648;0.07625;0.07633;3520;1
1770411780000;AIO;-0.5977679;0.07665;0.07665;0.07612;0.07612;6970;1
1770411840000;AIO;-0.58169603;0.07626;0.07665;0.07625;0.07651;11850;1
1770411900000;AIO;-0.5599802;0.0762;0.07638;0.07604;0.07632;5330;1
1770411960000;AIO;-0.56261307;0.07632;0.07635;0.07612;0.07612;770;-1
1770412020000;AIO;-0.6397274;0.07605;0.07619;0.07601;0.07601;1760;-1
1770412080000;AIO;-0.4050914;0.07605;0.07728;0.07605;0.07682;122120;1
1770412140000;AIO;-0.39563942;0.07676;0.07676;0.07638;0.07638;740;1
1770412200000;AIO;-0.32192093;0.07638;0.07663;0.07638;0.07663;1310;1
1770412260000;AIO;0.16832732;0.07774;0.07774;0.07731;0.07731;4190;1
1770412320000;AIO;0.09874779;0.07741;0.07748;0.0772;0.07746;20790;-1
1770412380000;AIO;0.090965;0.07728;0.07754;0.07728;0.07741;1250;-1
1770412440000;AIO;0.2514486;0.07776;0.07781;0.07765;0.07765;7460;1
1770412500000;AIO;1.2074617;0.07764;0.07808;0.07764;0.0779;51120;1
1770412560000;AIO;1.1383063;0.0779;0.0779;0.07726;0.07766;31980;-1
1770412620000;AIO;0.8702688;0.07722;0.07722;0.07698;0.0771;4910;-1
1770412680000;AIO;0.68457264;0.07688;0.07688;0.07648;0.07675;4190;-1
1770412740000;AIO;0.7728411;0.07699;0.0771;0.0768;0.07684;10370;1
1770412800000;AIO;0.59485495;0.07683;0.07743;0.07683;0.07743;11150;-1
1770412860000;AIO;0.9161417;0.07766;0.07805;0.07764;0.07786;35180;1
1770412920000;AIO;0.7536069;0.07786;0.07787;0.07708;0.07708;43090;-1
1770412980000;AIO;0.5357309;0.0768;0.07725;0.0768;0.07725;7900;-1
1770413040000;AIO;0.88504404;0.07759;0.07792;0.07759;0.07792;10960;1
1770413100000;AIO;1.1432513;0.07772;0.078;0.07772;0.07774;7510;1
1770413160000;AIO;1.1202527;0.07774;0.078;0.07756;0.07772;46340;-1
1770413220000;AIO;1.0409894;0.07773;0.07773;0.07738;0.07755;9590;-1
1770413280000;AIO;1.076345;0.07771;0.07773;0.07755;0.07772;11010;1
1770413340000;AIO;1.0166293;0.07764;0.07772;0.07744;0.07744;2850;-1
1770413400000;AIO;0.524293;0.07751;0.07751;0.07703;0.07703;24290;-1
1770413460000;AIO;0.028775044;0.07644;0.07673;0.07581;0.07599;125890;-1
1770413520000;AIO;-0.07099142;0.07627;0.07627;0.07572;0.07587;13710;-1
1770413580000;AIO;0.15294462;0.07656;0.07658;0.07634;0.0765;40660;1
1770413640000;AIO;0.21215978;0.07648;0.07684;0.07643;0.07672;23830;1
1770413700000;AIO;-0.020160634;0.07672;0.07672;0.07648;0.07664;90;-1
1770413760000;AIO;0.009802725;0.07675;0.07676;0.07658;0.07672;10090;1
1770413820000;AIO;0.094844006;0.07679;0.07698;0.07677;0.07698;10810;1
1770413880000;AIO;0.07607189;0.07688;0.07689;0.07671;0.07689;20010;-1
1770413940000;AIO;-0.05070105;0.07673;0.07673;0.07643;0.07643;6540;-1
1770414000000;AIO;-0.11559343;0.0763;0.07676;0.0763;0.07676;6360;-1
1770414060000;AIO;0.11532389;0.07695;0.07707;0.07695;0.07707;5240;1
1770414120000;AIO;0.030132726;0.07717;0.07721;0.07648;0.07648;38030;-1
1770414180000;AIO;-0.15908521;0.0763;0.07659;0.07629;0.07659;9830;-1
1770414240000;AIO;-0.07207931;0.07654;0.07672;0.07651;0.07672;2250;1
1770414300000;AIO;-0.06302525;0.07672;0.07686;0.07651;0.07686;6100;1
1770414360000;AIO;-0.07415481;0.07697;0.07697;0.07639;0.07653;6250;-1
1770414420000;AIO;-0.2210006;0.07653;0.07653;0.07629;0.07629;470;-1
1770414480000;AIO;-0.15793955;0.07658;0.07658;0.07642;0.07658;1450;1
1770414540000;AIO;-0.13969399;0.07658;0.07668;0.07644;0.07661;4040;1
1770414600000;AIO;-0.14264835;0.07662;0.07672;0.07662;0.07662;4160;-1
1770414660000;AIO;-0.08142197;0.07663;0.07692;0.07663;0.07691;37380;1
1770414720000;AIO;-0.026541024;0.07703;0.07712;0.07664;0.07676;23970;1
1770414780000;AIO;-0.1798667;0.07658;0.07658;0.07656;0.07656;180;-1
1770414840000;AIO;-0.1340563;0.07672;0.07679;0.07654;0.07661;18600;1
1770414900000;AIO;0.002133729;0.07682;0.07682;0.07681;0.07681;200;1
1770414960000;AIO;0.034088135;0.0767;0.07707;0.0767;0.07706;5430;1
1770415020000;AIO;0.020202678;0.0769;0.0769;0.07681;0.07681;1460;-1
1770415080000;AIO;-0.048892464;0.07681;0.07684;0.07658;0.07662;27050;-1
1770415140000;AIO;-0.099590994;0.07652;0.07672;0.07652;0.07667;3840;-1
1770415200000;AIO;-0.1058807;0.07658;0.0767;0.07658;0.07658;1880;-1
1770415260000;AIO;-0.11304837;0.0766;0.07663;0.07652;0.07663;530;-1
1770415320000;AIO;-0.058874525;0.07672;0.07673;0.07669;0.07669;2950;1
1770415380000;AIO;-0.1588473;0.07658;0.07658;0.07642;0.07642;4160;-1
1770415440000;AIO;-0.17175461;0.0764;0.07664;0.07632;0.07653;2420;-1
1770415500000;AIO;-0.040361073;0.07657;0.0768;0.07657;0.0768;1610;1
1770415560000;AIO;0.12539275;0.077;0.07715;0.07693;0.07704;12280;1
1770415620000;AIO;0.028231442;0.07704;0.07704;0.07662;0.07662;4760;-1
1770415680000;AIO;-0.015537286;0.07662;0.07686;0.07662;0.07686;1680;-1
1770415740000;AIO;0.11162832;0.07686;0.07715;0.07686;0.07715;2800;1
1770415800000;AIO;0.3212814;0.07728;0.07728;0.07688;0.077;13300;1
1770415860000;AIO;0.23597978;0.07689;0.07698;0.07689;0.07698;3610;-1
1770415920000;AIO;0.27012497;0.07698;0.07711;0.07697;0.07697;18740;1
1770415980000;AIO;0.2584213;0.07707;0.07715;0.07686;0.07686;3620;-1
1770416040000;AIO;0.10011054;0.07679;0.0768;0.07652;0.07652;13760;-1
1770416100000;AIO;-0.32270464;0.07643;0.07643;0.0764;0.0764;10;-1
1770416160000;AIO;0.09380552;0.07731;0.07743;0.07708;0.0773;10430;1
1770416220000;AIO;0.062248237;0.07728;0.07729;0.07708;0.07722;5580;-1
1770416280000;AIO;0.04527871;0.07708;0.07729;0.07708;0.07729;1530;-1
1770416340000;AIO;0.17265716;0.07752;0.07752;0.07729;0.07748;18770;1
1770416400000;AIO;0.59683347;0.0774;0.07758;0.0774;0.07758;670;1
1770416460000;AIO;0.6538013;0.07758;0.07778;0.07746;0.07763;14030;1
1770416520000;AIO;0.67924863;0.07786;0.07798;0.07742;0.07742;61100;1
1770416580000;AIO;0.59881026;0.07742;0.07764;0.07733;0.07764;7810;-1
1770416640000;AIO;0.67982787;0.07759;0.07777;0.07759;0.07777;8620;1
1770416700000;AIO;0.9716905;0.0778;0.07813;0.0778;0.07806;17510;1
1770416760000;AIO;1.1262347;0.07816;0.07857;0.07806;0.07831;82380;1
1770416820000;AIO;1.0180829;0.07821;0.07824;0.07786;0.07792;37290;-1
1770416880000;AIO;0.97655463;0.07792;0.07815;0.07792;0.07792;5730;-1
1770416940000;AIO;1.0205472;0.07806;0.07824;0.078;0.078;26470;1
1770417000000;AIO;1.6471483;0.07824;0.0785;0.07812;0.07822;29990;1
1770417060000;AIO;1.465874;0.07808;0.07808;0.07766;0.07778;30960;-1
1770417120000;AIO;1.251823;0.07758;0.07763;0.07723;0.0774;40160;-1
1770417180000;AIO;1.2598178;0.07742;0.07758;0.07742;0.0775;1930;1
1770417240000;AIO;1.2617766;0.07744;0.07763;0.07744;0.07744;22210;1
1770417300000;AIO;1.318635;0.07763;0.0782;0.07763;0.0782;54920;1
1770417360000;AIO;1.3376925;0.07812;0.07824;0.07769;0.07779;132410;1
1770417420000;AIO;1.181307;0.07775;0.07786;0.07743;0.07752;12880;-1
1770417480000;AIO;1.1541605;0.07752;0.07772;0.07745;0.07766;23270;-1
1770417540000;AIO;1.3313276;0.07786;0.07807;0.07784;0.07807;2680;1
1770417600000;AIO;0.99098784;0.07786;0.07786;0.07717;0.07734;29770;-1
1770417660000;AIO;0.9808861;0.07736;0.07772;0.07736;0.07772;11680;-1
1770417720000;AIO;1.0885316;0.07772;0.07782;0.07771;0.07782;1070;1
1770417780000;AIO;1.1981064;0.07814;0.07814;0.07786;0.07786;5460;1
1770417840000;AIO;1.3492274;0.07841;0.07857;0.07806;0.07824;14940;1
1770417900000;AIO;1.2265102;0.078;0.07809;0.07787;0.07787;7760;-1
1770417960000;AIO;1.2492796;0.07787;0.07815;0.07787;0.07815;6670;1
1770418020000;AIO;1.351199;0.07829;0.07839;0.07806;0.07817;52100;1
1770418080000;AIO;1.3590378;0.07818;0.07832;0.07818;0.07832;2530;1
1770418140000;AIO;1.3896625;0.07821;0.07843;0.07821;0.07843;4520;1
1770418200000;AIO;1.6451396;0.07858;0.07858;0.07829;0.07844;6500;1
1770418260000;AIO;1.5433197;0.07815;0.0784;0.07815;0.07837;5430;-1
1770418320000;AIO;1.5871817;0.0784;0.0784;0.07833;0.07833;4400;1
1770418380000;AIO;1.4760481;0.0782;0.07841;0.07789;0.07806;101600;-1
1770418440000;AIO;1.3570019;0.07791;0.078;0.07768;0.078;10420;-1
1770418500000;AIO;1.3716171;0.07808;0.07829;0.07808;0.07829;12130;1
1770418560000;AIO;1.3893309;0.07829;0.07835;0.07808;0.07819;20870;1
1770418620000;AIO;1.3241867;0.07819;0.07819;0.07795;0.07806;7280;-1
1770418680000;AIO;1.291724;0.07805;0.07805;0.07802;0.07802;900;-1
1770418740000;AIO;1.3002003;0.07814;0.07814;0.07794;0.07801;20690;1
1770418800000;AIO;1.1338699;0.07787;0.07787;0.07766;0.07786;14610;-1
1770418860000;AIO;1.1164211;0.0777;0.07789;0.0777;0.07784;3560;-1
1770418920000;AIO;1.0006737;0.07763;0.07769;0.07743;0.07743;5240;-1
1770418980000;AIO;1.0245678;0.07744;0.07786;0.07744;0.07765;9730;1
1770419040000;AIO;1.0735638;0.07743;0.078;0.07743;0.07795;11810;1
1770419100000;AIO;1.0848048;0.07772;0.0779;0.07758;0.0779;10640;1
1770419160000;AIO;1.1706668;0.0779;0.07804;0.0779;0.07799;11950;1
1770419220000;AIO;1.2741804;0.07791;0.07858;0.07791;0.07831;64850;1
1770419280000;AIO;1.3161104;0.07831;0.07857;0.078;0.0782;43240;1
1770419340000;AIO;1.3518827;0.0782;0.0785;0.0782;0.0785;17330;1
1770419400000;AIO;1.7593741;0.07858;0.07885;0.07845;0.07845;6570;1
1770419460000;AIO;1.7370244;0.07858;0.07871;0.07831;0.07857;40880;-1
1770419520000;AIO;1.9318104;0.07874;0.07936;0.07866;0.07906;43630;1
1770419580000;AIO;1.9423716;0.07895;0.07902;0.07895;0.07902;1730;1
1770419640000;AIO;1.9744831;0.07902;0.07927;0.07895;0.079;20180;1
1770419700000;AIO;2.0187519;0.07848;0.07904;0.07828;0.07899;32710;1
