timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770408360000;AWE;-0.007917845;0.07015;0.07027;0.07009;0.07009;62860;1
1770408420000;AWE;0.04747662;0.07009;0.07056;0.07009;0.07046;148210;1
1770408480000;AWE;0.30479234;0.07046;0.07154;0.07039;0.07154;494640;1
1770408540000;AWE;0.8138082;0.07154;0.07319;0.07154;0.07312;825750;1
1770408600000;AWE;1.1954542;0.07312;0.07329;0.07245;0.07264;244370;1
1770408660000;AWE;0.93174225;0.07264;0.07273;0.07235;0.07259;101230;-1
1770408720000;AWE;1.0155113;0.07259;0.07347;0.07247;0.07324;190520;1
1770408780000;AWE;0.97836185;0.07324;0.07324;0.07277;0.07291;71990;-1
1770408840000;AWE;0.80895615;0.07291;0.073;0.07261;0.07278;59500;-1
1770408900000;AWE;0.5868953;0.07278;0.07283;0.07246;0.0725;45880;-1
1770408960000;AWE;0.5309989;0.0725;0.07277;0.07248;0.07262;26020;-1
1770409020000;AWE;0.46994504;0.07262;0.07263;0.0724;0.07242;60590;-1
1770409080000;AWE;0.45907485;0.07242;0.07266;0.07242;0.07264;13130;-1
1770409140000;AWE;0.52096224;0.07264;0.07276;0.07264;0.07276;1170;1
1770409200000;AWE;0.60432917;0.07276;0.07289;0.07276;0.07276;26890;1
1770409260000;AWE;0.6220105;0.07295;0.07298;0.07285;0.07297;20930;1
1770409320000;AWE;0.60493976;0.07297;0.0731;0.07286;0.07286;6200;-1
1770409380000;AWE;0.55233526;0.07286;0.07292;0.07282;0.07292;1520;-1
1770409440000;AWE;0.6285922;0.07292;0.07332;0.07292;0.07312;42030;1
1770409500000;AWE;0.72645426;0.07312;0.07316;0.07309;0.07316;860;1
1770409560000;AWE;0.74325985;0.07313;0.07338;0.07297;0.07331;65130;1
1770409620000;AWE;0.81152016;0.07331;0.0737;0.07316;0.07333;126730;1
1770409680000;AWE;0.7541294;0.07333;0.07333;0.07321;0.07333;3200;-1
1770409740000;AWE;0.83713144;0.07333;0.07369;0.07331;0.07369;2690;1
1770409800000;AWE;1.1403044;0.07369;0.07369;0.07358;0.07368;1120;1
1770409860000;AWE;1.1322258;0.07351;0.07385;0.07346;0.07368;54340;-1
1770409920000;AWE;1.279998;0.07368;0.07431;0.07367;0.0742;58020;1
1770409980000;AWE;1.2843482;0.0742;0.0742;0.07381;0.07388;24840;1
