timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770403920000;BERA;-0.40461642;0.5397;0.5416;0.5227;0.5236;1021838;-1
1770403980000;BERA;-1.0583009;0.5236;0.5245;0.5047;0.5074;1175108;-1
1770404040000;BERA;-1.3267434;0.5074;0.5095;0.5013;0.5025;822323;-1
1770404100000;BERA;-1.7773207;0.5025;0.5053;0.5024;0.5042;222212;-1
1770404160000;BERA;-1.2283874;0.5115;0.5119;0.5049;0.5102;327024;1
1770404220000;BERA;-1.0577967;0.5125;0.5125;0.5076;0.5114;255692;1
1770404280000;BERA;-0.89971066;0.5133;0.5146;0.5096;0.5131;149076;1
1770404340000;BERA;-0.79201937;0.5133;0.5168;0.5116;0.5137;242941;1
1770404400000;BERA;0.5117124;0.5176;0.5278;0.5176;0.5234;453901;1
1770404460000;BERA;0.74671525;0.5258;0.527;0.5238;0.5262;212471;1
1770404520000;BERA;0.69129467;0.5252;0.528;0.5223;0.5269;234480;-1
1770404580000;BERA;0.9235404;0.5313;0.5314;0.5279;0.5284;161552;1
1770404640000;BERA;0.32469782;0.5235;0.5246;0.5184;0.5196;278990;-1
1770404700000;BERA;-0.6135406;0.5152;0.5168;0.5111;0.5118;232768;-1
1770404760000;BERA;-0.4179606;0.5146;0.5191;0.5144;0.5171;207234;1
1770404820000;BERA;-0.48317817;0.5157;0.5176;0.5133;0.5141;168401;-1
1770404880000;BERA;-0.6047801;0.5129;0.5148;0.5122;0.5128;134943;-1
1770404940000;BERA;-0.440082;0.5138;0.5174;0.5129;0.5172;199166;1
1770405000000;BERA;0.1559307;0.5174;0.5226;0.5174;0.521;182963;1
1770405060000;BERA;0.086494595;0.5193;0.5204;0.5167;0.5182;172576;-1
1770405120000;BERA;0.12431953;0.5192;0.5211;0.5178;0.5188;142441;1
1770405180000;BERA;-0.21882549;0.5169;0.5172;0.5092;0.5137;272291;-1
1770405240000;BERA;-0.39259332;0.5126;0.5131;0.5092;0.5113;197650;-1
1770405300000;BERA;-1.3521023;0.5093;0.5104;0.5066;0.51;238235;-1
1770405360000;BERA;-1.0693064;0.512;0.5153;0.5118;0.5123;190199;1
1770405420000;BERA;-1.3750854;0.5091;0.5106;0.5059;0.5074;169306;-1
1770405480000;BERA;-1.4707707;0.5063;0.5082;0.5037;0.508;171157;-1
1770405540000;BERA;-1.3892446;0.5077;0.5089;0.5058;0.5071;138853;1
1770405600000;BERA;-1.9243121;0.5032;0.505;0.4993;0.5044;528869;-1
1770405660000;BERA;-1.3318167;0.5095;0.5139;0.5093;0.5116;411907;1
1770405720000;BERA;-1.3720651;0.5097;0.5116;0.5095;0.5106;130312;-1
1770405780000;BERA;-1.3905793;0.51;0.5111;0.5082;0.5104;152582;-1
1770405840000;BERA;-1.5310906;0.5118;0.512;0.5029;0.5043;288031;-1
1770405900000;BERA;-1.7080445;0.5019;0.5059;0.5019;0.5044;175191;-1
1770405960000;BERA;-2.0380414;0.5011;0.5012;0.494;0.4977;683601;-1
1770406020000;BERA;-2.2064478;0.4972;0.4986;0.4932;0.4937;259251;-1
1770406080000;BERA;-2.2452812;0.4939;0.496;0.4932;0.4955;221289;-1
1770406140000;BERA;-2.162664;0.4955;0.4969;0.4938;0.4952;231406;1
1770406200000;BERA;-3.052952;0.4934;0.4953;0.4909;0.4947;354550;-1
1770406260000;BERA;-2.7790604;0.4984;0.4984;0.495;0.4962;231053;1
1770406320000;BERA;-2.4976661;0.498;0.5034;0.4978;0.5033;325920;1
