timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770406320000;FHE;-0.0064550694;0.10784;0.10787;0.10727;0.10727;2939;-1
1770406380000;FHE;-0.073229775;0.10727;0.10738;0.10715;0.10725;16199;-1
1770406440000;FHE;-0.065945916;0.10725;0.10727;0.10718;0.10718;2043;1
1770406500000;FHE;-0.09316361;0.10718;0.10735;0.10686;0.10735;13617;-1
1770406560000;FHE;-0.050419338;0.10735;0.1075;0.10717;0.10717;11026;1
1770406620000;FHE;-0.0875416;0.10717;0.10724;0.107;0.10724;5757;-1
1770406680000;FHE;-0.08573541;0.10724;0.10724;0.10702;0.10708;5163;1
1770406740000;FHE;-0.10418605;0.10708;0.10714;0.1069;0.10714;5051;-1
1770406800000;FHE;-0.057090823;0.10714;0.1075;0.10694;0.1071;84044;1
1770406860000;FHE;-0.013742339;0.10728;0.10735;0.10722;0.1073;3448;1
1770406920000;FHE;-0.015096049;0.1073;0.1075;0.10717;0.10717;832;-1
1770406980000;FHE;-0.029853275;0.10717;0.1075;0.1071;0.10719;21802;-1
1770407040000;FHE;-0.05483625;0.10719;0.10725;0.1071;0.1071;2972;-1
1770407100000;FHE;-0.029092584;0.1071;0.10738;0.10708;0.10738;12508;1
1770407160000;FHE;-0.038266785;0.10721;0.10729;0.10707;0.10707;2141;-1
1770408000000;FHE;-0.08470702;0.10681;0.10756;0.10623;0.10733;418910;-1
1770409800000;FHE;-0.18730001;0.10681;0.10756;0.10623;0.10733;418910;-1
1770409920000;FHE;-0.34318563;0.10681;0.10684;0.10651;0.10654;5160;-1
1770409980000;FHE;-0.36959225;0.10654;0.10674;0.10623;0.10674;40774;-1
1770410040000;FHE;-0.21433924;0.10674;0.10735;0.10674;0.10718;62136;1
1770410100000;FHE;0.009046915;0.10718;0.10756;0.10718;0.10756;36501;1
1770410160000;FHE;-0.0031379482;0.10756;0.10756;0.10711;0.10714;9598;-1
1770410220000;FHE;-0.06576628;0.10714;0.10719;0.10712;0.10719;1280;-1
1770410280000;FHE;-0.015796622;0.10719;0.10753;0.10719;0.10733;6022;1
1770411600000;FHE;-0.19729988;0.10468;0.10472;0.10391;0.10391;85914;-1
1770414300000;FHE;-0.538582;0.10468;0.10472;0.10391;0.10391;85914;-1
1770414600000;FHE;-1.167604;0.10468;0.10472;0.10457;0.10458;3447;-1
1770414840000;FHE;-2.0550802;0.10468;0.10472;0.10457;0.10458;3447;-1
1770414900000;FHE;-2.0390887;0.10458;0.10469;0.10391;0.10391;82467;1
1770414960000;FHE;-2.0083714;0.10467;0.10468;0.10455;0.10462;6068;1
1770415020000;FHE;-2.0066168;0.10462;0.10462;0.10446;0.1045;3169;1
1770415080000;FHE;-2.0939162;0.1045;0.10451;0.10391;0.10391;58401;-1
1770415140000;FHE;-2.0880663;0.10415;0.10423;0.10407;0.1041;16986;1
1770415200000;FHE;-1.86172;0.10411;0.10438;0.10411;0.10434;1344;1
1770415260000;FHE;-1.8455949;0.10416;0.10429;0.10416;0.10422;11672;1
1770415320000;FHE;-1.8712562;0.10408;0.1042;0.10398;0.10398;787;-1
1770415380000;FHE;-1.7710842;0.10397;0.10464;0.10397;0.10456;21376;1
1770415440000;FHE;-1.6261284;0.10456;0.10486;0.10447;0.10472;31707;1
1770415500000;FHE;-1.3743987;0.10476;0.10492;0.10452;0.10492;62695;1
1770415560000;FHE;-1.3740118;0.10472;0.10481;0.10462;0.10481;3738;1
1770415620000;FHE;-1.3468615;0.10474;0.10487;0.10464;0.10487;3787;1
1770415680000;FHE;-1.3173511;0.1048;0.10492;0.10478;0.10482;10894;1
1770415740000;FHE;-1.4343548;0.1044;0.10455;0.1044;0.10446;22770;-1
1770415800000;FHE;-1.3975116;0.10449;0.10476;0.10442;0.10463;14968;1
1770415860000;FHE;-1.4030604;0.10459;0.1046;0.10445;0.10445;29126;-1
1770415920000;FHE;-1.3780756;0.10454;0.10466;0.10452;0.10452;13570;1
1770415980000;FHE;-1.3359966;0.10461;0.10476;0.10459;0.10464;15328;1
1770416040000;FHE;-1.242103;0.10486;0.10504;0.10484;0.10484;503;1
1770416100000;FHE;-1.0507206;0.10481;0.10487;0.10461;0.10487;2576;1
1770416160000;FHE;-1.0244435;0.10474;0.10495;0.10473;0.10495;3815;1
1770416220000;FHE;-1.0425525;0.10476;0.10483;0.10474;0.10474;1456;-1
1770416280000;FHE;-1.0004834;0.10474;0.10501;0.10473;0.10499;1412;1
1770416340000;FHE;-0.94310623;0.1049;0.10518;0.10481;0.10517;2397;1
1770416400000;FHE;-0.86389613;0.10497;0.10505;0.10495;0.10504;1777;1
1770416460000;FHE;-0.7040194;0.10562;0.10562;0.10521;0.10536;2956;1
1770416520000;FHE;-0.6562693;0.1055;0.10576;0.1055;0.10558;16586;1
1770416580000;FHE;-0.73913044;0.10561;0.10561;0.10504;0.1051;6434;-1
1770416640000;FHE;-0.7784259;0.10512;0.10538;0.10512;0.10525;5624;-1
1770416700000;FHE;-0.5687136;0.10519;0.10576;0.10515;0.10566;5180;1
1770416760000;FHE;-0.505669;0.10562;0.10569;0.1055;0.10566;5641;1
1770416820000;FHE;-0.51857966;0.10551;0.10568;0.10545;0.10567;2096;-1
1770416880000;FHE;-0.5140776;0.10555;0.10567;0.10546;0.10567;3168;1
1770416940000;FHE;-0.5070862;0.10571;0.10573;0.10549;0.10549;15602;1
1770417000000;FHE;-0.2618908;0.10556;0.10601;0.10545;0.10565;59140;1
