timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770403920000;INX;0.0057891477;0.01199;0.012011;0.011983;0.012006;30350;1
1770403980000;INX;0.083013296;0.012006;0.012088;0.012006;0.012044;799200;1
1770404040000;INX;0.13091919;0.012044;0.012092;0.012044;0.012083;111270;1
1770404100000;INX;0.20360367;0.012083;0.012091;0.01208;0.01208;6480;1
1770404160000;INX;0.16471285;0.01208;0.01208;0.012076;0.012076;460;-1
1770404220000;INX;0.27408192;0.012096;0.012201;0.012096;0.012109;1359850;1
1770404280000;INX;0.2271257;0.012114;0.012125;0.012109;0.012125;69360;-1
1770404340000;INX;0.1295446;0.012108;0.012108;0.012071;0.012071;91500;-1
1770404400000;INX;0.022319427;0.012064;0.012064;0.012056;0.012064;39810;-1
1770404460000;INX;0.00082133;0.012072;0.012072;0.012028;0.012044;46020;-1
1770404520000;INX;-0.021961039;0.012045;0.012045;0.012045;0.012045;0;-1
1770404580000;INX;-0.096540056;0.012044;0.012044;0.011983;0.011998;122590;-1
1770404640000;INX;-0.153777;0.011998;0.011998;0.01199;0.01199;17180;-1
1770404700000;INX;-0.296839;0.011986;0.011992;0.011981;0.011992;20350;-1
1770404760000;INX;-0.18046324;0.012011;0.012041;0.012011;0.012033;16820;1
1770404820000;INX;-0.10447342;0.012046;0.012052;0.012045;0.012052;2000;1
1770404880000;INX;-0.14447868;0.012052;0.012064;0.012012;0.012012;47920;-1
1770404940000;INX;-0.15701778;0.01203;0.01203;0.01203;0.01203;0;-1
1770405000000;INX;-0.07717017;0.01203;0.01203;0.012016;0.012017;29480;1
1770405060000;INX;-0.027800346;0.012025;0.012058;0.012025;0.012048;86780;1
1770405120000;INX;-0.00639783;0.012056;0.012058;0.012028;0.012042;22730;1
1770405180000;INX;-0.042539284;0.012045;0.012046;0.012022;0.012022;16730;-1
1770405240000;INX;0.06567705;0.012032;0.012108;0.012032;0.012108;51840;1
1770405300000;INX;0.32053947;0.012089;0.012104;0.012085;0.012104;11990;1
1770405360000;INX;0.35032782;0.012103;0.012112;0.012103;0.012112;5260;1
1770405420000;INX;0.28975454;0.012095;0.012095;0.012078;0.012089;35250;-1
1770405480000;INX;0.26559615;0.012085;0.012085;0.01208;0.01208;460;-1
1770405540000;INX;0.29801473;0.012088;0.012101;0.012088;0.012101;3890;1
1770405600000;INX;0.37664255;0.012104;0.012125;0.012104;0.012125;5140;1
1770405660000;INX;0.39979887;0.012122;0.012128;0.012122;0.012125;58220;1
1770405720000;INX;0.3882241;0.012125;0.012125;0.01212;0.01212;28560;-1
1770405780000;INX;0.41217142;0.012126;0.01214;0.012126;0.012138;6720;1
1770405840000;INX;0.44379136;0.012138;0.01216;0.012127;0.012156;158400;1
1770405900000;INX;0.55830085;0.012156;0.012164;0.012154;0.012164;14430;1
1770405960000;INX;0.4385483;0.012164;0.012164;0.01208;0.01208;99150;-1
1770406020000;INX;0.20200898;0.012108;0.012111;0.011954;0.012004;1821330;-1
1770406080000;INX;0.08664936;0.011998;0.01202;0.011998;0.012004;59340;-1
1770406140000;INX;0.10345054;0.012004;0.012014;0.012004;0.012014;19800;1
1770406200000;INX;-0.35945705;0.01201;0.012012;0.012;0.012012;14510;-1
1770406260000;INX;-0.39877245;0.012012;0.012012;0.011964;0.011988;139650;-1
