timestamp,symbol,rd_value,open,high,low,close,volume,signal_barrier
1770562620000,PYR,-0.0058572358,0.3283,0.3284,0.328,0.3284,480,1
1770562680000,PYR,0.02342181,0.3284,0.3293,0.328,0.3288,2240,1
1770562740000,PYR,0.03512202,0.3288,0.3297,0.328,0.3288,2913,1
1770562800000,PYR,6.4694505,0.3288,0.4121,0.3288,0.3881,429840,1
1770562860000,PYR,9.516324,0.3983,0.417,0.3908,0.4114,161947,1
1770562920000,PYR,7.573276,0.4072,0.4269,0.3697,0.3736,400888,-1
1770562980000,PYR,6.3951845,0.3815,0.4009,0.3789,0.3913,227613,-1
1770563040000,PYR,6.364535,0.396,0.4092,0.377,0.3855,253034,-1
1770563100000,PYR,7.482534,0.3928,0.4056,0.3872,0.3949,209473,1
1770563160000,PYR,8.521798,0.4095,0.4203,0.3996,0.4084,198106,1
1770563220000,PYR,8.756492,0.41,0.4281,0.4,0.4261,259685,1
1770563280000,PYR,9.852961,0.4271,0.4411,0.4197,0.4395,231327,1
1770563340000,PYR,8.91077,0.4341,0.4428,0.41,0.4191,292846,-1
1770563400000,PYR,9.288338,0.4265,0.4312,0.4158,0.4213,229247,1
1770563460000,PYR,8.63094,0.4227,0.4346,0.4066,0.4143,234984,-1
1770563520000,PYR,8.656445,0.4208,0.43,0.4108,0.4268,178297,1
1770563580000,PYR,8.888285,0.4254,0.4354,0.4184,0.4279,145600,1
1770563640000,PYR,8.775967,0.4307,0.4307,0.424,0.4257,76753,-1
1770563700000,PYR,6.5550547,0.4172,0.42,0.398,0.4061,438528,-1
1770563760000,PYR,7.1028147,0.4103,0.4275,0.41,0.4207,165077,1
1770563820000,PYR,6.7051144,0.4156,0.4183,0.4082,0.4138,85248,-1
1770563880000,PYR,6.7154465,0.4117,0.4194,0.4098,0.419,116590,1
1770563940000,PYR,7.5085692,0.4196,0.433,0.4179,0.4271,145163,1
1770564000000,PYR,10.013727,0.4319,0.4475,0.4264,0.4447,287503,1
1770564060000,PYR,10.677609,0.439,0.4596,0.4367,0.4509,404040,1
1770564120000,PYR,9.96785,0.4435,0.4463,0.4343,0.439,255753,-1
1770564180000,PYR,8.825374,0.436,0.4431,0.4172,0.4232,404246,-1
1770564240000,PYR,8.675061,0.4252,0.4356,0.4211,0.4351,212681,-1
1770564300000,PYR,7.652297,0.4307,0.4338,0.4274,0.4289,127375,-1
1770564360000,PYR,6.98455,0.4264,0.428,0.42,0.4208,85326,-1
1770564420000,PYR,6.813934,0.4247,0.4265,0.4174,0.4216,75478,-1
1770564480000,PYR,6.9437075,0.4223,0.4312,0.4174,0.4271,118210,1
1770564540000,PYR,6.9105062,0.4252,0.4273,0.4225,0.4238,41773,-1
1770564600000,PYR,5.3474827,0.4245,0.4249,0.4153,0.4187,122731,-1
1770564660000,PYR,4.830912,0.4205,0.4215,0.4098,0.4106,117702,-1
1770564720000,PYR,4.003803,0.4089,0.4128,0.402,0.4035,182552,-1
1770564780000,PYR,3.7951245,0.3986,0.4138,0.3979,0.4077,137023,-1
1770564840000,PYR,3.8420055,0.4081,0.409,0.3972,0.4054,136910,1
1770564900000,PYR,2.4011915,0.4061,0.4062,0.3984,0.4041,72441,-1
1770564960000,PYR,2.4399743,0.405,0.4059,0.4007,0.4045,48070,1
1770565020000,PYR,2.3947022,0.4039,0.4061,0.4009,0.4029,65199,-1
1770565080000,PYR,1.7964902,0.4008,0.4025,0.3917,0.3925,200008,-1
1770565140000,PYR,0.89325786,0.389,0.3924,0.3768,0.3893,376604,-1
1770565200000,PYR,0.62006533,0.3899,0.397,0.3899,0.3921,76645,-1
1770565260000,PYR,0.29109728,0.3915,0.3921,0.3843,0.3856,56649,-1
1770565320000,PYR,0.37848693,0.3861,0.3934,0.3861,0.3902,68913,1
1770565380000,PYR,0.81689596,0.3929,0.395,0.3914,0.394,82756,1
1770565440000,PYR,1.3419033,0.4009,0.4041,0.3929,0.397,143133,1
1770565500000,PYR,-0.6802259,0.3956,0.3964,0.3884,0.389,49282,-1
1770565560000,PYR,-0.83692294,0.3878,0.3942,0.3877,0.392,24990,-1
1770565620000,PYR,-0.5784427,0.3923,0.397,0.3905,0.3919,54083,1
1770565680000,PYR,-0.42290956,0.3903,0.3979,0.3895,0.3974,32072,1
1770565740000,PYR,0.01459081,0.3981,0.405,0.3976,0.3988,84243,1
1770565800000,PYR,-0.052495997,0.3962,0.4,0.3941,0.3941,23460,-1
1770565860000,PYR,-0.056026213,0.395,0.4033,0.3918,0.401,54599,-1
1770565920000,PYR,-0.39916953,0.3945,0.3956,0.3876,0.3917,38696,-1
1770565980000,PYR,-0.5146358,0.3917,0.3936,0.3856,0.3926,101498,-1
1770566040000,PYR,-0.5348703,0.3928,0.3955,0.3866,0.3873,37743,-1
1770566100000,PYR,-0.9030687,0.3874,0.3907,0.3867,0.3886,21064,-1
1770566160000,PYR,-0.9185728,0.3886,0.3931,0.3851,0.3855,52006,-1
1770566220000,PYR,-0.7907827,0.3872,0.3922,0.3863,0.3906,45023,1
