timestamp,symbol,rd_value,open,high,low,close,volume,signal_barrier
1770483720000,B2,0.005373917,0.6891,0.6895,0.6891,0.6895,218,1
1770483780000,B2,0.010746275,0.6895,0.6895,0.6895,0.6895,0,1
1770483840000,B2,0.008059122,0.6895,0.6895,0.6895,0.6895,0,-1
1770483900000,B2,-0.04997622,0.6895,0.6895,0.6895,0.6895,0,-1
1770483960000,B2,-0.058760647,0.6876,0.6892,0.6876,0.6892,264,-1
1770484020000,B2,-0.04430203,0.6892,0.6892,0.688,0.688,25,1
1770484080000,B2,-0.07915851,0.688,0.688,0.6876,0.6876,69,-1
1770484140000,B2,-0.08238179,0.6876,0.6876,0.6876,0.6876,0,-1
1770484200000,B2,-0.065707065,0.6876,0.6876,0.6876,0.6876,0,1
1770484260000,B2,-0.0140974,0.6875,0.6895,0.6875,0.6895,15,1
1770484320000,B2,-0.0013436574,0.6895,0.6895,0.688,0.688,22,1
1770484380000,B2,-0.0068945903,0.688,0.6893,0.688,0.6893,205,-1
1770484440000,B2,0.02541834,0.6893,0.6893,0.6893,0.6893,0,1
1770484500000,B2,0.4080711,0.6893,0.6947,0.6892,0.6947,2854,1
1770484560000,B2,0.6169213,0.6944,0.6981,0.6944,0.6981,620,1
1770484620000,B2,0.6377973,0.6981,0.6981,0.6958,0.6964,704,1
1770484680000,B2,0.54993415,0.6964,0.6964,0.6952,0.6952,332,-1
1770484740000,B2,0.53886765,0.6952,0.6971,0.6942,0.6971,1103,-1
1770484800000,B2,0.6931407,0.6971,0.699,0.6969,0.6969,1048,1
1770484860000,B2,0.7080055,0.6986,0.6986,0.6985,0.6985,87,1
1770484920000,B2,0.69624376,0.6985,0.6992,0.6985,0.6992,15,-1
1770484980000,B2,0.62181824,0.6985,0.6985,0.6966,0.6966,26,-1
1770485040000,B2,0.5319216,0.6966,0.6966,0.6955,0.6955,101,-1
1770485100000,B2,0.44081914,0.6955,0.6955,0.6955,0.6955,0,-1
1770485160000,B2,0.482644,0.6955,0.6974,0.6955,0.6974,1058,1
1770485220000,B2,0.5309449,0.6974,0.6977,0.6974,0.6977,15,1
1770485280000,B2,0.49924457,0.6977,0.6977,0.6954,0.6977,180,-1
1770485340000,B2,0.52057105,0.6977,0.6977,0.6977,0.6977,0,1
1770485400000,B2,0.4534885,0.6977,0.6978,0.6977,0.6978,17,-1
1770485460000,B2,0.46845096,0.6978,0.6986,0.6978,0.6986,31,1
1770485520000,B2,0.3538563,0.6986,0.6986,0.6964,0.6964,269,-1
1770485580000,B2,0.22219871,0.6937,0.6937,0.6937,0.6937,0,-1
1770485640000,B2,0.22148162,0.6937,0.6937,0.6937,0.6937,0,-1
1770485700000,B2,0.23770471,0.6937,0.6948,0.6937,0.6948,1392,1
1770485760000,B2,0.23782308,0.6941,0.6941,0.6941,0.6941,0,1
1770485820000,B2,0.32891935,0.6941,0.6977,0.6941,0.6973,9,1
1770485880000,B2,0.42288336,0.6976,0.6977,0.6976,0.6977,80,1
1770485940000,B2,0.4404213,0.6979,0.6979,0.6979,0.6979,15,1
1770486000000,B2,0.4966951,0.6985,0.6993,0.6985,0.6985,288,1
1770486060000,B2,0.46199805,0.6978,0.6978,0.6978,0.6978,0,-1
1770486120000,B2,0.45692003,0.6978,0.6978,0.6978,0.6978,0,-1
1770486180000,B2,0.4312317,0.6978,0.6978,0.697,0.697,15,-1
1770486240000,B2,0.40623358,0.697,0.697,0.697,0.697,0,-1
1770486300000,B2,0.34380963,0.697,0.697,0.697,0.697,0,-1
1770486360000,B2,0.32220772,0.697,0.697,0.697,0.697,0,-1
1770486420000,B2,0.30113214,0.6963,0.6963,0.6963,0.6963,0,-1
1770486480000,B2,0.29883045,0.6963,0.6963,0.6963,0.6963,0,-1
1770486540000,B2,0.30446061,0.6963,0.6967,0.6963,0.6965,41,1
1770486600000,B2,0.32195568,0.6965,0.6965,0.6965,0.6965,0,1
1770486660000,B2,0.30533797,0.6965,0.6965,0.6958,0.6961,203,-1
1770486720000,B2,0.29692554,0.6961,0.6961,0.6961,0.6961,0,-1
1770486780000,B2,0.2952462,0.6961,0.6961,0.6961,0.6961,0,-1
1770486840000,B2,0.35643455,0.6961,0.6985,0.6961,0.6985,783,1
1770486900000,B2,0.48820767,0.6985,0.6985,0.6985,0.6985,0,1
1770486960000,B2,0.51980734,0.6985,0.7003,0.6985,0.6994,80,1
1770487020000,B2,0.53520775,0.6994,0.6997,0.6994,0.6997,215,1
1770487080000,B2,0.5477967,0.6997,0.7001,0.6996,0.7001,58,1
1770487140000,B2,0.55500877,0.7001,0.7001,0.7001,0.7001,0,1
