timestamp,symbol,rd_value,open,high,low,close,volume,signal_barrier
1770483720000,CLANKER,-0.008038458,28.784,28.821,28.736,28.821,59.87,1
1770483780000,CLANKER,0.022715075,28.821,28.841,28.79,28.841,105.57,1
1770483840000,CLANKER,0.021371631,28.841,28.841,28.809,28.82,5.7,-1
1770483900000,CLANKER,0.008804445,28.82,28.836,28.82,28.836,1.37,-1
1770483960000,CLANKER,-0.00961907,28.836,28.86,28.779,28.779,1.44,-1
1770484020000,CLANKER,-0.065118544,28.779,28.779,28.747,28.747,1.55,-1
1770484080000,CLANKER,-0.0625584,28.747,28.771,28.747,28.771,2.14,1
1770484140000,CLANKER,-0.029696396,28.771,28.794,28.771,28.794,2.43,1
1770484200000,CLANKER,0.012333917,28.794,28.826,28.794,28.801,2.51,1
1770484260000,CLANKER,0.0059826616,28.801,28.844,28.775,28.775,119.27,-1
1770484320000,CLANKER,0.009290294,28.775,28.828,28.775,28.828,4.54,1
1770484380000,CLANKER,0.023044433,28.828,28.831,28.797,28.797,11.22,1
1770484440000,CLANKER,0.023971211,28.797,28.833,28.797,28.833,110.94,1
1770484500000,CLANKER,0.097762845,28.833,28.871,28.828,28.836,96.85,1
1770484560000,CLANKER,0.112206414,28.836,28.877,28.836,28.877,1.55,1
1770484620000,CLANKER,0.10910556,28.877,28.877,28.837,28.837,5.21,-1
1770484680000,CLANKER,0.036578353,28.837,28.837,28.719,28.807,17.2,-1
1770484740000,CLANKER,0.099053346,28.807,28.907,28.807,28.882,3.42,1
1770484800000,CLANKER,0.19112316,28.882,28.919,28.882,28.919,2.89,1
1770484860000,CLANKER,0.20662558,28.887,28.931,28.887,28.931,9.94,1
1770484920000,CLANKER,0.22382087,28.931,28.94,28.919,28.919,1.56,1
1770484980000,CLANKER,0.16343124,28.919,28.919,28.839,28.854,4.18,-1
1770485040000,CLANKER,0.1617179,28.854,28.915,28.854,28.912,1.49,-1
1770485100000,CLANKER,0.2308576,28.912,28.915,28.912,28.915,5.56,1
1770485160000,CLANKER,0.25769362,28.918,28.966,28.918,28.958,8.6,1
1770485220000,CLANKER,0.2586821,28.958,28.958,28.928,28.935,5.33,1
1770485280000,CLANKER,0.2616737,28.935,28.993,28.935,28.941,12.02,1
1770485340000,CLANKER,0.2501711,28.941,28.954,28.933,28.954,4.2,-1
1770485400000,CLANKER,0.32946858,28.954,28.954,28.954,28.954,0,1
1770485460000,CLANKER,0.33678222,28.998,28.998,28.974,28.974,0.14,1
1770485520000,CLANKER,0.31078565,28.974,29.001,28.951,28.951,33.17,-1
1770485580000,CLANKER,0.285099,28.951,28.993,28.932,28.932,2.04,-1
1770485640000,CLANKER,0.25685397,28.932,28.932,28.932,28.932,0,-1
1770485700000,CLANKER,0.31881085,28.932,28.946,28.932,28.946,0.33,1
1770485760000,CLANKER,0.3402768,28.946,28.995,28.945,28.947,14.29,1
1770485820000,CLANKER,0.40492085,28.947,29.078,28.947,29.078,13.58,1
1770485880000,CLANKER,0.46203536,29.078,29.078,29.046,29.046,3.59,1
1770485940000,CLANKER,0.47784576,29.046,29.113,29.046,29.113,0.76,1
1770486000000,CLANKER,0.53360397,29.113,29.117,29.113,29.117,0.35,1
1770486060000,CLANKER,0.507099,29.08,29.08,29.08,29.08,0,-1
1770486120000,CLANKER,0.5013935,29.08,29.08,29.08,29.08,0,-1
1770486180000,CLANKER,0.49595502,29.08,29.08,29.08,29.08,0,-1
1770486240000,CLANKER,0.4794975,29.08,29.08,29.055,29.069,3.3,-1
1770486300000,CLANKER,0.38445303,29.069,29.097,29.069,29.097,1.2,-1
1770486360000,CLANKER,0.35143268,29.097,29.097,29.024,29.024,11,-1
1770486420000,CLANKER,0.31106633,29.024,29.046,29.024,29.032,7.61,-1
1770486480000,CLANKER,0.2766329,29.032,29.032,28.981,28.981,1.44,-1
1770486540000,CLANKER,0.24232988,28.981,28.981,28.981,28.981,0,-1
1770486600000,CLANKER,0.19400255,28.981,29.004,28.981,29.004,9.32,-1
1770486660000,CLANKER,0.18247294,29.004,29.005,28.958,28.972,4.28,-1
1770486720000,CLANKER,0.15235919,28.972,28.972,28.952,28.952,0.14,-1
1770486780000,CLANKER,0.15549856,28.952,28.979,28.952,28.978,0.48,1
1770486840000,CLANKER,0.17053719,28.978,28.978,28.978,28.978,0,1
1770486900000,CLANKER,0.16041632,28.978,28.979,28.962,28.979,1.13,-1
1770486960000,CLANKER,0.1737596,28.979,28.993,28.979,28.993,0.01,1
1770487020000,CLANKER,0.1812313,28.993,28.993,28.993,28.993,1.02,1
1770487080000,CLANKER,0.17350116,28.993,28.993,28.983,28.983,0.18,-1
1770487140000,CLANKER,0.16592531,28.983,28.983,28.983,28.983,0,-1
1770487200000,CLANKER,0.24918477,28.983,28.996,28.983,28.996,0.74,1
1770487260000,CLANKER,0.24826694,28.996,29.013,28.967,28.983,11.68,-1
1770487320000,CLANKER,0.23856795,28.983,28.983,28.983,28.983,3.11,-1
1770487380000,CLANKER,0.2375436,28.983,28.983,28.983,28.983,4.91,-1
1770487440000,CLANKER,0.25765625,28.983,29.017,28.983,29.016,14.54,1
1770487500000,CLANKER,0.26386222,29.016,29.03,28.976,28.976,51.44,1
1770487560000,CLANKER,0.26286167,28.999,29.013,28.989,29.013,1.71,-1
1770487620000,CLANKER,0.28427386,29.013,29.03,29.013,29.03,8.28,1
1770487680000,CLANKER,0.29341322,29.03,29.03,29.03,29.03,0,1
1770487740000,CLANKER,0.2576724,29.03,29.03,28.976,28.976,6.96,-1
1770487800000,CLANKER,0.19851246,28.976,29.003,28.963,28.986,16.88,-1
1770487860000,CLANKER,0.20439151,28.986,28.99,28.985,28.988,6.93,1
1770487920000,CLANKER,0.21272391,28.988,29.001,28.988,29.001,1.71,1
1770487980000,CLANKER,0.22694938,29.001,29.019,29.001,29.005,16.71,1
1770488040000,CLANKER,0.18798004,29.005,29.005,28.948,28.948,1.99,-1
1770488100000,CLANKER,0.39778015,28.948,29.022,28.948,29.022,14.43,1
1770488160000,CLANKER,0.45201668,29.022,29.035,29.022,29.035,11.01,1
1770488220000,CLANKER,0.5093486,29.035,29.115,29.035,29.115,9.97,1
1770488280000,CLANKER,0.5577533,29.115,29.115,29.115,29.115,0,1
1770488340000,CLANKER,0.5878873,29.115,29.176,29.109,29.164,18.17,1
1770488400000,CLANKER,0.8717393,29.164,29.164,29.164,29.164,0,1
1770488460000,CLANKER,0.9627787,29.248,29.319,29.239,29.319,13.27,1
1770488520000,CLANKER,1.0498891,29.319,29.397,29.319,29.382,30.78,1
1770488580000,CLANKER,1.0311584,29.382,29.382,29.277,29.336,39.66,-1
1770488640000,CLANKER,1.0111506,29.336,29.34,29.316,29.34,56.05,-1
1770488700000,CLANKER,1.0175716,29.34,29.34,29.258,29.269,9.84,1
1770488760000,CLANKER,1.0237312,29.269,29.352,29.269,29.352,3.91,1
1770488820000,CLANKER,1.0560815,29.352,29.352,29.328,29.328,0.14,1
1770488880000,CLANKER,1.0533793,29.328,29.356,29.328,29.356,4.62,-1
1770489000000,CLANKER,1.3154225,29.559,29.624,29.559,29.624,13.42,1
1770489600000,CLANKER,1.5791197,29.559,29.624,29.559,29.624,13.42,1
1770489720000,CLANKER,1.8846377,29.559,29.617,29.559,29.617,4.34,1
1770489780000,CLANKER,1.912667,29.617,29.624,29.603,29.624,9.08,1
1770489840000,CLANKER,1.9126923,29.624,29.624,29.624,29.624,0,1
1770489900000,CLANKER,1.7918025,29.624,29.624,29.593,29.593,1.26,-1
1770489960000,CLANKER,1.7506795,29.593,29.593,29.572,29.572,2.99,-1
1770490020000,CLANKER,1.6974804,29.572,29.572,29.514,29.528,25.22,-1
1770490080000,CLANKER,1.659775,29.528,29.546,29.48,29.535,231.23,-1
1770490140000,CLANKER,1.6783942,29.535,29.566,29.528,29.54,6.65,1
1770490800000,CLANKER,1.6712515,29.302,29.381,29.23,29.23,106.73,-1
1770493500000,CLANKER,1.2535447,29.302,29.381,29.302,29.381,11.13,-1
1770493620000,CLANKER,0.9593763,29.302,29.327,29.302,29.327,9.59,-1
