timestamp,symbol,rd_value,open,high,low,close,volume,signal_barrier
1770492900000,RESOLV,0.008343411,0.08089,0.08158,0.08007,0.08143,6045426,-1
1770492960000,RESOLV,-0.072090015,0.08091,0.08092,0.08007,0.08046,377039,-1
1770493020000,RESOLV,0.076498404,0.08046,0.08153,0.08031,0.08153,1405383,1
1770493080000,RESOLV,0.24385996,0.08153,0.08158,0.08128,0.0814,441410,1
1770493140000,RESOLV,0.18301305,0.0814,0.08149,0.08123,0.08143,239895,-1
1770493200000,RESOLV,0.2376376,0.08143,0.08149,0.08125,0.08125,189831,1
1770493260000,RESOLV,0.21041088,0.08125,0.08143,0.08125,0.08138,45197,-1
1770493320000,RESOLV,0.20915546,0.08138,0.08142,0.08122,0.08139,87590,-1
1770493380000,RESOLV,0.20826304,0.08139,0.08142,0.08131,0.08138,50462,-1
1770493440000,RESOLV,0.19498713,0.08138,0.08143,0.08123,0.08142,102288,-1
1770493500000,RESOLV,0.1309804,0.08142,0.08142,0.0813,0.08131,65533,-1
1770493560000,RESOLV,0.117878675,0.08129,0.0814,0.08128,0.08137,178101,-1
1770493620000,RESOLV,0.13042939,0.08137,0.08146,0.08128,0.08139,249562,1
1770493680000,RESOLV,0.10634636,0.08139,0.0815,0.08117,0.08126,1225611,-1
1770493740000,RESOLV,0.074378,0.08126,0.08134,0.08122,0.08123,74550,-1
1770493800000,RESOLV,-0.02994346,0.08123,0.08133,0.08081,0.08088,310427,-1
1770493860000,RESOLV,-0.0239462,0.08124,0.08133,0.08079,0.08129,856165,1
1770493920000,RESOLV,-0.009698732,0.08129,0.08129,0.08103,0.08116,103658,1
1770493980000,RESOLV,-0.030851875,0.08116,0.08118,0.08105,0.08118,36725,-1
1770494040000,RESOLV,-0.0054701255,0.08118,0.08122,0.08117,0.08122,41733,1
1770494100000,RESOLV,0.15364219,0.08122,0.08136,0.0811,0.08124,189000,1
1770494160000,RESOLV,0.14417183,0.08132,0.08132,0.08105,0.08123,73915,-1
1770494220000,RESOLV,0.17990573,0.08123,0.0814,0.08123,0.08139,141124,1
1770494280000,RESOLV,0.2350699,0.08139,0.0815,0.08138,0.0815,175395,1
1770494340000,RESOLV,0.3430334,0.0815,0.0819,0.08149,0.0819,202717,1
1770494400000,RESOLV,1.3113012,0.0819,0.08195,0.08174,0.08194,194817,1
1770494460000,RESOLV,1.348402,0.08193,0.08241,0.08131,0.08232,1013009,1
1770494520000,RESOLV,1.6175216,0.08232,0.08312,0.08211,0.08297,511585,1
1770494580000,RESOLV,1.7218424,0.08297,0.08328,0.08263,0.08277,314668,1
1770494640000,RESOLV,1.6606408,0.08277,0.08297,0.08263,0.08293,147093,-1
1770494700000,RESOLV,2.056873,0.08293,0.08342,0.08293,0.08337,247626,1
1770494760000,RESOLV,2.281957,0.08372,0.08416,0.08364,0.08406,244608,1
1770494820000,RESOLV,2.0707445,0.08406,0.08413,0.08288,0.08288,523050,-1
1770494880000,RESOLV,1.7532867,0.08288,0.08313,0.08215,0.08313,401073,-1
1770494940000,RESOLV,1.991745,0.08313,0.08367,0.08313,0.08366,593189,1
1770495000000,RESOLV,2.0084734,0.08366,0.08374,0.08353,0.08361,131985,1
1770495060000,RESOLV,1.9752889,0.08346,0.08378,0.08334,0.08364,257213,-1
1770495120000,RESOLV,1.9457607,0.08364,0.08367,0.0833,0.08353,151509,-1
1770495180000,RESOLV,1.9582833,0.08353,0.08377,0.08342,0.08371,140591,1
1770495240000,RESOLV,1.8486466,0.08371,0.08377,0.08306,0.08307,211543,-1
1770495300000,RESOLV,2.1066842,0.08307,0.08339,0.08307,0.08338,71516,1
1770495360000,RESOLV,2.157767,0.08345,0.0836,0.08317,0.08346,158809,1
1770495420000,RESOLV,2.2388458,0.08346,0.08382,0.08346,0.08381,86472,1
1770495480000,RESOLV,2.4010713,0.08381,0.08469,0.08358,0.08409,428485,1
1770495540000,RESOLV,2.5345871,0.08409,0.08469,0.08409,0.08469,419821,1
1770495600000,RESOLV,2.8543122,0.08469,0.08486,0.0846,0.08474,351551,1
1770495660000,RESOLV,2.7660825,0.08471,0.08476,0.08422,0.08453,542406,-1
1770495720000,RESOLV,2.7926323,0.08453,0.08486,0.08441,0.08486,267827,1
1770495780000,RESOLV,2.7871077,0.08486,0.08486,0.08442,0.08467,156797,-1
1770495840000,RESOLV,2.825077,0.08467,0.08529,0.08465,0.08474,296832,1
1770495900000,RESOLV,2.9242635,0.08474,0.08552,0.08469,0.08538,256212,1
1770495960000,RESOLV,3.038674,0.08538,0.08551,0.08527,0.08542,240558,1
1770496020000,RESOLV,2.9905694,0.08542,0.08544,0.08517,0.08534,64007,-1
1770496080000,RESOLV,2.943858,0.08534,0.0855,0.0851,0.08522,205981,-1
1770496140000,RESOLV,2.8643665,0.08522,0.08528,0.0849,0.08524,296007,-1
1770496200000,RESOLV,3.1145394,0.08524,0.08543,0.08524,0.08536,100263,1
1770496260000,RESOLV,3.0287275,0.08535,0.0857,0.08459,0.08503,2017707,-1
1770496320000,RESOLV,2.929431,0.08503,0.08522,0.08453,0.08516,755975,-1
1770496380000,RESOLV,3.0663054,0.08516,0.08566,0.08499,0.08553,305146,1
1770496440000,RESOLV,3.1076522,0.08553,0.08561,0.08521,0.08554,706241,1
1770496500000,RESOLV,3.5943584,0.08554,0.08612,0.08552,0.08576,742272,1
1770496560000,RESOLV,3.902473,0.08628,0.08726,0.08625,0.08697,1048530,1
1770496620000,RESOLV,3.9586954,0.08697,0.08708,0.0865,0.08697,982018,1
1770496680000,RESOLV,3.8027136,0.08697,0.08711,0.0859,0.08637,4093477,-1
1770496740000,RESOLV,3.8361216,0.08637,0.08718,0.08621,0.08712,629604,1
1770496800000,RESOLV,4.0189166,0.08712,0.08712,0.08666,0.08696,493336,1
1770496860000,RESOLV,3.9843378,0.08696,0.08708,0.08674,0.087,441313,-1
1770496920000,RESOLV,3.972577,0.087,0.08703,0.0869,0.08697,115267,-1
1770496980000,RESOLV,3.9164822,0.08697,0.08698,0.0867,0.08696,165438,-1
1770497040000,RESOLV,3.911919,0.08696,0.08701,0.0869,0.08691,111381,-1
1770497100000,RESOLV,3.6698189,0.08691,0.08702,0.08679,0.08694,73913,-1
1770497160000,RESOLV,3.5374854,0.08694,0.08694,0.08624,0.08653,616802,-1
