timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770594060000;FOLKS;0.025755465;1.3653;1.3694;1.3653;1.3683;233.34;1
1770594120000;FOLKS;0.18479644;1.3683;1.3878;1.3683;1.3811;5848.73;1
1770594180000;FOLKS;1.1925209;1.3811;1.4877;1.3739;1.4732;86267.72;1
1770594240000;FOLKS;1.9843603;1.4732;1.4915;1.4625;1.4777;13159.11;1
1770594300000;FOLKS;2.0617056;1.4808;1.4866;1.4654;1.4866;7806.21;1
1770594360000;FOLKS;1.7567785;1.4799;1.4799;1.471;1.4756;4007.92;-1
1770594420000;FOLKS;1.5291003;1.4723;1.4786;1.4693;1.4779;777;-1
1770594480000;FOLKS;1.446539;1.4744;1.4761;1.4735;1.4754;530.68;-1
1770594540000;FOLKS;1.3222221;1.4758;1.4762;1.4748;1.4755;109.18;-1
1770594600000;FOLKS;0.95775574;1.4735;1.4797;1.4717;1.4717;863.84;-1
1770594660000;FOLKS;0.87706643;1.4721;1.4763;1.4721;1.476;253.53;-1
1770594720000;FOLKS;0.7449429;1.4738;1.4741;1.4666;1.4666;1141.54;-1
1770594780000;FOLKS;0.62210315;1.4688;1.4688;1.465;1.4655;222.5;-1
1770594840000;FOLKS;0.5358066;1.4666;1.4667;1.4654;1.4654;36.2;-1
1770594900000;FOLKS;0.035167567;1.4629;1.464;1.46;1.4607;613.58;-1
1770594960000;FOLKS;-0.08706482;1.4514;1.4574;1.4514;1.4545;655.76;-1
1770595020000;FOLKS;-0.21613541;1.4513;1.4544;1.45;1.45;1404.53;-1
1770595080000;FOLKS;-0.22126397;1.4449;1.4501;1.4449;1.4501;844.43;-1
1770595140000;FOLKS;-0.20205684;1.4489;1.4493;1.4485;1.4493;391.63;1
1770595200000;FOLKS;1.4996886;1.4473;1.4488;1.444;1.4447;778.69;1
1770595260000;FOLKS;2.051615;1.4378;1.4969;1.4368;1.4801;19232.09;1
1770595320000;FOLKS;2.5451136;1.4895;1.4922;1.4841;1.4845;2053.33;1
1770595380000;FOLKS;2.4942622;1.4815;1.4835;1.4798;1.4811;535.2;-1
1770595440000;FOLKS;3.0529516;1.488;1.54;1.488;1.5331;21622.55;1
1770595500000;FOLKS;4.556117;1.5236;1.5249;1.5215;1.5234;521.15;1
1770595560000;FOLKS;4.6022544;1.5457;1.5457;1.5352;1.5392;2304.91;1
1770595620000;FOLKS;4.539057;1.5372;1.548;1.5354;1.5477;1004.92;-1
1770595680000;FOLKS;4.733827;1.5415;1.5415;1.5348;1.5348;666.65;1
