timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770573120000;PYR;0.14199354;0.3983;0.4049;0.3963;0.3977;91204;1
1770573180000;PYR;0.2289627;0.3977;0.4094;0.3977;0.4011;99581;1
1770573240000;PYR;0.24254885;0.4011;0.4048;0.401;0.4031;37774;1
1770573300000;PYR;0.022149721;0.4031;0.4044;0.4006;0.4023;39323;-1
1770573360000;PYR;-0.1848065;0.4023;0.4023;0.3968;0.4;37432;-1
1770573420000;PYR;-0.34862286;0.4;0.4003;0.3962;0.3966;18827;-1
1770573480000;PYR;-0.43093866;0.3966;0.3999;0.3955;0.396;28491;-1
1770573540000;PYR;-0.5124533;0.396;0.3985;0.3929;0.3953;38892;-1
1770573600000;PYR;-0.6736217;0.3953;0.3953;0.3924;0.3931;14905;-1
1770573660000;PYR;-0.6534713;0.3951;0.3975;0.3922;0.393;16711;1
1770573720000;PYR;-0.4929528;0.393;0.4;0.3922;0.3987;25578;1
1770573780000;PYR;-0.36753905;0.3987;0.3993;0.3953;0.3957;15311;1
1770573840000;PYR;-0.58429307;0.3957;0.3958;0.3932;0.394;7080;-1
1770573900000;PYR;-0.22246736;0.394;0.4;0.3922;0.3969;36991;1
1770573960000;PYR;-0.016765788;0.3969;0.4;0.3954;0.3997;21761;1
1770574020000;PYR;0.26439717;0.3997;0.4047;0.399;0.4015;55233;1
1770574080000;PYR;0.34179783;0.4015;0.4039;0.4002;0.4036;31222;1
1770574140000;PYR;0.29515252;0.4036;0.4051;0.3993;0.4;30004;-1
1770574200000;PYR;0.024772262;0.4;0.4005;0.3997;0.4002;956;-1
1770574260000;PYR;-0.15540506;0.3966;0.3982;0.3934;0.3959;23801;-1
1770574320000;PYR;-0.19256979;0.3959;0.3966;0.3941;0.3954;12249;-1
1770574380000;PYR;-0.066197805;0.3954;0.3991;0.395;0.3977;23043;1
1770574440000;PYR;0.23522644;0.3977;0.4034;0.3977;0.4017;40553;1
1770574500000;PYR;0.8433751;0.4017;0.4032;0.4015;0.4023;5683;1
1770574560000;PYR;0.9492464;0.403;0.4071;0.403;0.4046;37337;1
1770574620000;PYR;0.9512763;0.4046;0.4061;0.4019;0.4061;27336;1
1770574680000;PYR;1.1730807;0.4061;0.409;0.4054;0.409;39422;1
1770574740000;PYR;1.2445893;0.409;0.4097;0.4072;0.408;19094;1
1770574800000;PYR;0.8189152;0.408;0.408;0.4065;0.4074;5537;-1
1770574860000;PYR;0.6339147;0.4061;0.4069;0.4034;0.4034;22195;-1
1770574920000;PYR;0.30065683;0.4034;0.4043;0.3969;0.401;85734;-1
1770574980000;PYR;0.17076789;0.401;0.4022;0.3981;0.3987;26881;-1
1770575040000;PYR;0.028961843;0.3987;0.3994;0.3972;0.3984;26504;-1
1770575100000;PYR;-0.45248905;0.3984;0.3985;0.3938;0.3973;37814;-1
1770575160000;PYR;-0.4002996;0.3973;0.3989;0.3963;0.3975;32267;1
1770575220000;PYR;-0.28428683;0.3975;0.4022;0.3975;0.3977;49944;1
1770575280000;PYR;-0.48045334;0.3977;0.3987;0.3936;0.3961;28923;-1
1770575340000;PYR;-0.4347624;0.3961;0.3978;0.3961;0.3978;9091;1
1770575400000;PYR;-0.52865064;0.3978;0.3985;0.3972;0.3984;1460;-1
1770575460000;PYR;-0.58216655;0.3988;0.3988;0.3954;0.3972;12114;-1
1770575520000;PYR;-0.5847414;0.3972;0.3984;0.397;0.3973;7392;-1
1770575580000;PYR;-0.51036054;0.3973;0.3996;0.3972;0.3989;11288;1
1770575640000;PYR;-0.39240274;0.3989;0.4009;0.3984;0.3999;10359;1
1770575700000;PYR;-0.7805097;0.3999;0.3999;0.3961;0.3961;8974;-1
1770575760000;PYR;-0.89341515;0.3971;0.3971;0.3963;0.3963;3197;-1
1770575820000;PYR;-0.94959867;0.3963;0.397;0.394;0.3968;13299;-1
