timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770702540000;LYN;-0.025004422;0.15179;0.15184;0.15163;0.15163;248;-1
1770702600000;LYN;-0.091157705;0.15163;0.15192;0.15131;0.15131;6243;-1
1770702660000;LYN;-0.11861625;0.15131;0.15173;0.15092;0.15136;6525;-1
1770702720000;LYN;-0.12449035;0.15136;0.15139;0.151;0.15115;2250;-1
1770702780000;LYN;-0.09193731;0.15115;0.15149;0.15115;0.15149;103;1
1770702840000;LYN;-0.02344958;0.15149;0.15174;0.15149;0.15174;70;1
1770702900000;LYN;0.02792426;0.15174;0.15174;0.15152;0.15152;251;1
1770702960000;LYN;0.014591992;0.15152;0.15168;0.15152;0.1516;229;-1
1770703020000;LYN;0.018101364;0.1516;0.1516;0.1516;0.1516;0;1
1770703080000;LYN;0.024193514;0.1516;0.15179;0.15157;0.15157;6703;1
1770703140000;LYN;0.008651471;0.15157;0.15157;0.15157;0.15157;0;-1
1770703200000;LYN;0.0064617638;0.15157;0.15168;0.15157;0.15168;110;-1
1770703260000;LYN;0.009918438;0.15168;0.15178;0.15156;0.15156;907;1
1770703320000;LYN;0.012099372;0.15156;0.15178;0.15156;0.15174;1244;1
1770703380000;LYN;0.069204785;0.15174;0.15216;0.15174;0.15202;4937;1
1770703440000;LYN;0.10369278;0.15202;0.15218;0.15202;0.15212;304;1
1770703500000;LYN;0.16618524;0.15212;0.15212;0.15203;0.15203;483;1
1770703560000;LYN;0.12601024;0.15203;0.15203;0.15182;0.15182;2288;-1
1770703620000;LYN;0.14833796;0.15182;0.15225;0.15182;0.15225;892;1
1770703680000;LYN;0.14772351;0.15225;0.15235;0.1518;0.1518;4721;-1
1770703740000;LYN;0.09024255;0.1518;0.15192;0.15178;0.15178;7046;-1
1770703800000;LYN;0.07593865;0.15178;0.15206;0.15178;0.15206;9742;-1
1770703860000;LYN;0.11127916;0.15206;0.1521;0.15206;0.1521;72;1
