timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770653520000;CYS;-0.015341541;0.3623;0.3623;0.3615;0.3618;3192;1
1770653580000;CYS;0.006817835;0.3618;0.3627;0.3618;0.3626;3817;1
1770653640000;CYS;-0.012145597;0.3626;0.3626;0.3613;0.3615;4370;-1
1770653700000;CYS;0.06311889;0.3615;0.3631;0.3615;0.3631;1426;1
1770653760000;CYS;0.15323657;0.3628;0.3642;0.3628;0.3634;3391;1
1770653820000;CYS;0.21566726;0.3634;0.3654;0.3634;0.3645;1503;1
1770653880000;CYS;0.19543533;0.3645;0.3645;0.3636;0.3641;842;-1
1770653940000;CYS;0.08448203;0.3641;0.3643;0.3615;0.3626;8452;-1
1770654000000;CYS;-0.04996178;0.3626;0.3632;0.3615;0.3624;26495;-1
1770654060000;CYS;-0.11620964;0.3624;0.3624;0.3609;0.361;16766;-1
1770654120000;CYS;-0.12399559;0.361;0.3621;0.3609;0.362;1224;-1
1770654180000;CYS;-0.08716024;0.362;0.362;0.3613;0.3619;6053;1
1770654240000;CYS;-0.08896859;0.3619;0.3623;0.3613;0.3614;5437;-1
1770654300000;CYS;0.007710657;0.3614;0.3626;0.3613;0.3626;4022;1
1770654360000;CYS;0.1328062;0.3626;0.3646;0.3624;0.3634;5812;1
1770654420000;CYS;0.046493277;0.3634;0.3634;0.3614;0.3614;380;-1
1770654480000;CYS;0.010778756;0.3614;0.3629;0.3614;0.3624;14834;-1
1770654540000;CYS;0.09297108;0.3624;0.3636;0.3619;0.3635;1978;1
1770654600000;CYS;0.10805509;0.3635;0.3635;0.3625;0.3629;1128;1
1770654660000;CYS;0.03220695;0.3629;0.3629;0.3616;0.362;1398;-1
1770654720000;CYS;0.040229026;0.362;0.3629;0.362;0.3628;3381;1
1770654780000;CYS;0.07476148;0.3628;0.3631;0.3624;0.3628;4184;1
1770654840000;CYS;0.044263743;0.3628;0.3628;0.3621;0.3622;2754;-1
1770654900000;CYS;0.061062552;0.3622;0.3633;0.3622;0.3631;3203;1
1770654960000;CYS;0.21257931;0.3631;0.3655;0.3631;0.3653;24020;1
1770655020000;CYS;0.28982118;0.3653;0.3657;0.3644;0.365;6279;1
1770655080000;CYS;0.17018378;0.365;0.365;0.3628;0.3631;2794;-1
1770655140000;CYS;0.0006408832;0.3631;0.3631;0.3608;0.3622;8267;-1
1770655200000;CYS;-0.013025058;0.3622;0.3627;0.3621;0.3624;1781;-1
1770655260000;CYS;0.027645528;0.3624;0.3634;0.3624;0.3628;5429;1
1770655320000;CYS;0.062102903;0.3628;0.3634;0.3628;0.3634;524;1
1770655380000;CYS;0.07822445;0.3634;0.3635;0.3631;0.3631;663;1
1770655440000;CYS;0.02455234;0.3631;0.3633;0.3623;0.3623;3458;-1
1770655500000;CYS;-0.25494468;0.3623;0.3634;0.3595;0.3598;24144;-1
1770655560000;CYS;-0.40979138;0.3598;0.3602;0.3593;0.3593;7945;-1
1770655620000;CYS;-0.39424956;0.3593;0.3605;0.3593;0.3598;1319;1
1770655680000;CYS;-0.2872711;0.3598;0.3619;0.3598;0.3614;1345;1
1770655740000;CYS;-0.21050914;0.3614;0.3618;0.3613;0.3613;600;1
1770655800000;CYS;-0.28750068;0.3613;0.3614;0.3607;0.3607;2485;-1
1770655860000;CYS;-0.3064866;0.3607;0.3612;0.3602;0.3611;3728;-1
1770655920000;CYS;-0.31514293;0.3611;0.3612;0.3598;0.3606;4506;-1
