timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770653520000;LYN;0.02605298;0.15279;0.15318;0.15279;0.15296;1416;1
1770653580000;LYN;0.031088954;0.15296;0.15307;0.15296;0.15307;423;1
1770653640000;LYN;0.086386316;0.15307;0.15413;0.1528;0.15345;51539;1
1770653700000;LYN;0.31567657;0.15345;0.15356;0.15335;0.15349;1350;1
1770653760000;LYN;0.34124243;0.15394;0.15401;0.15369;0.15401;2976;1
1770653820000;LYN;0.35410327;0.15401;0.1542;0.15398;0.15414;9614;1
1770653880000;LYN;0.34510115;0.15414;0.15425;0.15397;0.1542;24231;-1
1770653940000;LYN;0.33160606;0.1542;0.1542;0.15407;0.15417;1387;-1
1770654000000;LYN;0.29371095;0.15417;0.15417;0.15386;0.15398;5688;-1
1770654060000;LYN;0.27908948;0.15398;0.15425;0.1539;0.15396;15623;-1
1770654120000;LYN;0.26922062;0.15396;0.15409;0.15396;0.15404;261;-1
1770654180000;LYN;0.26847196;0.15404;0.15408;0.15398;0.15405;3450;-1
1770654240000;LYN;0.27776602;0.15405;0.15416;0.15405;0.15416;3278;1
1770654300000;LYN;0.38974813;0.15416;0.15416;0.1539;0.15399;3659;1
1770654360000;LYN;0.3936721;0.15399;0.15425;0.15388;0.15424;8811;1
1770654420000;LYN;0.5296442;0.15424;0.15584;0.154;0.15476;89881;1
1770654480000;LYN;0.6205911;0.15476;0.1558;0.15429;0.1558;68816;1
1770654540000;LYN;0.7001579;0.1558;0.15607;0.15489;0.15557;85507;1
1770654600000;LYN;0.83875173;0.15557;0.15719;0.15522;0.15586;229376;1
1770654660000;LYN;0.7078891;0.15586;0.15603;0.15476;0.15528;75326;-1
1770654720000;LYN;0.66634685;0.15528;0.15554;0.15514;0.1555;20754;-1
1770654780000;LYN;0.6668276;0.1555;0.15562;0.15512;0.15544;31631;1
1770654840000;LYN;0.7172473;0.15544;0.15609;0.15526;0.15597;35803;1
1770654900000;LYN;0.66231763;0.15597;0.15606;0.15543;0.15565;18420;-1
1770654960000;LYN;0.64470375;0.15565;0.15595;0.1556;0.15583;19255;-1
1770655020000;LYN;0.6207282;0.15583;0.15583;0.15545;0.15571;21909;-1
1770655080000;LYN;0.6205604;0.15571;0.15588;0.15558;0.15583;24519;-1
1770655140000;LYN;0.6282899;0.15583;0.15588;0.15574;0.15586;14760;1
1770655200000;LYN;0.3901782;0.15586;0.15588;0.15542;0.1556;21198;-1
1770655260000;LYN;0.3638016;0.1556;0.15585;0.15522;0.15578;15486;-1
1770655320000;LYN;0.36981738;0.15578;0.15592;0.1554;0.15558;45739;1
1770655380000;LYN;0.12922063;0.15558;0.15558;0.15347;0.15403;197019;-1
1770655440000;LYN;0.04966586;0.15403;0.1547;0.15391;0.15465;16154;-1
1770655500000;LYN;-0.17612065;0.15465;0.15465;0.15415;0.15422;8661;-1
1770655560000;LYN;-0.2546406;0.15419;0.15442;0.15359;0.15394;17623;-1
1770655620000;LYN;-0.2257035;0.15394;0.15477;0.15393;0.15393;18201;1
1770655680000;LYN;-0.19643922;0.15393;0.15466;0.15392;0.15451;22198;1
1770655740000;LYN;-0.12946653;0.15451;0.15477;0.15429;0.15456;14739;1
1770655800000;LYN;-0.0661332;0.15456;0.15493;0.15449;0.15474;9684;1
1770655860000;LYN;-0.12754211;0.15492;0.155;0.1538;0.15414;7764;-1
1770655920000;LYN;-0.21324301;0.15414;0.15436;0.15394;0.15394;8506;-1
1770655980000;LYN;-0.17768238;0.15394;0.15453;0.15394;0.15453;9561;1
1770656040000;LYN;-0.13594663;0.15453;0.15453;0.15411;0.15445;5424;1
1770656100000;LYN;-0.22623442;0.15445;0.15453;0.15414;0.15453;3958;-1
1770656160000;LYN;-0.22652422;0.15453;0.1546;0.15415;0.15435;10144;-1
1770656220000;LYN;-0.30597937;0.15435;0.15435;0.15367;0.15389;9967;-1
1770656280000;LYN;-0.34043893;0.15389;0.1541;0.15375;0.15389;4164;-1
1770656340000;LYN;-0.40244824;0.15389;0.15401;0.15331;0.15331;22286;-1
1770656400000;LYN;-0.81493485;0.15331;0.15377;0.15331;0.1537;22264;-1
1770656460000;LYN;-0.7977337;0.15352;0.15371;0.15322;0.15365;26020;1
1770656520000;LYN;-0.80152464;0.15365;0.15366;0.15323;0.15342;29037;-1
1770657300000;LYN;-2.2462714;0.14849;0.14919;0.14821;0.14919;41440;-1
1770657420000;LYN;-3.4072533;0.14849;0.14872;0.14831;0.14864;3542;-1
1770657480000;LYN;-3.3888247;0.14864;0.14864;0.14821;0.14856;15507;1
1770657540000;LYN;-3.339889;0.14856;0.14879;0.14833;0.14879;9021;1
1770657600000;LYN;-3.1734505;0.14879;0.14885;0.14851;0.14851;4032;1
1770657660000;LYN;-3.1278536;0.14851;0.14919;0.14851;0.14919;9338;1
1770657720000;LYN;-3.0922241;0.14885;0.14886;0.14881;0.14886;264;1
