timestamp;symbol;rd_value;open;high;low;close;volume;signal_barrier
1770653520000;MYX;-0.022874666;6.266;6.282;6.263;6.27;714;-1
1770653580000;MYX;-0.05365903;6.27;6.27;6.248;6.254;525;-1
1770653640000;MYX;-0.044692803;6.254;6.267;6.254;6.263;988;1
1770653700000;MYX;-0.16237047;6.263;6.273;6.263;6.263;745;-1
1770653760000;MYX;-0.19158947;6.259;6.26;6.249;6.26;501;-1
1770653820000;MYX;-0.14320312;6.26;6.279;6.26;6.262;679;1
1770653880000;MYX;-0.18229532;6.262;6.263;6.253;6.253;353;-1
1770653940000;MYX;-0.25182834;6.253;6.262;6.23;6.23;1159;-1
1770654000000;MYX;-0.39130178;6.23;6.235;6.209;6.228;1780;-1
1770654060000;MYX;-0.37788436;6.228;6.228;6.216;6.227;640;1
1770654120000;MYX;-0.35620105;6.227;6.231;6.223;6.223;104;1
1770654180000;MYX;-0.3482113;6.223;6.229;6.221;6.228;214;1
1770654240000;MYX;-0.32653788;6.228;6.232;6.219;6.23;306;1
1770654300000;MYX;-0.31203315;6.23;6.234;6.227;6.229;170;1
1770654360000;MYX;-0.31247285;6.229;6.254;6.216;6.216;1868;-1
1770654420000;MYX;-0.37750414;6.216;6.223;6.211;6.214;605;-1
1770654480000;MYX;-0.4073388;6.214;6.216;6.202;6.204;607;-1
1770654540000;MYX;-0.45593524;6.204;6.206;6.188;6.196;1104;-1
1770654600000;MYX;-0.8946543;6.196;6.208;6.196;6.204;504;-1
1770654660000;MYX;-0.9663571;6.177;6.182;6.161;6.161;1101;-1
1770654720000;MYX;-1.0116479;6.161;6.17;6.157;6.164;967;-1
1770654780000;MYX;-1.0103894;6.153;6.165;6.15;6.155;2594;1
1770654840000;MYX;-1.1455023;6.157;6.16;6.151;6.155;60;-1
1770654900000;MYX;-1.235214;6.121;6.122;6.101;6.119;1129;-1
1770654960000;MYX;-1.144348;6.116;6.141;6.113;6.141;1562;1
1770655020000;MYX;-1.1178019;6.134;6.135;6.117;6.118;704;1
1770655080000;MYX;-1.0986117;6.126;6.13;6.123;6.129;96;1
1770655140000;MYX;-1.070589;6.13;6.131;6.119;6.124;917;1
1770655200000;MYX;-0.91526693;6.135;6.142;6.13;6.131;828;1
1770655260000;MYX;-0.9002019;6.127;6.135;6.126;6.134;511;1
1770655320000;MYX;-0.82379055;6.138;6.156;6.138;6.149;397;1
1770655380000;MYX;-0.8441416;6.144;6.144;6.126;6.128;520;-1
1770655440000;MYX;-0.8076606;6.141;6.156;6.135;6.148;1147;1
1770655500000;MYX;-0.5328508;6.141;6.164;6.141;6.163;1749;1
1770655560000;MYX;-0.3730428;6.158;6.182;6.156;6.177;1882;1
1770655620000;MYX;-0.3586809;6.199;6.199;6.176;6.177;597;1
1770655680000;MYX;-0.42190745;6.163;6.18;6.154;6.177;1844;-1
1770655740000;MYX;-0.3903961;6.177;6.182;6.156;6.171;1850;1
1770655800000;MYX;-0.3943494;6.179;6.183;6.156;6.162;769;-1
1770655860000;MYX;-0.5062785;6.161;6.165;6.149;6.149;282;-1
1770655920000;MYX;-0.5617159;6.137;6.144;6.137;6.142;66;-1
1770655980000;MYX;-0.5400702;6.14;6.149;6.138;6.141;362;1
1770656040000;MYX;-0.46933544;6.141;6.157;6.141;6.156;316;1
1770656100000;MYX;-0.39920902;6.163;6.175;6.163;6.171;405;1
1770656160000;MYX;-0.39253497;6.177;6.18;6.168;6.168;187;1
1770656220000;MYX;-0.49004936;6.164;6.166;6.15;6.15;267;-1
1770656280000;MYX;-0.5666026;6.144;6.146;6.136;6.141;443;-1
1770656340000;MYX;-0.5610781;6.136;6.151;6.136;6.137;377;1
1770656400000;MYX;-0.70428485;6.14;6.142;6.127;6.137;1952;-1
1770656460000;MYX;-0.64330757;6.146;6.158;6.146;6.157;367;1
1770656520000;MYX;-0.6849195;6.147;6.147;6.142;6.142;35;-1
1770656580000;MYX;-0.7758283;6.136;6.136;6.111;6.12;1486;-1
1770656640000;MYX;-0.84757537;6.118;6.118;6.104;6.109;692;-1
1770656700000;MYX;-0.9191417;6.108;6.115;6.103;6.11;792;-1
1770656760000;MYX;-0.8939576;6.107;6.114;6.103;6.112;432;1
1770656820000;MYX;-0.89142466;6.116;6.117;6.105;6.105;94;1
1770656880000;MYX;-0.9259019;6.105;6.107;6.1;6.102;313;-1
1770656940000;MYX;-0.89506334;6.101;6.108;6.1;6.107;610;1
1770657000000;MYX;-0.79363716;6.114;6.114;6.11;6.11;99;1
1770657060000;MYX;-0.78477556;6.112;6.116;6.112;6.113;216;1
1770657120000;MYX;-0.745144;6.112;6.127;6.11;6.125;391;1
1770657180000;MYX;-0.692916;6.125;6.127;6.119;6.121;332;1
1770657240000;MYX;-0.71985686;6.128;6.13;6.124;6.124;26;-1
1770657300000;MYX;-0.613192;6.114;6.131;6.113;6.13;213;1
1770657360000;MYX;-0.5617822;6.133;6.136;6.128;6.133;526;1
1770657420000;MYX;-0.5585015;6.13;6.142;6.125;6.127;309;1
1770657480000;MYX;-0.5671516;6.13;6.132;6.125;6.128;285;-1
1770657540000;MYX;-0.5180158;6.132;6.146;6.132;6.144;318;1
1770657600000;MYX;-0.45551434;6.14;6.142;6.135;6.138;169;1
1770657660000;MYX;-0.44870454;6.137;6.146;6.136;6.141;123;1
1770657720000;MYX;-0.46867716;6.138;6.14;6.134;6.134;77;-1
1770657780000;MYX;-0.46175125;6.133;6.14;6.133;6.136;299;1
1770657840000;MYX;-0.46384072;6.139;6.139;6.133;6.133;97;-1
1770657900000;MYX;-0.5435813;6.133;6.134;6.125;6.125;249;-1
1770657960000;MYX;-0.54517895;6.123;6.135;6.12;6.135;449;-1
1770658020000;MYX;-0.5126886;6.132;6.136;6.132;6.132;93;1
1770658080000;MYX;-0.52958506;6.131;6.132;6.128;6.128;45;-1
1770658140000;MYX;-0.5611405;6.127;6.127;6.122;6.122;112;-1
1770658200000;MYX;-0.3685561;6.12;6.126;6.12;6.123;278;1
1770658260000;MYX;-0.36268085;6.125;6.127;6.12;6.12;103;1
1770658320000;MYX;-0.27971333;6.121;6.147;6.121;6.145;256;1
1770658380000;MYX;-0.14579237;6.15;6.176;6.15;6.162;354;1
1770658440000;MYX;-0.19611171;6.16;6.16;6.146;6.148;889;-1
1770658500000;MYX;-0.029992074;6.141;6.192;6.139;6.176;2754;1
1770658560000;MYX;0.029471489;6.17;6.175;6.168;6.168;385;1
1770658620000;MYX;0.021409448;6.17;6.177;6.167;6.167;493;-1
1770658680000;MYX;0.013445574;6.165;6.171;6.164;6.17;125;-1
1770658740000;MYX;0.033807375;6.17;6.174;6.17;6.171;129;1
1770658800000;MYX;0.22128129;6.172;6.191;6.172;6.186;548;1
1770658860000;MYX;0.20780998;6.189;6.2;6.189;6.192;514;-1
1770658920000;MYX;0.17518193;6.173;6.176;6.17;6.172;212;-1
1770658980000;MYX;0.18453608;6.183;6.185;6.174;6.176;567;1
1770659040000;MYX;0.217585;6.179;6.204;6.179;6.185;925;1
1770659100000;MYX;0.06452137;6.182;6.185;6.18;6.185;273;-1
1770659160000;MYX;-0.013921771;6.182;6.182;6.171;6.171;173;-1
1770659220000;MYX;-0.15995368;6.154;6.154;6.133;6.136;518;-1
1770659280000;MYX;-0.22272621;6.133;6.135;6.129;6.132;409;-1
1770659340000;MYX;-0.18671834;6.134;6.149;6.132;6.148;927;1
1770659400000;MYX;-0.28659534;6.139;6.146;6.136;6.136;208;-1
1770659460000;MYX;-0.2777777;6.137;6.139;6.132;6.133;209;1
1770659520000;MYX;-0.3003079;6.145;6.145;6.13;6.13;413;-1
1770659580000;MYX;-0.32114866;6.127;6.137;6.127;6.136;129;-1
1770659640000;MYX;-0.30757263;6.136;6.137;6.132;6.136;103;1
1770659700000;MYX;-0.29645324;6.132;6.139;6.127;6.13;425;1
1770659760000;MYX;-0.29484653;6.131;6.137;6.128;6.137;373;1
1770659820000;MYX;-0.3096499;6.134;6.136;6.129;6.129;276;-1
1770659880000;MYX;-0.31390917;6.124;6.134;6.124;6.129;605;-1
1770659940000;MYX;-0.24516128;6.132;6.155;6.125;6.147;778;1
1770660000000;MYX;-0.27496222;6.147;6.147;6.135;6.142;1958;-1
1770660060000;MYX;-0.32913873;6.139;6.143;6.122;6.129;907;-1
1770660120000;MYX;-0.34709087;6.127;6.138;6.123;6.127;1020;-1
1770660180000;MYX;-0.33509678;6.13;6.137;6.126;6.134;547;1
1770660240000;MYX;-0.3008643;6.132;6.144;6.132;6.14;158;1
1770660300000;MYX;-0.39162117;6.139;6.143;6.126;6.126;599;-1
1770660360000;MYX;-0.46323016;6.12;6.123;6.117;6.117;232;-1
1770660420000;MYX;-0.4716375;6.115;6.118;6.111;6.111;325;-1
1770660480000;MYX;-0.46508178;6.12;6.123;6.117;6.117;458;1
1770660540000;MYX;-0.4824585;6.113;6.12;6.111;6.114;238;-1
1770660600000;MYX;-0.50785506;6.112;6.116;6.108;6.112;335;-1
1770660660000;MYX;-0.43711165;6.117;6.129;6.117;6.128;391;1
1770660720000;MYX;-0.39678898;6.133;6.136;6.128;6.129;258;1
1770660780000;MYX;-0.4045426;6.13;6.134;6.129;6.129;208;-1
1770660840000;MYX;-0.43313438;6.128;6.128;6.125;6.125;228;-1
1770660900000;MYX;-0.3374349;6.122;6.126;6.122;6.122;69;1
1770660960000;MYX;-0.36714518;6.118;6.119;6.112;6.114;436;-1
1770661020000;MYX;-0.3488764;6.114;6.115;6.11;6.112;258;1
1770661080000;MYX;-0.29045662;6.123;6.13;6.115;6.127;1095;1
1770661140000;MYX;-0.25936595;6.136;6.139;6.13;6.13;364;1
1770661200000;MYX;-0.0933014;6.13;6.144;6.13;6.136;289;1
1770661260000;MYX;-0.09243218;6.137;6.145;6.125;6.138;3324;1
1770661320000;MYX;-0.10800181;6.134;6.137;6.125;6.131;661;-1
1770661380000;MYX;0.019897876;6.134;6.173;6.134;6.167;482;1
1770661440000;MYX;0.16177286;6.172;6.187;6.169;6.18;928;1
1770661500000;MYX;0.11417022;6.182;6.184;6.173;6.177;1380;-1
1770661560000;MYX;-0.057790592;6.138;6.148;6.109;6.124;6172;-1
1770661620000;MYX;0.011967106;6.125;6.154;6.125;6.154;680;1
1770661680000;MYX;0.21415557;6.153;6.206;6.151;6.188;4279;1
1770661740000;MYX;0.2864228;6.191;6.197;6.182;6.183;621;1
1770661800000;MYX;0.23617508;6.183;6.187;6.165;6.165;956;-1
1770661860000;MYX;0.16656907;6.167;6.176;6.159;6.159;738;-1
1770661920000;MYX;0.14526136;6.158;6.165;6.155;6.157;715;-1
1770661980000;MYX;0.16742855;6.163;6.17;6.156;6.16;1195;1
1770662040000;MYX;0.15209456;6.164;6.17;6.156;6.156;792;-1
1770662100000;MYX;0.090777434;6.156;6.162;6.154;6.157;327;-1
1770662160000;MYX;0.10709511;6.158;6.162;6.157;6.161;42;1
1770662220000;MYX;0.12778547;6.162;6.172;6.157;6.162;853;1
1770662280000;MYX;0.12592472;6.164;6.168;6.16;6.163;185;-1
1770662340000;MYX;0.13603304;6.162;6.162;6.16;6.16;69;1
1770662400000;MYX;0.1249732;6.167;6.173;6.16;6.165;278;-1
1770662460000;MYX;0.07216965;6.17;6.17;6.144;6.151;448;-1
1770662520000;MYX;0.0077588423;6.151;6.152;6.142;6.144;254;-1
1770662580000;MYX;0.028955162;6.147;6.155;6.145;6.149;171;1
1770662640000;MYX;0.045529313;6.156;6.163;6.151;6.156;786;1
1770662700000;MYX;-0.11254667;6.149;6.149;6.144;6.145;190;-1
1770662760000;MYX;-0.14639498;6.134;6.144;6.134;6.14;986;-1
1770662820000;MYX;-0.15761109;6.134;6.137;6.128;6.134;214;-1
1770662880000;MYX;-0.10148774;6.134;6.153;6.134;6.149;493;1
1770662940000;MYX;-0.08608454;6.149;6.149;6.142;6.143;123;1
1770663000000;MYX;-0.12921228;6.141;6.141;6.126;6.141;279;-1
1770663060000;MYX;-0.12852062;6.135;6.141;6.133;6.135;140;1
1770663120000;MYX;-0.13830468;6.134;6.138;6.131;6.135;80;-1
1770663180000;MYX;-0.1570064;6.133;6.136;6.13;6.13;140;-1
1770663240000;MYX;-0.09334853;6.127;6.133;6.123;6.127;160;1
1770663300000;MYX;0.07265929;6.157;6.159;6.137;6.145;613;1
1770663360000;MYX;0.09969121;6.15;6.165;6.148;6.156;883;1
1770663420000;MYX;0.16993356;6.158;6.178;6.158;6.176;410;1
1770663480000;MYX;0.2233057;6.174;6.181;6.173;6.178;632;1
1770663540000;MYX;0.25243336;6.176;6.178;6.173;6.173;87;1
1770663600000;MYX;0.15416987;6.183;6.183;6.134;6.137;2933;-1
1770663660000;MYX;0.11339885;6.161;6.164;6.15;6.155;1250;-1
1770663720000;MYX;0.117739014;6.159;6.168;6.159;6.163;833;1
1770663780000;MYX;0.11308022;6.155;6.165;6.151;6.165;199;-1
1770663840000;MYX;0.10994493;6.162;6.162;6.152;6.152;211;-1
1770663900000;MYX;0.07003366;6.158;6.159;6.152;6.154;201;-1
1770663960000;MYX;0.06847385;6.156;6.168;6.152;6.152;342;-1
1770664020000;MYX;0.059443206;6.151;6.155;6.151;6.153;375;-1
1770664080000;MYX;0.07290394;6.157;6.157;6.149;6.154;282;1
1770664140000;MYX;0.078809425;6.157;6.16;6.155;6.157;55;1
1770664200000;MYX;0.0648587;6.159;6.168;6.159;6.164;302;-1
1770664260000;MYX;0.05563932;6.161;6.163;6.16;6.163;162;-1
1770664320000;MYX;0.03749461;6.159;6.16;6.155;6.157;209;-1
1770664380000;MYX;-0.03441566;6.155;6.156;6.137;6.137;892;-1
1770664440000;MYX;-0.06853052;6.135;6.147;6.135;6.141;575;-1
1770664500000;MYX;0.012522318;6.141;6.146;6.139;6.139;486;1
1770664560000;MYX;0.08621338;6.144;6.165;6.144;6.163;508;1
1770664620000;MYX;0.18794169;6.166;6.176;6.166;6.176;282;1
1770664680000;MYX;0.24722639;6.177;6.192;6.177;6.183;957;1
1770664740000;MYX;0.2687873;6.183;6.186;6.183;6.185;109;1
1770664800000;MYX;0.2619244;6.187;6.191;6.182;6.185;97;-1
1770664860000;MYX;0.15184058;6.175;6.175;6.147;6.159;1283;-1
1770664920000;MYX;0.13511746;6.156;6.173;6.156;6.169;930;-1
1770664980000;MYX;0.09902678;6.157;6.159;6.152;6.152;168;-1
1770665040000;MYX;0.08257788;6.151;6.155;6.147;6.153;354;-1
1770665100000;MYX;0.099003516;6.154;6.175;6.152;6.175;668;1
1770665160000;MYX;0.15263602;6.171;6.174;6.17;6.17;163;1
1770665220000;MYX;0.15960036;6.173;6.175;6.171;6.172;117;1
1770665280000;MYX;0.16204202;6.174;6.177;6.171;6.171;87;1
1770665340000;MYX;0.10011624;6.173;6.173;6.159;6.159;63;-1
1770665400000;MYX;-0.049108468;6.154;6.157;6.151;6.155;250;-1
1770665460000;MYX;-0.047662772;6.158;6.164;6.151;6.154;539;1
1770665520000;MYX;-0.07915416;6.156;6.159;6.152;6.152;206;-1
1770665580000;MYX;-0.11049129;6.148;6.153;6.145;6.145;267;-1
1770665640000;MYX;-0.12071962;6.144;6.155;6.138;6.15;1431;-1
1770665700000;MYX;-0.16884725;6.143;6.149;6.14;6.145;238;-1
1770665760000;MYX;-0.17450336;6.143;6.146;6.143;6.144;305;-1
1770665820000;MYX;-0.15767772;6.141;6.154;6.141;6.15;516;1
1770665880000;MYX;-0.16189376;6.146;6.151;6.146;6.148;63;-1
1770665940000;MYX;-0.20202363;6.141;6.141;6.14;6.14;69;-1
1770666000000;MYX;-0.2796798;6.138;6.145;6.136;6.14;412;-1
1770666060000;MYX;-0.31062368;6.134;6.137;6.126;6.128;560;-1
1770666120000;MYX;-0.33843166;6.131;6.134;6.121;6.124;501;-1
1770666180000;MYX;-0.36162218;6.123;6.14;6.117;6.117;688;-1
1770666240000;MYX;-0.41016838;6.115;6.126;6.115;6.116;441;-1
1770666300000;MYX;-0.33962315;6.11;6.125;6.102;6.122;1625;1
1770666360000;MYX;-0.22470428;6.121;6.149;6.121;6.145;1179;1
1770666420000;MYX;-0.15374662;6.143;6.153;6.143;6.144;646;1
1770666480000;MYX;-0.18795525;6.145;6.145;6.137;6.138;357;-1
1770666540000;MYX;-0.25646025;6.134;6.137;6.118;6.122;545;-1
1770666600000;MYX;-0.17234556;6.123;6.129;6.121;6.121;354;1
1770666660000;MYX;-0.119149044;6.128;6.144;6.128;6.139;1355;1
1770666720000;MYX;-0.18003868;6.136;6.138;6.13;6.134;3240;-1
1770666780000;MYX;-0.16725801;6.115;6.132;6.114;6.125;6988;1
1770666840000;MYX;-0.009222985;6.136;6.154;6.132;6.144;1486;1
1770666900000;MYX;0.4061162;6.17;6.19;6.17;6.189;937;1
1770666960000;MYX;0.46527112;6.193;6.198;6.179;6.188;1190;1
1770667020000;MYX;0.50918496;6.198;6.217;6.184;6.186;1865;1
1770667080000;MYX;0.47800955;6.199;6.203;6.191;6.191;1116;-1
